Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,54.68,54.99,54.66,54.70,4839700,53.84
2011-12-29,54.46,54.94,54.43,54.85,5869300,53.99
2011-12-28,54.80,54.95,54.08,54.34,7060400,53.49
2011-12-27,54.30,54.99,54.01,54.87,6505300,54.01
2011-12-23,54.60,54.74,53.95,54.63,5670400,53.77
2011-12-22,53.49,54.52,53.46,54.38,8842100,53.53
2011-12-21,54.19,54.40,52.80,53.49,9900600,52.65
2011-12-20,52.87,54.34,52.79,54.11,14330300,53.26
2011-12-19,53.00,53.07,51.76,51.92,11687300,51.11
2011-12-16,52.90,53.83,52.42,52.61,19842900,51.79
2011-12-15,53.75,53.77,52.19,52.55,11703900,51.73
2011-12-14,54.18,54.31,52.69,53.10,12866900,52.27
2011-12-13,55.39,55.73,53.79,54.19,13936000,53.34
2011-12-12,54.41,54.86,54.00,54.78,9916800,53.92
2011-12-09,53.99,55.40,53.75,55.18,11624600,54.32
2011-12-08,54.05,54.99,53.88,54.07,15566800,53.22
2011-12-07,54.53,54.74,53.55,54.45,13303600,53.60
2011-12-06,54.61,55.16,54.05,54.83,10991200,53.97
2011-12-05,55.17,55.18,53.69,54.49,14662200,53.64
2011-12-02,55.40,55.70,54.29,54.34,12762900,53.49
2011-12-01,54.70,55.09,54.36,54.73,9834300,53.87
2011-11-30,54.80,55.12,54.08,54.80,18229000,53.94
2011-11-29,53.99,54.58,52.85,53.11,13534500,52.28
2011-11-28,53.42,54.04,53.19,53.94,12526700,53.09
2011-11-25,51.68,53.00,51.68,51.86,8318700,51.05
2011-11-23,53.42,53.48,51.60,52.03,24129500,51.21
2011-11-22,53.94,55.02,53.93,54.48,13234300,53.63
2011-11-21,54.39,54.77,53.80,54.27,15544300,53.42
2011-11-18,56.55,56.56,55.44,55.67,14375500,54.59
2011-11-17,56.64,57.17,55.41,56.38,19433700,55.28
2011-11-16,56.72,57.97,56.31,56.88,15504500,55.77
