Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.29,29.64,29.15,29.30,529800,29.22
2011-12-29,29.07,29.32,28.85,29.23,897200,29.15
2011-12-28,30.01,30.08,29.05,29.09,701800,29.01
2011-12-27,29.80,30.20,29.77,30.05,583500,29.96
2011-12-23,29.90,29.99,29.61,29.86,660500,29.78
2011-12-22,29.43,29.89,29.35,29.77,859700,29.69
2011-12-21,29.21,29.35,28.73,29.24,733300,29.16
2011-12-20,28.50,29.32,28.46,29.18,1222900,29.10
2011-12-19,29.04,29.04,27.68,27.77,1205100,27.69
2011-12-16,28.85,29.25,28.54,28.87,1733400,28.79
2011-12-15,28.63,28.91,28.37,28.51,1537400,28.43
2011-12-14,29.41,29.56,28.08,28.25,2974400,28.17
2011-12-13,30.88,31.56,29.39,29.81,2573700,29.73
2011-12-12,31.47,31.52,30.35,30.73,1542600,30.64
2011-12-09,31.48,32.16,31.36,32.03,1509300,31.94
2011-12-08,32.18,32.52,31.15,31.31,1674200,31.22
2011-12-07,32.19,32.62,31.77,32.48,1457100,32.39
2011-12-06,32.73,32.75,32.09,32.36,1164200,32.27
2011-12-05,32.35,32.99,32.17,32.74,1657700,32.65
2011-12-02,32.38,32.53,31.65,31.73,1710200,31.64
2011-12-01,32.48,32.96,31.89,32.00,1110600,31.91
2011-11-30,32.38,32.99,32.02,32.65,1864100,32.56
2011-11-29,30.84,31.25,30.41,30.73,1291000,30.64
2011-11-28,30.21,31.23,30.12,30.60,1376300,30.51
2011-11-25,29.27,29.62,28.78,28.79,580800,28.71
2011-11-23,30.04,30.36,29.38,29.42,1753400,29.34
2011-11-22,31.30,31.41,30.31,30.63,1308800,30.54
2011-11-21,31.00,31.65,30.23,31.44,1716300,31.35
2011-11-18,32.02,32.51,31.37,31.78,1845600,31.69
2011-11-17,33.84,33.98,31.75,31.98,1927300,31.89
2011-11-16,34.01,35.25,33.75,33.98,1232900,33.88
2011-11-15,34.17,34.72,33.90,34.39,1452800,34.27
2011-11-14,36.58,36.75,33.40,34.21,4125700,34.09
2011-11-11,36.60,37.26,36.59,37.02,1460200,36.89
2011-11-10,35.32,36.70,34.92,35.82,2080900,35.70
2011-11-09,35.85,35.85,34.34,34.61,2492600,34.49
2011-11-08,37.56,37.75,36.44,37.05,2290500,36.92
2011-11-07,38.20,38.30,36.71,37.25,1913600,37.12
2011-11-04,36.99,38.44,36.67,38.34,1872100,38.21
2011-11-03,36.42,37.32,35.75,37.28,1634800,37.15
2011-11-02,35.63,36.18,35.21,35.92,1669600,35.80
2011-11-01,33.83,35.45,33.43,35.00,2872000,34.88
2011-10-31,36.19,36.71,35.53,35.55,1826700,35.43
2011-10-28,35.33,37.01,35.06,36.94,1819500,36.81
2011-10-27,36.02,37.00,35.10,35.38,3600400,35.26
2011-10-26,33.49,34.54,31.24,34.00,4651500,33.88
2011-10-25,32.85,33.36,31.31,31.40,3356600,31.29
2011-10-24,33.03,33.48,32.94,33.31,1209900,33.20
2011-10-21,32.46,33.41,31.99,32.85,1990100,32.74
2011-10-20,32.31,32.61,31.20,31.73,2187500,31.62
2011-10-19,32.94,33.66,32.42,32.51,1838400,32.40
2011-10-18,30.95,33.62,30.58,33.13,2787100,33.02
2011-10-17,30.81,31.37,30.70,30.97,2754600,30.86
2011-10-14,29.95,30.85,29.69,30.81,1494500,30.70
2011-10-13,28.22,29.47,27.77,29.38,2239800,29.28
2011-10-12,28.43,29.26,28.30,28.50,2055800,28.40
2011-10-11,28.19,28.81,27.75,28.15,1848900,28.05
2011-10-10,28.16,28.77,28.14,28.47,1652600,28.37
2011-10-07,28.82,29.00,27.30,27.43,2067300,27.34
2011-10-06,28.02,28.96,27.45,28.49,2801500,28.39
2011-10-05,26.36,28.47,25.89,28.34,3403900,28.24
2011-10-04,24.32,26.37,23.56,26.31,2999400,26.22
2011-10-03,26.69,26.70,24.80,24.82,2378800,24.74
2011-09-30,27.36,28.22,26.52,27.07,2830200,26.98
2011-09-29,28.46,28.49,27.20,27.88,2147100,27.78
2011-09-28,29.65,29.65,27.65,27.71,1962000,27.62
2011-09-27,28.72,30.36,28.66,29.58,2597900,29.48
2011-09-26,27.90,28.13,27.16,27.85,2533000,27.75
2011-09-23,28.10,28.33,27.49,27.50,1610000,27.41
2011-09-22,29.94,30.49,27.77,28.48,1871700,28.38
2011-09-21,32.96,33.05,31.33,31.39,1438200,31.28
2011-09-20,33.12,33.64,32.80,33.12,1035400,33.01
2011-09-19,33.00,33.11,32.40,32.89,868900,32.78
2011-09-16,34.54,34.68,33.46,33.77,1519500,33.65
2011-09-15,33.70,34.28,33.32,34.12,1189900,34.00
2011-09-14,32.86,33.85,32.47,33.31,1271800,33.20
2011-09-13,32.72,33.02,32.27,32.80,1005400,32.69
2011-09-12,32.31,32.82,31.86,32.69,1164500,32.58
2011-09-09,33.65,34.04,32.74,32.95,1286300,32.84
2011-09-08,34.60,34.69,33.75,34.45,1965800,34.33
2011-09-07,34.14,35.06,34.01,35.03,1276300,34.91
2011-09-06,32.76,33.80,32.17,33.73,1205700,33.61
2011-09-02,34.16,34.42,33.64,34.04,1303300,33.92
2011-09-01,35.56,36.12,35.04,35.12,1197000,35.00
2011-08-31,34.95,35.67,34.77,35.21,1117700,35.09
2011-08-30,34.37,34.91,33.92,34.62,1182700,34.50
2011-08-29,34.62,34.79,34.14,34.60,1286600,34.48
2011-08-26,33.15,34.89,32.49,34.08,1972700,33.96
2011-08-25,35.05,35.43,33.29,33.38,1662100,33.27
2011-08-24,34.57,34.99,33.75,34.87,1580900,34.75
2011-08-23,34.00,34.79,33.45,34.75,1970600,34.63
2011-08-22,34.75,34.89,33.19,33.83,1766400,33.71
2011-08-19,33.16,34.68,32.96,33.89,1825300,33.77
2011-08-18,35.07,35.40,33.39,33.82,2379200,33.70
2011-08-17,36.82,37.56,35.89,36.17,1235900,36.05
2011-08-16,36.57,37.30,35.89,36.54,1926200,36.40
2011-08-15,36.25,37.07,36.14,36.98,1679200,36.83
2011-08-12,36.72,37.26,35.59,35.84,1583100,35.70
2011-08-11,34.87,36.96,34.34,36.36,1809800,36.22
2011-08-10,35.05,36.53,34.47,34.59,1610300,34.45
2011-08-09,35.00,36.18,33.96,36.07,2255900,35.93
2011-08-08,36.26,36.68,33.47,33.99,2630800,33.86
2011-08-05,39.25,39.77,35.94,37.36,2867200,37.21
2011-08-04,41.95,41.95,38.54,38.75,2632900,38.60
2011-08-03,42.61,42.72,41.21,42.64,1484800,42.47
2011-08-02,43.81,44.55,42.46,42.51,1196600,42.34
2011-08-01,44.38,44.49,43.76,44.12,1357500,43.95
2011-07-29,43.29,44.16,43.17,43.83,1426900,43.66
2011-07-28,43.12,44.03,43.07,43.80,1780000,43.63
2011-07-27,44.13,45.03,41.23,43.00,5725200,42.83
2011-07-26,44.92,45.20,44.40,45.15,1670400,44.97
2011-07-25,44.23,45.18,44.06,45.00,1616200,44.82
2011-07-22,43.82,45.19,43.62,44.68,2096300,44.50
2011-07-21,42.67,44.02,42.66,43.89,2321700,43.72
2011-07-20,42.00,42.56,41.87,42.53,1194800,42.36
