Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,28.27,28.63,28.06,28.46,787500,27.86
2011-12-29,27.91,28.38,27.90,28.34,658800,27.75
2011-12-28,28.49,28.49,27.72,27.76,682900,27.18
2011-12-27,28.48,28.56,28.17,28.48,743500,27.88
2011-12-23,28.52,28.71,28.39,28.55,921800,27.95
2011-12-22,27.70,28.50,27.67,28.34,1670500,27.75
2011-12-21,27.40,27.70,26.84,27.67,1011900,27.09
2011-12-20,26.71,27.59,26.69,27.53,1820200,26.95
2011-12-19,27.28,27.35,26.60,26.65,949500,26.09
2011-12-16,26.97,27.50,26.91,27.11,1168500,26.54
2011-12-15,26.87,27.03,26.53,26.71,1426300,26.15
2011-12-14,26.84,27.10,26.20,26.44,1827600,25.89
2011-12-13,28.16,28.74,27.10,27.20,2029600,26.63
2011-12-12,27.78,27.83,27.24,27.62,1518500,27.04
2011-12-09,27.52,28.43,27.39,28.15,1771900,27.56
2011-12-08,27.25,27.55,27.02,27.41,2841200,26.84
2011-12-07,27.35,27.57,26.77,27.38,1781500,26.81
2011-12-06,27.93,27.95,27.27,27.48,1049100,26.90
2011-12-05,27.58,28.10,27.28,27.84,1866800,27.26
2011-12-02,26.78,27.41,26.73,27.01,2879400,26.44
2011-12-01,26.33,26.72,26.27,26.39,1860000,25.84
2011-11-30,25.69,26.60,25.58,26.49,3057000,25.94
2011-11-29,25.04,25.08,24.62,24.71,1114900,24.19
2011-11-28,24.60,24.94,24.42,24.88,999400,24.36
2011-11-25,23.97,24.27,23.81,23.83,633300,23.33
2011-11-23,24.61,24.70,24.00,24.02,1232900,23.52
2011-11-22,24.89,25.07,24.65,24.96,1127300,24.44
2011-11-21,24.98,25.11,24.64,24.92,958700,24.40
2011-11-18,26.18,26.24,25.56,25.56,1389000,24.89
2011-11-17,26.45,26.56,25.80,25.92,1323300,25.24
2011-11-16,26.57,27.07,26.31,26.53,2007600,25.83
2011-11-15,26.38,26.90,26.16,26.83,1733000,26.12
2011-11-14,26.68,26.82,26.21,26.45,1225400,25.75
2011-11-11,26.75,27.02,26.72,26.91,1111800,26.20
2011-11-10,26.06,26.40,25.88,26.36,1560800,25.67
2011-11-09,26.01,26.04,25.43,25.57,1258100,24.90
2011-11-08,26.65,26.90,26.19,26.86,1514800,26.15
2011-11-07,26.74,26.87,26.21,26.54,1566800,25.84
2011-11-04,26.74,27.09,26.44,26.89,1159700,26.18
2011-11-03,26.79,27.27,26.21,27.16,2316400,26.45
2011-11-02,26.35,26.67,25.94,26.35,1416800,25.66
2011-11-01,25.41,26.45,25.14,25.73,2035000,25.05
2011-10-31,26.86,26.98,26.41,26.43,1489100,25.73
2011-10-28,27.10,27.50,27.00,27.24,1675300,26.52
2011-10-27,27.11,27.65,26.94,27.24,3127400,26.52
2011-10-26,27.35,27.96,25.35,26.58,3636000,25.88
2011-10-25,26.05,26.29,25.16,25.27,2978100,24.61
2011-10-24,25.49,26.29,25.32,26.07,1428500,25.38
2011-10-21,24.85,25.77,24.85,25.37,1615900,24.70
2011-10-20,24.62,24.71,23.91,24.47,1583500,23.83
2011-10-19,24.95,25.05,24.42,24.53,1442400,23.88
2011-10-18,24.30,25.14,23.89,25.00,2138600,24.34
2011-10-17,25.48,25.55,24.32,24.38,1572300,23.74
2011-10-14,24.66,25.78,24.66,25.74,2107600,25.06
2011-10-13,23.99,24.53,23.59,24.28,1846300,23.64
2011-10-12,23.74,24.48,23.74,24.17,1383500,23.53
2011-10-11,23.69,24.00,23.45,23.69,1640200,23.07
2011-10-10,23.65,23.93,23.46,23.92,1663000,23.29
2011-10-07,23.24,23.54,22.64,23.15,2858700,22.54
2011-10-06,22.46,23.00,22.10,22.95,1698600,22.35
2011-10-05,21.98,22.64,21.66,22.52,2595600,21.93
2011-10-04,20.26,21.92,20.15,21.88,3000000,21.30
2011-10-03,20.98,21.41,20.45,20.61,2128300,20.07
2011-09-30,21.56,21.58,21.01,21.22,2423300,20.66
2011-09-29,21.56,22.09,21.33,21.96,2354600,21.38
2011-09-28,21.62,21.69,21.04,21.06,2297700,20.51
2011-09-27,21.60,22.03,21.30,21.48,3017100,20.91
2011-09-26,20.64,21.00,20.11,20.95,1485600,20.40
2011-09-23,19.84,20.44,19.69,20.36,1954000,19.82
2011-09-22,20.27,20.46,19.76,20.06,1868400,19.53
2011-09-21,21.96,22.10,20.90,20.94,1696000,20.39
2011-09-20,22.35,22.85,21.98,22.00,1589300,21.42
2011-09-19,22.24,22.35,21.76,22.16,1253900,21.58
2011-09-16,22.59,22.86,22.27,22.70,1767300,22.10
2011-09-15,22.11,22.65,21.75,22.50,2209600,21.91
2011-09-14,21.58,22.19,21.16,21.85,1661200,21.28
2011-09-13,20.96,21.50,20.84,21.39,1500800,20.83
2011-09-12,20.81,21.05,20.28,20.86,1899000,20.31
2011-09-09,21.74,21.74,20.94,21.15,1930100,20.59
2011-09-08,22.51,22.72,22.02,22.08,1274200,21.50
2011-09-07,22.50,22.91,22.40,22.74,1789300,22.14
2011-09-06,21.74,22.19,21.46,22.09,1918900,21.51
2011-09-02,22.72,22.83,22.30,22.48,1324900,21.89
2011-09-01,24.11,24.39,23.25,23.34,1438400,22.73
2011-08-31,24.11,24.45,23.71,23.92,2067400,23.29
2011-08-30,23.44,24.13,23.24,23.93,2187700,23.30
2011-08-29,22.32,23.47,22.32,23.43,1537000,22.81
2011-08-26,22.04,22.71,21.61,22.64,1057900,22.04
2011-08-25,22.81,23.08,22.12,22.19,1199800,21.61
2011-08-24,22.35,22.78,22.09,22.72,1483100,22.12
2011-08-23,21.72,22.47,21.50,22.47,1944600,21.88
2011-08-22,21.88,22.43,21.81,21.95,2737200,21.24
2011-08-19,21.05,21.86,21.02,21.32,2015400,20.63
2011-08-18,21.93,21.93,21.14,21.46,3449600,20.76
2011-08-17,23.27,23.46,22.55,22.74,2307300,22.00
2011-08-16,23.07,23.35,22.79,23.04,2085600,22.29
2011-08-15,23.26,23.63,23.13,23.39,1842700,22.63
2011-08-12,23.30,23.46,22.59,23.05,2385600,22.30
2011-08-11,22.07,23.58,21.80,23.08,3352500,22.33
2011-08-10,22.86,22.87,21.82,21.89,4389900,21.18
2011-08-09,22.67,23.54,21.98,23.48,5268100,22.72
2011-08-08,23.50,23.70,21.81,22.17,4786100,21.45
2011-08-05,25.19,25.44,23.28,24.13,4426000,23.35
2011-08-04,25.18,25.38,24.62,24.74,2755600,23.94
2011-08-03,25.79,25.97,24.82,25.62,3134000,24.79
2011-08-02,26.52,26.81,25.84,25.86,1972000,25.02
2011-08-01,27.57,27.68,26.39,26.86,2869500,25.99
2011-07-29,26.80,27.48,26.60,27.38,2515400,26.49
2011-07-28,27.26,27.59,27.10,27.16,1737000,26.28
2011-07-27,27.93,28.03,27.10,27.17,2557900,26.29
2011-07-26,29.03,29.11,28.03,28.06,2889800,27.15
2011-07-25,28.97,29.31,28.64,29.08,1496600,28.13
2011-07-22,29.84,29.92,29.25,29.35,1961800,28.40
2011-07-21,28.95,30.16,28.49,29.77,6679100,28.80
2011-07-20,25.75,26.00,25.64,25.82,2633200,24.98
2011-07-19,25.00,25.77,24.88,25.70,1714000,24.86
2011-07-18,25.27,25.28,24.53,24.87,1616800,24.06
2011-07-15,25.38,25.46,25.08,25.38,1163400,24.55
2011-07-14,25.87,25.96,25.28,25.32,1439100,24.50
2011-07-13,26.02,26.23,25.70,25.80,940100,24.96
2011-07-12,25.80,26.07,25.77,25.82,1396800,24.98
2011-07-11,26.27,26.57,25.79,25.93,1456600,25.09
2011-07-08,27.29,27.42,26.45,26.68,2393400,25.81
2011-07-07,27.55,27.90,27.33,27.80,1992200,26.90
2011-07-06,27.00,27.24,26.82,27.23,1313800,26.34
2011-07-05,27.51,27.51,26.96,26.98,1371800,26.10
2011-07-01,27.05,27.74,26.99,27.54,1487600,26.64
2011-06-30,26.51,27.07,26.42,27.03,1745500,26.15
2011-06-29,26.69,26.77,26.24,26.40,2335600,25.54
2011-06-28,26.38,26.54,26.23,26.53,1541400,25.67
2011-06-27,26.06,26.29,25.86,26.24,1407900,25.39
2011-06-24,26.55,26.61,25.86,26.00,1266900,25.15
2011-06-23,26.11,26.58,25.83,26.56,1357000,25.70
2011-06-22,26.70,26.74,26.43,26.49,1465800,25.63
2011-06-21,26.50,26.97,26.29,26.83,1213300,25.96
