Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.47,41.57,41.13,41.29,1225400,41.29
2011-12-29,41.25,41.65,40.82,41.59,1430900,41.59
2011-12-28,41.48,41.60,40.82,41.00,1784100,41.00
2011-12-27,41.60,41.85,41.24,41.62,1862100,41.62
2011-12-23,40.79,41.60,40.34,41.59,1889800,41.59
2011-12-22,39.94,40.97,39.57,40.81,4982700,40.81
2011-12-21,41.31,41.33,39.19,39.90,10378800,39.90
2011-12-20,42.95,44.55,41.71,41.95,14841500,41.95
2011-12-19,48.25,48.25,45.83,46.05,3456400,46.05
2011-12-16,46.66,48.54,46.55,47.64,3108100,47.64
2011-12-15,46.91,47.00,45.70,46.23,2273600,46.23
2011-12-14,46.98,47.13,44.97,45.98,3710100,45.98
2011-12-13,49.34,49.55,46.67,46.98,2514700,46.98
2011-12-12,49.29,49.54,48.37,48.99,1546000,48.99
2011-12-09,49.02,49.95,48.94,49.70,2305000,49.70
2011-12-08,49.35,49.73,48.72,48.81,1987900,48.81
2011-12-07,50.31,50.32,48.96,49.60,3740200,49.60
2011-12-06,51.77,51.97,50.30,50.55,2836700,50.55
2011-12-05,51.21,52.95,51.16,51.80,1609600,51.80
2011-12-02,51.14,51.35,50.13,50.22,1264300,50.22
2011-12-01,49.87,50.73,49.43,50.54,1548200,50.54
2011-11-30,48.62,50.61,48.62,50.08,2792600,50.08
2011-11-29,47.69,48.22,46.92,47.15,1034800,47.15
2011-11-28,46.24,47.94,46.21,47.48,2036300,47.48
2011-11-25,45.52,46.02,44.89,44.93,866000,44.93
2011-11-23,46.89,47.06,45.51,45.51,2095300,45.51
2011-11-22,47.55,48.14,47.08,47.47,1504200,47.47
2011-11-21,48.09,48.21,47.01,47.73,2662400,47.73
2011-11-18,49.78,49.87,48.99,49.04,1947700,49.04
2011-11-17,51.80,51.80,49.21,49.58,1965500,49.58
2011-11-16,52.18,53.42,51.79,51.89,1910300,51.89
2011-11-15,50.15,53.09,50.05,52.72,3045700,52.72
2011-11-14,49.81,50.80,49.78,50.20,1366600,50.20
2011-11-11,49.91,50.69,49.82,50.05,1239900,50.05
2011-11-10,49.46,49.51,47.98,49.07,940600,49.07
2011-11-09,49.36,50.02,48.58,48.67,2221000,48.67
2011-11-08,50.03,50.88,49.26,50.53,1615300,50.53
2011-11-07,50.42,50.66,49.37,50.58,933500,50.58
2011-11-04,50.17,50.65,49.39,50.59,1411200,50.59
2011-11-03,49.30,50.77,48.60,50.61,1838100,50.61
2011-11-02,49.08,49.50,47.67,48.73,2013300,48.73
2011-11-01,47.70,48.87,47.23,48.28,2618800,48.28
2011-10-31,50.87,51.20,49.64,49.65,1944700,49.65
2011-10-28,49.93,52.00,49.93,51.86,1835700,51.86
2011-10-27,48.94,51.54,48.73,51.11,3535400,51.11
2011-10-26,47.09,48.57,46.00,48.23,3401200,48.23
2011-10-25,47.22,47.73,46.35,46.46,1807100,46.46
2011-10-24,46.30,47.57,46.27,47.42,1565100,47.42
2011-10-21,45.82,46.32,45.48,46.29,1623700,46.29
2011-10-20,45.51,45.68,44.33,45.37,1741600,45.37
2011-10-19,46.54,46.54,45.25,45.55,2621100,45.55
2011-10-18,45.38,47.07,44.75,46.82,2641600,46.82
2011-10-17,46.96,47.27,45.85,46.22,2218500,46.22
2011-10-14,46.69,47.69,46.60,47.44,2172000,47.44
2011-10-13,45.38,46.49,45.20,46.18,2219900,46.18
2011-10-12,45.23,46.29,44.88,45.68,2769600,45.68
2011-10-11,43.81,45.26,43.62,44.98,2467400,44.98
2011-10-10,43.66,44.35,43.29,44.17,1968000,44.17
2011-10-07,42.39,43.51,41.86,42.88,3324500,42.88
2011-10-06,40.67,42.09,40.08,42.04,2332300,42.04
2011-10-05,39.96,40.82,39.38,40.64,4677400,40.64
2011-10-04,38.76,40.03,37.85,39.89,5900000,39.89
2011-10-03,42.23,42.48,40.42,40.46,2665700,40.46
2011-09-30,43.16,43.70,42.23,42.26,3544400,42.26
2011-09-29,44.42,44.80,42.75,43.93,3629000,43.93
2011-09-28,44.70,45.07,43.21,43.65,4438600,43.65
2011-09-27,44.00,44.99,43.00,44.72,4241000,44.72
2011-09-26,42.72,43.56,41.52,43.49,3471800,43.49
2011-09-23,41.27,42.56,40.91,42.32,3283900,42.32
2011-09-22,42.18,42.55,40.32,41.49,8954600,41.49
2011-09-21,41.04,41.38,40.25,40.29,4088600,40.29
2011-09-20,41.14,41.68,39.95,40.09,2333200,40.09
2011-09-19,40.45,41.17,39.77,40.94,2277900,40.94
2011-09-16,41.47,41.56,40.59,41.21,2180000,41.21
2011-09-15,40.30,41.34,40.26,41.24,2758500,41.24
2011-09-14,39.00,40.40,38.42,39.68,2025100,39.68
2011-09-13,38.11,38.96,37.89,38.84,2190900,38.84
2011-09-12,36.64,38.03,36.61,38.01,2187000,38.01
2011-09-09,37.76,38.33,36.71,37.23,2097000,37.23
2011-09-08,38.48,39.10,38.16,38.28,1843400,38.28
2011-09-07,37.69,38.60,37.49,38.60,1739600,38.60
2011-09-06,35.92,37.02,35.65,36.95,1843100,36.95
2011-09-02,37.57,37.76,36.91,37.27,1932700,37.27
2011-09-01,39.53,39.99,38.25,38.50,2525400,38.50
2011-08-31,38.41,39.70,38.28,39.54,4091200,39.54
2011-08-30,36.93,38.08,36.69,37.86,2183500,37.86
2011-08-29,36.35,37.24,36.22,37.19,1577400,37.19
2011-08-26,34.29,36.08,34.06,35.90,2153200,35.90
2011-08-25,35.56,35.57,34.34,34.49,1995000,34.49
2011-08-24,34.58,35.48,34.15,35.44,3711900,35.44
2011-08-23,32.56,34.88,32.27,34.81,4512600,34.81
2011-08-22,32.77,33.20,32.17,32.26,3950000,32.26
2011-08-19,33.02,33.89,31.77,31.87,5738900,31.87
2011-08-18,35.44,35.45,32.95,33.33,5761700,33.33
2011-08-17,37.97,38.19,36.23,36.58,2875700,36.58
2011-08-16,38.16,38.19,37.23,37.80,2436000,37.80
2011-08-15,37.73,38.64,37.51,38.62,2409300,38.62
2011-08-12,37.97,38.08,37.06,37.42,3663100,37.42
2011-08-11,35.66,38.18,35.18,37.68,4331400,37.68
2011-08-10,35.66,36.86,35.22,35.32,4439800,35.32
2011-08-09,35.30,36.82,34.03,36.70,5387300,36.70
2011-08-08,36.62,37.12,34.94,34.96,4666300,34.96
2011-08-05,38.96,39.20,36.67,37.75,4654100,37.75
2011-08-04,40.01,40.05,38.58,38.63,3309200,38.63
2011-08-03,40.28,40.88,39.42,40.52,2913900,40.52
2011-08-02,40.86,41.33,40.07,40.25,3750700,40.25
2011-08-01,42.59,42.81,40.64,41.29,3181200,41.29
2011-07-29,42.12,42.69,41.54,42.08,1748000,42.08
2011-07-28,42.57,43.11,42.12,42.66,1702400,42.66
2011-07-27,43.87,43.87,42.40,42.60,2713600,42.60
2011-07-26,44.00,44.65,43.69,44.22,1897700,44.22
2011-07-25,44.00,44.46,43.85,43.95,1645700,43.95
2011-07-22,43.88,44.92,43.88,44.55,2363000,44.55
2011-07-21,43.90,44.22,43.26,43.82,2627500,43.82
2011-07-20,44.52,44.52,43.55,43.70,1700800,43.70
2011-07-19,43.06,44.71,43.04,44.47,3028300,44.47
2011-07-18,43.25,43.28,42.23,43.05,2007900,43.05
2011-07-15,43.06,43.32,42.29,43.30,3792200,43.30
2011-07-14,43.92,44.39,42.30,42.68,2960700,42.68
2011-07-13,44.24,44.77,43.72,43.87,1703600,43.87
2011-07-12,45.39,45.39,43.75,43.78,2014700,43.78
2011-07-11,45.86,46.19,45.09,45.31,1940200,45.31
2011-07-08,46.15,46.55,45.94,46.51,1005900,46.51
2011-07-07,46.91,47.10,46.52,46.67,1215900,46.67
2011-07-06,46.17,46.58,45.89,46.49,1409400,46.49
2011-07-05,46.29,46.46,45.79,46.06,1879400,46.06
2011-07-01,45.80,46.47,45.52,46.40,1490500,46.40
2011-06-30,45.24,46.07,45.00,45.90,2024300,45.90
2011-06-29,45.82,45.82,44.87,45.19,2359400,45.19
2011-06-28,45.30,45.73,45.01,45.65,1798700,45.65
2011-06-27,44.80,45.83,44.69,45.19,2456400,45.19
2011-06-24,45.31,45.49,44.70,45.03,2540200,45.03
