Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,138.38,139.25,137.71,138.08,470500,136.80
2011-12-29,138.82,139.46,137.58,138.40,564100,137.12
2011-12-28,140.27,141.05,138.50,138.72,466000,137.44
2011-12-27,138.83,141.84,137.66,140.64,354500,139.14
2011-12-23,136.60,139.35,136.07,139.30,551200,137.82
2011-12-22,136.92,137.31,135.35,135.97,464200,134.52
2011-12-21,136.76,137.38,135.80,136.62,722300,135.17
2011-12-20,138.12,138.50,136.46,137.30,875500,135.84
2011-12-19,139.66,140.49,135.72,135.98,800600,134.53
2011-12-16,141.31,141.94,138.26,139.13,916400,137.65
2011-12-15,140.00,140.92,137.57,140.11,761600,138.62
2011-12-14,140.25,140.64,137.11,138.88,1191700,137.40
2011-12-13,145.82,146.54,139.47,141.01,685300,139.51
2011-12-12,145.30,146.10,143.47,145.20,785400,143.65
2011-12-09,146.29,147.99,143.58,147.18,797000,145.61
2011-12-08,148.55,150.00,145.65,146.34,807900,144.78
2011-12-07,150.67,151.51,148.19,149.35,924300,147.76
2011-12-06,150.62,152.00,149.52,150.63,1100200,149.03
2011-12-05,147.30,151.60,146.50,150.15,1650100,148.55
2011-12-02,145.09,148.08,144.36,144.71,770900,143.17
2011-12-01,140.89,143.99,139.83,143.32,1591000,141.79
2011-11-30,146.19,146.85,139.88,141.86,1602100,140.35
2011-11-29,143.49,143.57,139.75,140.66,1736300,139.16
2011-11-28,143.32,146.75,143.32,145.34,972900,143.79
2011-11-25,141.27,142.05,138.80,138.80,561000,137.32
2011-11-23,140.09,142.91,138.08,141.79,985000,140.28
2011-11-22,142.40,143.68,140.99,142.18,772600,140.67
2011-11-21,143.30,144.01,140.90,143.04,1315500,141.52
2011-11-18,149.66,149.72,145.38,146.22,1061800,144.66
2011-11-17,151.90,152.59,146.84,148.22,1490500,146.64
2011-11-16,153.58,154.94,151.55,152.00,935300,150.38
2011-11-15,155.86,157.06,153.82,155.41,888800,153.76
2011-11-14,154.80,157.57,154.26,156.11,850100,154.45
2011-11-11,153.19,156.67,150.85,155.50,1006700,153.84
2011-11-10,152.10,153.47,148.31,151.22,1201400,149.61
2011-11-09,149.05,151.82,147.00,149.94,3180300,148.34
