Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,73.37,74.00,73.22,73.37,481900,71.66
2011-12-29,72.10,73.54,71.90,73.44,729800,71.73
2011-12-28,74.42,74.55,71.92,72.04,783800,70.36
2011-12-27,74.18,74.74,73.43,74.34,409800,72.61
2011-12-23,74.48,74.48,73.66,74.17,560200,72.44
2011-12-22,72.72,74.61,72.58,74.10,882200,72.37
2011-12-21,74.76,75.09,72.20,72.45,1830500,70.76
2011-12-20,73.88,75.45,73.75,74.81,965700,73.06
2011-12-19,72.40,73.81,71.78,72.09,1174800,70.41
2011-12-16,72.95,74.39,71.59,71.85,1616300,70.17
2011-12-15,73.57,73.57,71.50,72.04,1116900,70.36
2011-12-14,74.85,75.04,71.73,72.10,1466700,70.42
2011-12-13,75.84,77.25,74.95,75.46,1475000,73.70
2011-12-12,76.45,76.92,74.66,75.48,1284300,73.72
2011-12-09,76.33,77.73,76.18,77.47,1104600,75.66
2011-12-08,76.63,77.21,75.65,76.08,1729900,74.31
2011-12-07,76.23,78.01,76.02,77.48,1707000,75.67
2011-12-06,76.22,77.81,75.95,77.27,1728500,75.47
2011-12-05,75.91,76.27,75.24,76.14,1890600,74.36
2011-12-02,74.83,75.00,73.75,74.62,1946400,72.88
2011-12-01,74.76,75.08,74.01,74.14,1155000,72.41
2011-11-30,74.08,76.16,73.95,75.03,1819700,73.28
2011-11-29,71.61,72.36,70.49,70.93,708400,69.28
2011-11-28,69.75,71.38,69.53,71.04,939700,69.38
2011-11-25,66.91,67.79,66.64,66.91,480100,65.35
2011-11-23,68.08,68.24,67.12,67.17,1065200,65.60
2011-11-22,68.75,70.03,68.55,69.19,980600,67.58
2011-11-21,69.63,69.79,67.93,68.87,1013100,67.26
2011-11-18,71.16,72.03,70.45,71.25,919200,69.59
2011-11-17,72.25,72.52,69.88,70.49,847700,68.85
2011-11-16,73.27,73.87,72.05,72.24,1029100,70.55
2011-11-15,72.85,74.89,72.77,74.37,1059300,72.63
2011-11-14,74.28,75.00,73.02,73.59,940500,71.87
2011-11-11,73.42,75.57,73.35,74.63,1260300,72.89
2011-11-10,71.48,73.68,71.48,72.16,1277700,70.48
2011-11-09,72.07,72.95,69.84,70.34,1493200,68.70
2011-11-08,75.51,76.49,73.84,74.33,3533600,72.18
2011-11-07,69.70,70.69,67.77,69.81,1328100,67.79
2011-11-04,70.65,71.28,69.45,69.98,1331700,67.96
2011-11-03,70.15,71.86,68.24,71.52,1374500,69.45
2011-11-02,67.23,69.28,67.04,69.13,1015100,67.13
2011-11-01,64.85,66.84,64.50,65.68,1464100,63.78
2011-10-31,70.14,70.14,67.64,67.65,1045500,65.69
2011-10-28,70.07,71.62,69.63,71.09,982500,69.03
2011-10-27,68.22,71.38,68.15,70.35,1089200,68.32
2011-10-26,65.75,66.53,64.35,65.39,1429900,63.50
2011-10-25,67.84,67.84,64.51,64.60,1522200,62.73
2011-10-24,66.62,69.07,66.26,68.40,1448500,66.42
2011-10-21,64.64,66.65,64.24,66.54,1587800,64.62
2011-10-20,63.75,64.43,62.36,63.69,1333800,61.85
2011-10-19,65.36,65.39,63.32,63.66,884400,61.82
2011-10-18,62.19,65.97,61.70,65.30,1552400,63.41
2011-10-17,65.58,65.70,61.93,62.11,1384800,60.31
2011-10-14,64.57,66.11,64.39,66.01,1001600,64.10
2011-10-13,63.40,63.63,62.06,63.46,829700,61.63
2011-10-12,62.64,65.36,62.47,64.15,1366300,62.30
2011-10-11,61.05,62.19,61.05,61.87,982700,60.08
2011-10-10,60.74,61.98,60.57,61.59,1127300,59.81
2011-10-07,61.53,61.69,58.77,59.17,1767200,57.46
2011-10-06,59.35,61.44,58.50,60.90,2155900,59.14
2011-10-05,58.14,59.85,57.45,59.48,1399500,57.76
2011-10-04,53.51,57.93,53.06,57.79,2500000,56.12
2011-10-03,55.24,56.28,54.44,54.55,2644500,52.97
2011-09-30,55.99,57.46,55.72,56.00,1985800,54.38
2011-09-29,57.93,58.88,55.77,57.45,2036900,55.79
2011-09-28,57.95,58.64,56.51,56.57,2228400,54.93
2011-09-27,56.61,60.02,56.61,57.98,3801000,56.30
2011-09-26,52.90,55.03,51.26,54.88,2154100,53.29
2011-09-23,51.28,52.99,50.86,52.29,1998300,50.78
2011-09-22,51.97,52.21,50.36,51.54,2209300,50.05
2011-09-21,56.38,56.86,54.02,54.05,1572200,52.49
2011-09-20,59.04,59.33,56.40,56.44,1687700,54.81
2011-09-19,58.29,59.04,57.44,58.57,1112600,56.88
2011-09-16,60.60,60.88,59.12,59.49,2133200,57.77
2011-09-15,59.32,60.84,58.81,60.11,2607300,58.37
2011-09-14,58.68,59.74,56.76,58.68,853300,56.98
2011-09-13,57.12,58.83,56.90,58.18,1027900,56.50
2011-09-12,55.75,57.29,55.38,57.17,1314400,55.52
2011-09-09,56.68,57.97,55.99,56.56,2899100,54.92
2011-09-08,58.50,58.84,56.94,57.76,2839000,56.09
2011-09-07,58.41,59.46,58.16,59.25,2007300,57.54
2011-09-06,56.99,57.63,56.00,57.18,2722300,55.53
2011-09-02,60.51,60.96,58.76,59.30,1467600,57.59
2011-09-01,63.91,64.91,62.31,62.39,2141300,60.59
2011-08-31,62.93,64.78,62.86,64.13,3354400,62.28
2011-08-30,60.07,62.78,59.68,62.33,1567200,60.53
2011-08-29,60.72,61.37,59.49,60.53,1741600,58.78
2011-08-26,57.09,60.38,56.33,59.84,1989400,58.11
2011-08-25,59.61,60.00,57.50,57.73,1496400,56.06
2011-08-24,57.02,59.07,56.52,58.93,1622000,57.23
2011-08-23,53.82,57.49,53.15,57.31,3682400,55.65
2011-08-22,55.09,55.29,53.02,53.71,2125400,52.16
2011-08-19,54.93,56.59,53.26,53.66,2406600,52.11
2011-08-18,59.57,59.72,55.15,55.73,3268900,54.12
2011-08-17,63.42,64.33,61.89,61.99,1709000,60.20
2011-08-16,63.61,64.55,62.37,63.01,1819500,61.19
2011-08-15,65.52,65.98,64.20,64.53,2212000,62.66
2011-08-12,62.42,64.96,62.42,64.93,2571400,63.05
2011-08-11,58.87,63.10,57.90,62.05,3041800,60.26
2011-08-10,59.21,61.05,58.44,58.56,3721400,56.45
2011-08-09,58.04,60.91,56.44,60.89,3894700,58.70
2011-08-08,59.81,61.60,56.37,56.46,3555400,54.43
2011-08-05,66.87,67.01,60.53,62.47,4574100,60.22
2011-08-04,69.36,69.79,65.21,65.27,2787900,62.92
2011-08-03,67.64,71.23,66.23,70.82,3218400,68.27
2011-08-02,70.51,72.05,67.50,67.69,2993700,65.26
2011-08-01,73.12,74.00,70.73,71.15,2438400,68.59
2011-07-29,72.14,72.65,71.13,71.76,2340400,69.18
2011-07-28,80.19,80.19,72.57,73.48,2893900,70.84
2011-07-27,80.33,80.33,76.83,77.07,2269500,74.30
2011-07-26,82.75,83.09,80.44,80.66,969300,77.76
2011-07-25,81.87,83.44,81.65,82.92,676800,79.94
2011-07-22,83.47,83.81,82.54,83.05,619200,80.06
2011-07-21,83.42,84.34,82.94,83.84,943900,80.82
2011-07-20,83.03,83.31,82.24,82.83,505400,79.85
2011-07-19,81.71,83.20,81.65,82.87,762300,79.89
2011-07-18,80.67,81.37,79.99,81.22,1082800,78.30
2011-07-15,81.49,81.63,80.32,81.10,1194400,78.18
2011-07-14,83.81,84.02,80.26,80.79,1798000,77.88
2011-07-13,84.04,84.75,83.35,83.59,838300,80.58
2011-07-12,84.98,85.66,83.47,83.70,1251600,80.69
2011-07-11,86.27,86.40,84.90,85.58,587400,82.50
2011-07-08,87.80,87.85,86.50,87.66,889600,84.51
