Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,62.62,63.28,61.55,61.94,1095500,61.78
2011-12-29,62.13,62.85,61.79,62.49,979100,62.33
2011-12-28,63.02,63.36,61.40,61.81,1030300,61.65
2011-12-27,62.43,63.72,62.43,63.11,1013400,62.95
2011-12-23,63.54,63.82,62.31,62.62,840600,62.46
2011-12-22,62.92,63.95,62.12,63.49,1833500,63.33
2011-12-21,62.14,62.61,60.75,62.45,1374200,62.29
2011-12-20,60.70,62.76,60.68,62.51,1694100,62.35
2011-12-19,60.11,61.14,59.15,59.45,2029400,59.30
2011-12-16,60.28,61.45,59.41,60.20,2263200,60.05
2011-12-15,60.75,60.75,58.91,59.71,2242900,59.56
2011-12-14,60.82,61.03,58.92,59.76,3842800,59.61
2011-12-13,65.18,66.04,61.56,61.95,5105500,61.75
2011-12-12,67.42,67.42,64.17,64.92,1984400,64.71
2011-12-09,68.20,68.53,67.55,68.13,1537100,67.91
2011-12-08,67.74,69.39,67.38,67.95,2064100,67.73
2011-12-07,70.71,70.71,67.24,68.04,1797800,67.82
2011-12-06,70.54,71.28,69.53,70.74,1320900,70.51
2011-12-05,71.49,72.13,69.70,70.63,1274700,70.41
2011-12-02,72.17,72.35,70.26,70.53,1565700,70.31
2011-12-01,71.33,73.00,70.13,71.43,2600600,71.20
2011-11-30,71.41,73.74,71.35,71.71,2377700,71.48
2011-11-29,67.64,69.51,67.30,68.58,1586200,68.36
2011-11-28,66.25,67.41,66.22,66.88,1288300,66.67
2011-11-25,64.25,65.00,63.65,63.90,562900,63.70
2011-11-23,65.86,66.72,64.51,64.55,1688100,64.34
2011-11-22,67.67,68.24,66.13,66.97,1569600,66.76
2011-11-21,68.48,68.60,65.72,67.67,2284000,67.45
2011-11-18,68.93,70.25,68.48,69.76,2093300,69.54
2011-11-17,69.87,72.72,67.88,68.50,3206700,68.28
2011-11-16,70.83,72.67,70.11,70.33,1589200,70.11
2011-11-15,70.52,71.71,69.89,71.25,1107200,71.02
2011-11-14,72.37,72.37,70.15,70.80,1182700,70.57
2011-11-11,72.04,73.00,71.43,72.92,1752000,72.69
2011-11-10,69.00,71.57,68.28,71.19,2239200,70.96
2011-11-09,69.00,69.46,67.42,67.67,2226300,67.45
2011-11-08,71.41,71.41,69.35,71.12,1619300,70.89
2011-11-07,71.42,72.86,69.61,70.96,1593600,70.73
2011-11-04,70.47,72.39,69.93,71.98,2583600,71.75
2011-11-03,71.00,72.22,69.76,71.25,2242700,71.02
2011-11-02,70.66,70.89,68.71,70.15,3463500,69.93
2011-11-01,66.46,69.62,66.46,68.72,2963200,68.50
2011-10-31,71.79,71.82,68.84,68.84,2261800,68.62
2011-10-28,70.13,73.50,70.13,73.25,3092400,73.02
2011-10-27,71.64,72.49,68.35,71.15,4000700,70.92
2011-10-26,73.46,73.46,66.61,70.02,3547000,69.80
2011-10-25,74.28,74.28,70.27,70.37,2171100,70.15
2011-10-24,74.74,74.74,73.00,74.00,1975300,73.76
2011-10-21,73.36,74.43,72.13,73.98,1766500,73.74
