Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,27.53,27.60,27.42,27.55,1516600,26.67
2011-12-29,27.12,27.75,27.12,27.60,1651200,26.72
2011-12-28,28.11,28.17,27.67,27.75,1150300,26.65
2011-12-27,27.83,28.17,27.76,28.12,1586100,27.01
2011-12-23,27.45,27.87,27.37,27.87,1314400,26.77
2011-12-22,27.00,27.61,26.95,27.44,2063900,26.35
2011-12-21,26.95,27.00,26.67,26.95,2304000,25.88
2011-12-20,26.77,27.16,26.77,26.90,2373500,25.83
2011-12-19,26.54,27.00,26.37,26.42,2478000,25.37
2011-12-16,27.07,27.08,26.34,26.46,4899500,25.41
2011-12-15,27.15,27.26,26.60,26.77,2513600,25.71
2011-12-14,26.87,27.12,26.76,26.87,2860000,25.80
2011-12-13,27.36,27.63,26.84,26.93,2320400,25.86
2011-12-12,27.39,27.61,27.07,27.24,2202500,26.16
2011-12-09,26.92,27.69,26.85,27.40,2853800,26.31
2011-12-08,27.14,27.25,26.35,26.79,7572900,25.73
2011-12-07,27.15,27.44,26.98,27.35,5957000,26.27
2011-12-06,27.11,27.37,27.05,27.15,2932200,26.07
2011-12-05,27.06,27.26,26.92,27.03,5205100,25.96
2011-12-02,27.53,27.54,26.69,26.78,3298100,25.72
2011-12-01,27.45,27.61,27.29,27.35,1761200,26.27
2011-11-30,27.34,27.64,27.15,27.45,2666100,26.36
2011-11-29,26.69,26.88,26.57,26.81,3226500,25.75
2011-11-28,26.32,26.71,26.17,26.61,2340000,25.56
2011-11-25,25.79,26.12,25.79,25.82,758500,24.80
2011-11-23,26.05,26.12,25.78,25.88,2045800,24.85
2011-11-22,26.14,26.49,26.04,26.24,1809400,25.20
2011-11-21,26.48,26.55,26.08,26.15,2232400,25.11
2011-11-18,26.80,26.95,26.58,26.76,1965300,25.70
2011-11-17,26.82,26.90,26.47,26.63,2788300,25.57
2011-11-16,27.16,27.34,26.90,26.95,2639600,25.88
2011-11-15,27.11,27.48,27.00,27.23,6835600,26.15
2011-11-14,27.63,27.64,27.18,27.26,2327100,26.18
2011-11-11,27.52,27.73,27.47,27.72,1715000,26.62
2011-11-10,27.52,27.67,26.98,27.15,2343300,26.07
2011-11-09,27.47,27.67,27.13,27.19,2597800,26.11
2011-11-08,27.92,28.03,27.57,27.94,3807400,26.83
2011-11-07,28.00,28.08,27.41,27.69,3657300,26.59
2011-11-04,28.05,28.26,27.72,28.18,2105500,27.06
2011-11-03,28.07,28.41,27.84,28.34,3156300,27.22
2011-11-02,28.00,28.18,27.72,27.79,3084200,26.69
2011-11-01,27.87,28.13,27.49,27.60,5142700,26.51
2011-10-31,28.82,29.16,28.44,28.46,3399800,27.33
2011-10-28,29.87,29.95,28.86,28.98,4396300,27.83
2011-10-27,29.96,30.01,29.32,29.52,4784200,28.35
2011-10-26,29.81,29.87,28.81,29.27,3278200,28.11
2011-10-25,29.32,29.79,28.99,29.44,2338200,28.27
2011-10-24,29.09,29.57,29.06,29.49,1672700,28.32
2011-10-21,28.57,28.98,28.57,28.98,2482600,27.83
2011-10-20,28.35,28.57,28.17,28.38,3081100,27.25
2011-10-19,28.52,28.80,28.26,28.36,2408900,27.24
2011-10-18,28.59,28.73,28.20,28.60,4632400,27.47
2011-10-17,28.94,29.00,28.49,28.58,2169500,27.45
2011-10-14,28.74,29.01,28.62,29.01,2048600,27.86
2011-10-13,28.46,28.53,28.22,28.35,1587600,27.23
2011-10-12,28.51,29.07,28.44,28.74,2483600,27.60
2011-10-11,28.57,28.64,28.16,28.35,2499800,27.23
2011-10-10,28.56,28.85,28.32,28.85,1986700,27.71
2011-10-07,28.32,28.51,27.96,28.08,3071900,26.97
2011-10-06,27.71,28.12,27.37,28.11,2538600,27.00
2011-10-05,27.64,27.76,27.19,27.71,2317300,26.61
2011-10-04,26.60,27.35,26.32,27.35,3900000,26.27
2011-10-03,27.84,28.19,26.95,26.95,3948300,25.88
2011-09-30,27.89,28.66,27.85,28.06,2905200,26.95
2011-09-29,28.35,28.40,27.57,28.10,2886200,26.99
2011-09-28,28.50,29.08,28.10,28.12,2734700,26.79
2011-09-27,28.86,29.12,28.57,28.72,2818200,27.37
2011-09-26,27.93,28.33,27.87,28.31,3625700,26.97
2011-09-23,26.88,27.85,26.80,27.79,3586600,26.48
2011-09-22,26.55,27.04,26.39,26.95,4407500,25.68
2011-09-21,28.37,28.42,27.21,27.21,2205400,25.93
2011-09-20,28.50,29.09,28.19,28.42,2307700,27.08
2011-09-19,28.49,28.50,27.80,28.15,2587900,26.82
2011-09-16,29.12,29.12,28.56,28.84,5693800,27.48
2011-09-15,29.22,29.32,28.77,29.02,2207600,27.65
2011-09-14,28.69,29.14,28.06,28.85,2560900,27.49
2011-09-13,28.31,28.74,28.15,28.51,2576200,27.17
2011-09-12,27.93,28.33,27.66,28.27,3297900,26.94
2011-09-09,28.63,28.80,28.13,28.23,2830200,26.90
2011-09-08,29.13,29.36,28.91,29.03,2373100,27.66
2011-09-07,29.19,29.47,29.04,29.32,3029000,27.94
2011-09-06,28.23,28.91,28.10,28.85,2771200,27.49
2011-09-02,29.50,29.63,28.91,29.00,2850900,27.63
2011-09-01,30.30,30.52,29.89,30.00,3163000,28.59
2011-08-31,30.60,30.71,30.09,30.36,3307200,28.93
2011-08-30,30.30,30.58,30.05,30.41,2784400,28.98
2011-08-29,30.01,30.59,29.97,30.50,2501100,29.06
2011-08-26,29.15,29.91,28.65,29.68,3120000,28.28
2011-08-25,29.86,29.87,29.23,29.36,3274100,27.98
2011-08-24,28.82,29.69,28.75,29.67,3672400,28.27
2011-08-23,28.36,28.92,27.89,28.92,3391000,27.56
2011-08-22,28.05,28.20,27.86,28.08,5412100,26.76
2011-08-19,27.13,27.78,27.08,27.50,7198700,26.20
2011-08-18,27.45,27.48,26.66,27.43,8605300,26.14
