Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,53.35,53.53,52.96,53.14,300200,51.74
2011-12-29,53.02,53.55,52.65,53.47,285600,52.06
2011-12-28,53.79,53.81,52.63,52.70,352000,51.31
2011-12-27,53.50,54.31,53.18,53.92,250200,52.50
2011-12-23,53.49,53.75,52.95,53.69,163900,52.27
2011-12-22,52.83,53.66,52.33,53.41,396700,52.00
2011-12-21,51.95,52.91,51.31,52.79,408300,51.40
2011-12-20,50.81,52.17,50.75,51.95,423900,50.58
2011-12-19,51.27,51.54,49.55,49.72,474500,48.41
2011-12-16,51.84,51.84,50.59,50.76,886900,49.42
2011-12-15,50.68,50.95,50.08,50.29,276400,48.96
2011-12-14,51.60,51.62,49.89,50.06,637500,48.74
2011-12-13,53.05,53.40,51.14,51.53,384400,50.17
2011-12-12,52.33,52.67,51.35,52.60,376300,51.21
2011-12-09,52.14,53.28,51.99,53.02,367600,51.62
2011-12-08,52.47,53.09,51.63,51.77,600800,50.40
2011-12-07,52.53,53.50,51.69,53.05,563600,51.65
2011-12-06,53.41,53.76,52.53,52.96,899600,51.56
2011-12-05,53.76,54.35,53.03,53.62,771000,52.21
2011-12-02,52.79,53.19,52.36,52.85,547900,51.46
2011-12-01,52.30,52.53,51.64,52.05,575300,50.68
2011-11-30,51.35,52.42,50.25,52.28,1441800,50.90
2011-11-29,48.34,49.30,47.85,48.93,768600,47.64
2011-11-28,48.86,48.86,47.72,48.19,968900,46.92
2011-11-25,47.18,47.63,46.74,46.74,284500,45.51
2011-11-23,48.44,48.91,47.48,47.52,735300,46.27
2011-11-22,50.13,50.35,48.86,49.15,959800,47.85
2011-11-21,50.13,50.64,49.15,50.11,563700,48.79
2011-11-18,51.81,52.33,51.09,51.14,888200,49.79
2011-11-17,51.87,52.48,50.73,51.12,624200,49.77
2011-11-16,52.82,53.89,52.37,52.42,552500,50.76
2011-11-15,52.65,53.87,52.45,53.54,553000,51.84
2011-11-14,52.75,53.49,52.39,52.99,667900,51.31
2011-11-11,51.08,53.23,51.00,53.11,672000,51.42
2011-11-10,50.38,50.71,49.21,50.17,541300,48.58
2011-11-09,50.67,50.83,49.44,49.63,740600,48.05
2011-11-08,51.21,51.85,50.06,51.68,369300,50.04
2011-11-07,51.33,51.66,50.04,51.06,403100,49.44
2011-11-04,50.94,51.60,49.86,51.52,485800,49.88
2011-11-03,50.86,51.73,49.85,51.51,503700,49.87
2011-11-02,50.64,51.07,49.23,50.09,637600,48.50
2011-11-01,48.81,50.16,47.63,49.13,1071200,47.57
2011-10-31,51.03,52.07,50.61,50.94,802000,49.32
2011-10-28,51.50,52.37,51.46,51.80,671600,50.16
2011-10-27,50.79,51.99,50.20,51.32,703100,49.69
2011-10-26,47.64,49.24,47.64,48.90,1327900,47.35
2011-10-25,48.10,48.10,45.84,46.85,1104800,45.36
2011-10-24,47.67,48.81,47.29,48.20,914200,46.67
2011-10-21,46.57,47.73,46.43,47.09,492200,45.59
2011-10-20,45.48,46.36,44.97,46.10,665200,44.64
2011-10-19,45.94,45.97,44.61,45.30,923300,43.86
2011-10-18,43.29,45.99,42.59,45.52,862400,44.07
2011-10-17,44.76,44.92,43.00,43.14,601000,41.77
2011-10-14,44.32,45.11,44.11,44.97,606200,43.54
2011-10-13,43.03,43.95,42.57,43.53,901300,42.15
2011-10-12,41.61,43.94,41.61,43.27,1103200,41.90
2011-10-11,40.63,41.62,40.29,41.35,805400,40.04
2011-10-10,39.81,41.07,39.74,40.96,544200,39.66
2011-10-07,39.70,40.35,38.60,38.98,973400,37.74
2011-10-06,38.44,39.65,37.80,39.58,731100,38.32
2011-10-05,37.48,38.82,36.81,38.55,892800,37.33
2011-10-04,34.65,37.51,34.28,37.47,1100000,36.28
2011-10-03,37.01,37.86,35.43,35.45,818200,34.32
2011-09-30,38.60,38.84,37.51,37.51,610100,36.32
2011-09-29,39.46,39.86,38.47,39.45,505200,38.20
2011-09-28,40.80,40.87,38.70,38.76,663700,37.53
2011-09-27,40.35,41.62,39.94,40.55,758000,39.26
2011-09-26,39.38,39.50,37.91,39.37,924000,38.12
2011-09-23,38.78,39.39,38.57,38.91,909400,37.67
2011-09-22,39.54,39.85,38.16,38.99,1045500,37.75
2011-09-21,43.27,43.40,40.68,40.72,832000,39.43
2011-09-20,44.85,45.13,43.29,43.29,448900,41.92
2011-09-19,44.35,45.02,43.92,44.68,443400,43.26
2011-09-16,45.56,46.16,45.04,45.33,767400,43.89
2011-09-15,45.52,46.41,45.33,45.75,719600,44.30
2011-09-14,44.25,45.71,42.88,45.03,625300,43.60
2011-09-13,42.77,44.12,42.64,43.99,576800,42.59
2011-09-12,42.01,43.00,41.49,42.54,630200,41.19
2011-09-09,43.72,44.16,42.26,42.75,511400,41.39
2011-09-08,44.60,45.23,44.06,44.30,564100,42.89
2011-09-07,44.09,45.11,43.93,45.05,631500,43.62
2011-09-06,42.65,43.15,41.73,43.02,733600,41.65
2011-09-02,45.18,45.48,44.01,44.35,596400,42.94
2011-09-01,47.15,47.63,46.08,46.12,519100,44.66
2011-08-31,47.07,48.00,46.64,47.08,671200,45.58
2011-08-30,45.29,46.97,45.10,46.67,1059100,45.19
2011-08-29,45.12,45.79,44.77,45.45,810100,44.01
2011-08-26,42.02,44.45,41.40,44.38,1090500,42.97
2011-08-25,43.28,43.99,42.11,42.35,621600,41.01
2011-08-24,41.80,43.06,41.66,42.99,474900,41.62
2011-08-23,40.51,42.07,40.18,42.06,555300,40.72
2011-08-22,42.05,42.10,40.25,40.61,670500,39.32
2011-08-19,41.50,42.76,40.67,40.86,974100,39.56
2011-08-18,44.14,44.14,41.84,42.34,1155200,41.00
2011-08-17,45.76,46.81,45.26,45.93,981600,44.19
2011-08-16,46.23,46.64,45.50,45.75,790000,44.02
2011-08-15,46.60,47.10,46.23,46.93,686600,45.15
2011-08-12,46.16,47.28,45.88,46.21,919700,44.46
2011-08-11,43.82,46.27,42.96,45.60,1451600,43.87
2011-08-10,43.82,45.54,43.10,43.55,1428800,41.90
2011-08-09,43.36,45.12,41.67,45.05,1339800,43.34
2011-08-08,46.89,47.27,42.65,42.65,2070900,41.03
2011-08-05,49.74,49.97,46.92,48.46,1551400,46.62
2011-08-04,51.42,51.56,48.89,48.94,1335300,47.09
2011-08-03,52.72,53.12,51.05,52.15,1500900,50.18
2011-08-02,55.35,55.63,52.68,52.77,1508700,50.77
2011-08-01,57.15,57.54,54.92,55.87,923000,53.75
2011-07-29,56.45,56.67,55.31,56.32,1170400,54.19
2011-07-28,59.63,59.81,56.91,57.14,950500,54.98
2011-07-27,59.86,60.38,57.33,57.88,1347000,55.69
2011-07-26,58.18,58.18,56.80,57.65,702900,55.47
2011-07-25,58.01,59.16,57.66,58.58,382300,56.36
2011-07-22,58.66,58.77,58.09,58.63,281700,56.41
2011-07-21,58.92,59.59,58.61,58.75,501700,56.53
2011-07-20,58.09,58.77,57.84,58.05,471300,55.85
2011-07-19,57.10,57.81,56.82,57.56,378900,55.38
2011-07-18,56.94,56.94,56.22,56.63,368400,54.49
2011-07-15,57.02,57.05,56.13,57.02,488100,54.86
2011-07-14,57.08,57.44,56.13,56.61,422000,54.47
2011-07-13,56.73,57.66,56.47,56.82,271700,54.67
2011-07-12,57.54,57.70,56.57,56.57,538900,54.43
2011-07-11,57.23,57.89,57.03,57.54,575100,55.36
2011-07-08,57.90,58.26,56.79,58.08,661000,55.88
2011-07-07,58.46,59.53,58.19,59.35,551900,57.10
2011-07-06,57.61,58.06,57.25,57.95,562200,55.76
2011-07-05,58.35,58.50,57.44,57.70,489500,55.52
2011-07-01,57.18,59.25,56.85,58.60,899200,56.38
2011-06-30,55.09,57.04,54.94,56.85,780700,54.70
2011-06-29,54.75,55.40,54.69,55.00,598400,52.92
2011-06-28,53.53,54.54,53.34,54.48,402400,52.42
2011-06-27,52.75,53.62,52.60,53.20,471500,51.19
2011-06-24,53.79,54.32,52.60,52.75,902700,50.75
2011-06-23,52.66,53.91,52.29,53.83,523400,51.79
2011-06-22,53.66,54.46,53.44,53.48,443300,51.45
2011-06-21,53.13,54.04,53.13,53.95,439500,51.91
2011-06-20,51.47,52.76,51.17,52.61,427000,50.62
2011-06-17,51.38,52.27,51.30,51.50,603100,49.55
2011-06-16,50.81,51.26,50.41,50.95,661700,49.02
2011-06-15,51.17,51.53,50.55,50.82,436800,48.90
2011-06-14,51.48,52.08,51.34,51.62,452900,49.67
2011-06-13,50.90,51.72,50.45,50.90,379100,48.97
2011-06-10,51.11,51.37,50.37,50.45,466800,48.54
2011-06-09,50.79,51.75,50.33,51.28,672300,49.34
2011-06-08,50.71,50.82,50.03,50.45,527400,48.54
2011-06-07,51.57,51.60,50.64,50.70,515700,48.78
2011-06-06,52.08,52.15,50.87,51.22,637700,49.28
2011-06-03,52.47,52.92,52.00,52.09,492000,50.12
2011-06-02,53.08,53.79,52.66,53.26,515300,51.24
2011-06-01,54.69,54.90,52.86,52.86,456800,50.86
2011-05-31,55.16,55.23,54.20,55.00,521800,52.92
2011-05-27,55.00,55.06,54.25,54.45,316500,52.39
2011-05-26,53.89,55.00,53.55,54.80,388700,52.72
2011-05-25,53.34,54.47,53.29,54.19,447800,52.14
2011-05-24,54.25,54.47,53.49,53.52,601500,51.49
2011-05-23,53.91,54.34,53.47,54.16,420600,52.11
2011-05-20,55.19,55.19,54.20,54.65,450200,52.58
2011-05-19,55.33,55.62,54.84,55.23,367800,53.14
2011-05-18,54.44,55.26,54.13,55.24,632100,52.89
2011-05-17,54.54,54.72,54.03,54.36,772800,52.05
2011-05-16,54.13,55.30,54.13,54.60,1117600,52.28
2011-05-13,53.88,55.67,53.80,55.05,1896400,52.71
2011-05-12,53.36,53.56,52.41,53.49,1119300,51.21
2011-05-11,53.56,53.84,53.16,53.35,907000,51.08
2011-05-10,53.21,53.65,53.02,53.63,562100,51.35
2011-05-09,52.48,53.04,52.25,52.95,599400,50.70
2011-05-06,53.38,53.50,52.32,52.53,670300,50.29
2011-05-05,52.26,53.31,52.06,52.58,561800,50.34
2011-05-04,53.40,53.69,51.70,52.51,817700,50.27
2011-05-03,53.58,53.72,53.00,53.39,616900,51.12
2011-05-02,53.91,54.24,53.45,53.62,671700,51.34
2011-04-29,54.04,54.16,53.31,53.50,623000,51.22
2011-04-28,53.18,54.68,53.04,54.05,1094200,51.75
2011-04-27,52.75,53.65,52.75,53.60,769800,51.32
2011-04-26,51.53,53.80,51.22,52.96,2100000,50.71
2011-04-25,51.20,51.55,50.32,50.46,868000,48.31
2011-04-21,50.98,51.51,50.68,51.13,499600,48.95
2011-04-20,50.59,50.85,49.89,50.59,631900,48.44
2011-04-19,49.67,50.10,49.44,49.89,640100,47.77
2011-04-18,50.10,50.24,49.32,49.59,620200,47.48
2011-04-15,50.33,51.18,50.33,50.96,509800,48.79
2011-04-14,49.89,50.56,49.67,50.14,530900,48.01
2011-04-13,50.85,51.18,49.94,50.19,721900,48.05
2011-04-12,49.95,50.83,49.80,50.60,963200,48.45
2011-04-11,49.80,50.18,49.61,49.97,606500,47.84
2011-04-08,51.26,51.33,49.51,49.72,658400,47.60
2011-04-07,51.25,52.06,50.82,50.89,519500,48.72
2011-04-06,51.42,51.79,51.21,51.29,823900,49.11
2011-04-05,51.48,51.75,50.96,51.12,1074600,48.94
2011-04-04,50.76,50.95,50.26,50.42,510500,48.27
2011-04-01,50.91,51.45,50.61,50.66,853700,48.50
2011-03-31,50.04,50.86,50.04,50.60,849800,48.45
2011-03-30,50.10,50.69,50.10,50.18,681200,48.04
2011-03-29,49.21,50.03,49.01,49.85,528200,47.73
2011-03-28,49.81,49.96,49.23,49.35,374200,47.25
2011-03-25,49.39,49.83,49.10,49.65,387400,47.54
2011-03-24,49.06,49.34,48.68,49.17,504100,47.08
2011-03-23,48.60,48.95,48.00,48.83,335600,46.75
2011-03-22,49.41,49.69,48.67,48.72,358100,46.65
2011-03-21,48.56,49.47,48.37,49.40,480100,47.30
2011-03-18,47.95,48.18,47.44,47.81,616200,45.77
2011-03-17,48.05,48.25,47.14,47.21,762600,45.20
2011-03-16,47.54,48.35,46.90,47.17,819300,45.16
2011-03-15,46.38,48.32,46.30,47.83,1065700,45.79
2011-03-14,47.33,47.73,46.63,47.20,554900,45.19
2011-03-11,47.46,48.06,46.72,47.85,324000,45.81
2011-03-10,47.62,48.22,46.95,47.48,610200,45.46
2011-03-09,48.24,48.90,48.02,48.36,564700,46.30
2011-03-08,47.23,48.57,46.77,48.46,467800,46.40
2011-03-07,48.23,48.41,46.48,47.03,938600,45.03
2011-03-04,48.52,48.62,47.72,48.06,528200,46.01
2011-03-03,47.29,48.73,47.29,48.68,556100,46.61
2011-03-02,46.52,47.07,46.16,46.86,460000,44.87
2011-03-01,48.04,48.07,46.27,46.50,609600,44.52
2011-02-28,47.61,48.23,47.52,47.83,523200,45.79
2011-02-25,47.08,47.67,46.87,47.47,368100,45.45
2011-02-24,46.88,47.39,45.93,46.85,829800,44.86
2011-02-23,47.82,48.16,46.15,46.87,911000,44.87
2011-02-22,49.00,49.07,47.70,47.85,395500,45.81
2011-02-18,50.14,50.14,49.21,49.41,596700,47.31
2011-02-17,49.04,49.69,48.77,49.48,541200,47.37
2011-02-16,48.65,50.05,48.52,49.25,772500,46.89
2011-02-15,48.87,48.89,47.98,48.42,596300,46.10
2011-02-14,49.17,49.40,48.93,48.97,646900,46.63
2011-02-11,49.55,49.65,49.13,49.31,887800,46.95
2011-02-10,49.02,49.94,49.02,49.81,659200,47.43
2011-02-09,49.66,49.72,49.04,49.33,572500,46.97
2011-02-08,50.12,50.24,49.60,49.80,642700,47.42
2011-02-07,50.33,50.86,49.91,50.04,610000,47.65
2011-02-04,50.48,50.75,50.00,50.39,680700,47.98
2011-02-03,48.76,52.21,48.70,50.74,1094100,48.31
2011-02-02,49.17,49.79,48.68,48.74,866000,46.41
2011-02-01,48.69,49.81,48.48,49.49,809300,47.12
2011-01-31,47.87,48.38,47.74,48.08,743600,45.78
2011-01-28,49.40,49.77,47.72,47.73,747400,45.45
2011-01-27,49.54,49.94,49.05,49.42,1048400,47.06
2011-01-26,49.11,50.00,48.92,49.46,609100,47.09
2011-01-25,49.41,49.50,48.60,48.92,478000,46.58
2011-01-24,49.56,49.80,49.37,49.63,701600,47.26
2011-01-21,50.14,50.14,49.32,49.49,345400,47.12
2011-01-20,50.50,50.63,49.70,49.74,583300,47.36
2011-01-19,51.08,51.44,50.19,50.53,686800,48.11
2011-01-18,51.48,51.76,50.78,50.99,318000,48.55
2011-01-14,51.43,51.59,51.10,51.43,343900,48.97
2011-01-13,51.66,51.96,51.34,51.51,406400,49.05
2011-01-12,51.93,52.18,51.50,51.78,515400,49.30
2011-01-11,52.57,52.70,51.45,51.55,400700,49.08
2011-01-10,51.70,52.46,51.33,52.45,613500,49.94
2011-01-07,52.29,53.00,51.25,51.91,477000,49.43
2011-01-06,52.06,52.49,51.73,52.15,448600,49.66
2011-01-05,51.80,52.21,51.37,51.98,530700,49.49
2011-01-04,52.67,52.72,51.21,51.95,573500,49.47
2011-01-03,53.09,53.63,52.55,52.57,469600,50.06
