Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,17.10,17.27,17.04,17.21,2265000,16.66
2011-12-29,16.95,17.13,16.91,17.06,2204100,16.52
2011-12-28,17.05,17.06,16.74,16.86,2187900,16.32
2011-12-27,16.95,17.12,16.91,17.07,2312300,16.53
2011-12-23,17.12,17.18,16.91,17.05,2373100,16.51
2011-12-22,16.85,17.06,16.68,17.04,4567000,16.50
2011-12-21,17.00,17.01,16.60,16.75,11478600,16.22
2011-12-20,17.04,17.43,16.96,17.14,2148300,16.60
2011-12-19,17.47,17.50,16.59,16.67,2789900,16.14
2011-12-16,17.38,17.62,17.20,17.42,1894200,16.87
2011-12-15,17.24,17.36,17.08,17.21,1421500,16.66
2011-12-14,17.31,17.33,16.96,17.05,2419600,16.51
2011-12-13,17.80,18.03,17.20,17.39,2090600,16.84
2011-12-12,17.97,18.05,17.48,17.65,2075200,17.09
2011-12-09,17.94,18.32,17.94,18.15,2068900,17.57
2011-12-08,18.58,18.64,17.86,17.90,2671500,17.33
2011-12-07,18.29,18.80,18.24,18.72,3880200,18.13
2011-12-06,18.20,18.42,18.06,18.29,3027000,17.71
2011-12-05,18.12,18.34,17.95,18.06,1589700,17.49
2011-12-02,17.83,17.99,17.79,17.82,2842400,17.25
2011-12-01,17.56,17.75,17.48,17.63,1775500,17.07
2011-11-30,17.40,17.62,17.00,17.62,2829300,17.06
2011-11-29,16.90,16.96,16.67,16.72,1522200,16.06
2011-11-28,16.84,17.01,16.63,16.84,1647300,16.18
2011-11-25,16.34,16.58,16.30,16.31,542600,15.67
2011-11-23,16.59,16.65,16.32,16.39,1340400,15.75
2011-11-22,16.63,17.03,16.62,16.82,2802500,16.16
2011-11-21,16.61,16.72,16.40,16.61,1589200,15.96
2011-11-18,16.84,17.17,16.84,16.88,1842500,16.22
2011-11-17,17.34,17.36,16.69,16.85,3147800,16.19
2011-11-16,17.56,17.79,17.37,17.42,2268300,16.74
2011-11-15,17.71,17.92,17.48,17.78,1930700,17.08
2011-11-14,18.12,18.31,17.63,17.76,2216400,17.06
2011-11-11,17.87,18.27,17.82,18.15,2002900,17.44
2011-11-10,17.70,17.78,17.35,17.61,2429000,16.92
2011-11-09,17.79,17.99,17.35,17.50,3269900,16.81
2011-11-08,17.93,18.32,17.54,18.24,3684200,17.52
2011-11-07,17.73,17.87,17.42,17.82,2524000,17.12
2011-11-04,17.60,17.80,17.46,17.70,3787800,17.01
2011-11-03,17.99,18.07,17.71,17.80,4911000,17.10
2011-11-02,17.81,17.98,17.49,17.75,3157800,17.05
2011-11-01,17.23,17.71,16.97,17.58,3161600,16.89
2011-10-31,18.13,18.25,17.74,17.80,4000600,17.10
2011-10-28,18.36,18.47,18.14,18.35,3324600,17.63
2011-10-27,18.22,18.65,18.03,18.44,5846300,17.72
2011-10-26,17.03,17.70,16.73,17.48,3935700,16.79
2011-10-25,17.77,17.89,17.48,17.61,2418400,16.92
2011-10-24,17.44,17.94,17.43,17.90,2767600,17.20
2011-10-21,17.21,17.42,17.03,17.34,3940900,16.66
2011-10-20,16.95,17.12,16.49,17.02,2121100,16.35
2011-10-19,17.26,17.40,16.85,16.90,3070800,16.24
2011-10-18,16.85,17.36,16.70,17.23,3967400,16.55
2011-10-17,17.27,17.43,16.70,16.86,1756500,16.20
2011-10-14,17.75,17.79,17.33,17.52,2041900,16.83
2011-10-13,17.49,17.66,17.25,17.51,2042000,16.82
2011-10-12,17.27,17.79,17.25,17.67,4350300,16.98
2011-10-11,16.80,17.19,16.76,17.12,1733200,16.45
2011-10-10,16.81,16.97,16.70,16.95,1730600,16.28
2011-10-07,16.96,16.98,16.22,16.47,2093500,15.82
2011-10-06,16.45,16.92,16.27,16.90,1979800,16.24
2011-10-05,16.43,16.55,16.14,16.50,1954000,15.85
2011-10-04,15.37,16.42,15.05,16.40,2500000,15.76
2011-10-03,16.51,16.80,15.61,15.61,2711100,15.00
2011-09-30,17.20,17.32,16.70,16.70,1486900,16.04
2011-09-29,17.56,17.74,17.04,17.45,1975800,16.76
2011-09-28,18.05,18.21,17.18,17.20,1945500,16.52
2011-09-27,18.31,18.54,17.95,18.08,2118200,17.37
2011-09-26,17.58,17.88,17.28,17.88,1432800,17.18
2011-09-23,17.13,17.56,17.04,17.42,1667700,16.74
2011-09-22,17.49,17.69,16.91,17.21,2760800,16.53
2011-09-21,18.23,18.51,18.08,18.09,2371900,17.38
2011-09-20,18.82,18.90,18.28,18.30,2450100,17.58
2011-09-19,18.73,18.88,18.54,18.81,2531100,18.07
2011-09-16,19.17,19.27,18.81,19.13,1835300,18.38
2011-09-15,18.46,19.15,18.29,19.06,4721000,18.31
2011-09-14,18.07,18.54,17.79,18.27,3021800,17.55
2011-09-13,17.52,18.00,17.45,17.90,2052900,17.20
2011-09-12,17.32,17.57,17.07,17.52,1748900,16.83
2011-09-09,17.78,17.83,17.31,17.45,1525900,16.76
2011-09-08,18.03,18.18,17.95,18.01,1810500,17.30
2011-09-07,17.91,18.19,17.78,18.17,2471500,17.46
2011-09-06,17.11,17.70,17.11,17.59,2455800,16.90
2011-09-02,17.78,17.92,17.70,17.75,2525000,17.05
2011-09-01,18.32,18.45,17.96,18.23,2846400,17.51
2011-08-31,18.12,18.63,18.12,18.42,2978600,17.70
2011-08-30,17.40,18.32,17.16,18.20,6857000,17.36
2011-08-29,17.27,17.49,17.17,17.42,6041400,16.62
2011-08-26,17.00,17.04,16.20,17.02,7975100,16.23
2011-08-25,17.99,18.08,17.04,17.13,3348400,16.34
2011-08-24,17.42,17.79,17.34,17.78,1851200,16.96
2011-08-23,17.27,17.47,17.12,17.47,1913400,16.66
2011-08-22,17.80,17.84,17.14,17.20,996900,16.41
2011-08-19,17.42,17.76,17.33,17.37,1501400,16.57
2011-08-18,18.31,18.32,17.49,17.66,2163200,16.85
2011-08-17,19.03,19.21,18.73,18.84,1300100,17.97
2011-08-16,18.71,19.07,18.59,18.87,3351700,18.00
2011-08-15,19.00,19.00,18.66,18.98,1657200,18.10
2011-08-12,18.61,18.73,18.33,18.46,1320700,17.61
2011-08-11,17.97,18.68,17.85,18.42,1885600,17.57
2011-08-10,18.69,18.81,17.85,17.91,3258900,17.08
2011-08-09,18.25,19.14,17.75,19.06,3211400,18.18
2011-08-08,19.12,19.41,17.96,17.96,2944100,17.13
2011-08-05,20.03,20.18,19.24,19.62,2590300,18.71
2011-08-04,20.37,20.46,19.68,19.73,2869900,18.82
2011-08-03,20.50,20.68,20.03,20.63,3249900,19.68
2011-08-02,21.08,21.32,20.50,20.52,2071800,19.57
2011-08-01,21.69,21.72,21.18,21.34,1711600,20.36
2011-07-29,21.25,21.58,21.08,21.53,2911800,20.54
2011-07-28,21.93,21.99,21.42,21.45,2150900,20.46
2011-07-27,22.25,22.47,21.75,21.80,2054100,20.79
2011-07-26,22.68,22.72,22.43,22.45,1400000,21.41
2011-07-25,22.79,22.93,22.56,22.73,1089700,21.68
2011-07-22,23.03,23.10,22.92,23.05,1943100,21.99
2011-07-21,22.49,23.08,22.41,23.01,3459700,21.95
2011-07-20,22.51,22.58,22.24,22.27,1836400,21.24
2011-07-19,22.52,22.65,22.32,22.40,1669500,21.37
2011-07-18,22.90,23.02,22.50,22.56,1178700,21.52
2011-07-15,23.20,23.29,22.86,23.04,1189000,21.98
2011-07-14,23.51,23.54,23.02,23.09,1176100,22.02
2011-07-13,23.88,23.95,23.47,23.53,1417400,22.44
2011-07-12,23.85,24.25,23.73,23.78,2356200,22.68
2011-07-11,23.19,23.32,23.16,23.30,1424700,22.23
2011-07-08,23.56,23.63,23.34,23.53,907700,22.44
2011-07-07,23.91,23.99,23.78,23.85,1335200,22.75
2011-07-06,23.53,23.76,23.46,23.76,1351100,22.66
2011-07-05,23.89,23.92,23.52,23.61,945200,22.52
2011-07-01,23.91,24.11,23.75,23.87,1828000,22.77
2011-06-30,23.43,23.84,23.40,23.79,1592700,22.69
2011-06-29,23.45,23.64,23.25,23.34,1584000,22.26
2011-06-28,22.95,23.40,22.90,23.39,1704800,22.31
2011-06-27,22.56,22.87,22.32,22.83,1441100,21.78
2011-06-24,22.56,22.64,22.28,22.51,1814000,21.47
2011-06-23,22.53,22.62,22.31,22.50,3117200,21.46
2011-06-22,22.94,23.03,22.72,22.80,1583200,21.75
2011-06-21,23.09,23.11,22.86,22.96,1463600,21.90
2011-06-20,22.93,23.16,22.79,22.90,1441100,21.84
2011-06-17,23.10,23.20,22.93,22.98,1316800,21.92
2011-06-16,23.03,23.19,22.72,22.90,1746200,21.84
2011-06-15,23.39,23.49,22.96,23.05,1639300,21.99
2011-06-14,23.73,23.74,23.44,23.65,2441100,22.56
2011-06-13,23.42,23.53,23.30,23.42,2029000,22.34
2011-06-10,23.80,23.95,23.27,23.42,3408900,22.34
2011-06-09,23.61,24.05,23.43,23.93,3518900,22.83
2011-06-08,22.91,23.11,22.80,23.06,2934300,22.00
2011-06-07,22.59,23.17,22.55,22.95,2805000,21.89
2011-06-06,22.80,22.80,21.99,22.48,6969300,21.44
2011-06-03,22.07,22.73,21.88,21.89,5238700,20.88
2011-06-02,23.89,24.06,21.96,22.40,10746000,21.37
2011-06-01,27.48,27.55,23.79,23.84,11733200,22.74
2011-05-31,25.65,25.70,25.31,25.68,911600,24.37
2011-05-27,25.35,25.49,25.25,25.35,585800,24.06
2011-05-26,25.14,25.40,24.94,25.27,975500,23.98
2011-05-25,25.11,25.31,24.89,25.21,761500,23.93
2011-05-24,25.44,25.54,25.14,25.24,590300,23.95
2011-05-23,25.47,25.56,25.30,25.36,1025700,24.07
