Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.31,32.85,31.76,31.78,1654400,31.78
2011-12-29,33.59,33.97,32.63,32.90,1553700,32.90
2011-12-28,32.06,34.30,31.94,33.33,4981300,33.33
2011-12-27,36.75,37.90,33.26,33.38,9624300,33.38
2011-12-23,47.33,47.33,45.20,45.85,1050200,45.85
2011-12-22,45.42,47.18,44.84,45.82,1413200,45.82
2011-12-21,45.84,46.72,43.99,44.88,850900,44.88
2011-12-20,45.95,46.91,44.72,46.07,1300000,46.07
2011-12-19,46.75,48.10,44.81,45.19,2008200,45.19
2011-12-16,50.97,51.80,45.52,46.16,2659000,46.16
2011-12-15,53.86,54.48,50.20,50.37,1342400,50.37
2011-12-14,53.37,53.37,50.00,51.17,1129000,51.17
2011-12-13,57.12,57.40,52.75,53.71,1028400,53.71
2011-12-12,56.00,56.96,54.80,56.61,987700,56.61
2011-12-09,54.95,57.70,54.92,56.96,1121800,56.96
2011-12-08,59.75,60.22,58.18,58.34,621000,58.34
2011-12-07,59.40,61.18,58.95,60.49,535400,60.49
2011-12-06,59.08,60.43,58.36,59.99,479300,59.99
2011-12-05,59.07,59.94,58.31,59.30,398700,59.30
2011-12-02,58.04,59.94,57.97,58.56,490500,58.56
2011-12-01,59.40,59.49,57.00,57.48,894200,57.48
2011-11-30,58.91,60.77,57.97,60.33,759300,60.33
2011-11-29,58.11,58.55,56.56,57.48,638200,57.48
2011-11-28,60.53,61.73,56.79,57.83,1153000,57.83
2011-11-25,59.02,60.16,58.29,58.40,336500,58.40
2011-11-23,62.00,63.13,59.14,59.15,721300,59.15
2011-11-22,63.88,64.74,61.59,62.23,780700,62.23
2011-11-21,64.10,65.00,62.58,64.04,935300,64.04
2011-11-18,64.49,65.45,62.86,64.27,1490200,64.27
2011-11-17,64.50,66.75,62.10,65.19,2326600,65.19
2011-11-16,69.88,70.99,68.00,68.30,945400,68.30
2011-11-15,71.01,71.62,67.74,70.03,1050500,70.03
2011-11-14,73.85,74.81,70.72,72.25,581400,72.25
2011-11-11,73.79,74.79,72.47,74.34,299900,74.34
2011-11-10,74.19,74.19,72.09,72.80,266800,72.80
2011-11-09,75.97,76.84,72.50,73.05,441600,73.05
2011-11-08,76.99,79.20,75.56,77.61,561700,77.61
2011-11-07,78.36,78.36,74.50,76.66,480800,76.66
2011-11-04,78.61,79.35,75.50,78.15,330800,78.15
2011-11-03,79.08,79.40,77.20,79.19,355000,79.19
2011-11-02,77.92,80.37,77.15,79.41,457800,79.41
2011-11-01,76.44,79.13,75.50,78.03,438600,78.03
2011-10-31,77.93,79.84,77.20,78.18,405400,78.18
2011-10-28,81.66,82.20,77.20,78.69,665600,78.69
2011-10-27,78.35,83.25,77.62,82.43,895000,82.43
2011-10-26,75.18,77.77,74.42,77.17,687700,77.17
2011-10-25,74.71,76.00,73.36,74.89,878100,74.89
2011-10-24,75.02,75.42,73.31,74.89,457700,74.89
2011-10-21,74.68,75.12,72.81,74.95,648600,74.95
2011-10-20,75.60,76.83,72.85,73.44,614100,73.44
2011-10-19,74.67,76.42,73.95,74.70,500800,74.70
2011-10-18,72.60,75.48,72.35,74.44,1002000,74.44
2011-10-17,71.88,73.94,70.97,72.55,538700,72.55
2011-10-14,70.84,71.54,68.90,71.54,341800,71.54
2011-10-13,69.88,71.49,69.27,69.55,433300,69.55
2011-10-12,67.95,74.30,66.75,70.11,1165600,70.11
2011-10-11,64.94,67.09,64.20,66.96,463700,66.96
2011-10-10,63.56,65.80,62.80,64.90,392400,64.90
2011-10-07,64.13,65.00,61.53,62.12,396800,62.12
2011-10-06,61.41,64.99,61.20,63.51,447400,63.51
2011-10-05,63.43,63.49,59.93,61.89,684800,61.89
