Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,13.62,13.63,13.39,13.40,2094300,12.97
2011-12-29,13.58,13.60,13.27,13.56,3177300,13.13
2011-12-28,13.59,13.67,13.42,13.47,2689600,13.04
2011-12-27,13.80,13.85,13.52,13.56,3923700,13.13
2011-12-23,13.77,13.88,13.60,13.87,1769300,13.43
2011-12-22,13.64,13.75,13.50,13.68,2397800,13.24
2011-12-21,13.62,13.63,13.39,13.51,2226900,13.08
2011-12-20,13.38,13.64,13.26,13.58,2695000,13.15
2011-12-19,13.51,13.58,13.02,13.10,4614500,12.68
2011-12-16,13.42,13.89,13.25,13.41,5936400,12.98
2011-12-15,13.18,13.44,13.18,13.28,4008700,12.86
2011-12-14,12.82,13.05,12.71,12.98,5494500,12.57
2011-12-13,12.90,13.12,12.78,12.94,4343400,12.53
2011-12-12,12.77,12.97,12.49,12.82,3806100,12.41
2011-12-09,12.88,13.14,12.85,13.08,3132400,12.66
2011-12-08,13.26,13.27,12.76,12.81,4170500,12.40
2011-12-07,13.10,13.48,12.94,13.35,5344400,12.93
2011-12-06,12.67,13.16,12.37,13.16,7385000,12.74
2011-12-05,12.85,12.92,12.58,12.71,3762000,12.31
2011-12-02,12.88,13.06,12.62,12.64,3564000,12.24
2011-12-01,12.78,12.86,12.60,12.72,5375500,12.32
2011-11-30,12.50,12.88,12.16,12.88,7451900,12.47
2011-11-29,12.30,12.33,12.04,12.09,3432000,11.61
2011-11-28,12.38,12.39,12.05,12.25,5661900,11.76
2011-11-25,12.01,12.23,11.97,11.99,1197600,11.51
2011-11-23,12.31,12.33,12.02,12.02,4691800,11.54
2011-11-22,12.59,12.77,12.47,12.51,2611300,12.01
2011-11-21,12.75,12.83,12.25,12.60,5648100,12.10
2011-11-18,13.20,13.22,12.86,13.07,4372200,12.55
2011-11-17,13.62,13.65,12.35,13.10,16073600,12.58
2011-11-16,13.67,14.07,13.57,13.65,5520400,13.11
2011-11-15,13.66,14.01,13.60,13.85,3110600,13.30
2011-11-14,14.04,14.09,13.63,13.79,3458100,13.24
2011-11-11,14.03,14.27,13.99,14.20,2902800,13.63
2011-11-10,13.78,13.90,13.56,13.78,4575100,13.23
