Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,46.65,46.68,46.28,46.29,2150400,44.39
2011-12-29,46.43,46.65,46.35,46.59,1925200,44.67
2011-12-28,46.59,46.69,46.30,46.35,2688400,44.44
2011-12-27,45.96,46.55,45.90,46.54,2913600,44.63
2011-12-23,45.88,46.12,45.84,45.90,3054700,44.01
2011-12-22,45.81,45.89,45.59,45.75,3475800,43.87
2011-12-21,45.49,45.93,45.44,45.86,5226400,43.97
2011-12-20,44.82,45.45,44.70,45.42,5569400,43.55
2011-12-19,44.71,44.80,44.30,44.56,3412400,42.73
2011-12-16,44.79,44.90,44.42,44.55,6812200,42.72
2011-12-15,44.35,44.77,44.23,44.72,4246300,42.88
2011-12-14,44.37,44.46,44.06,44.14,3111200,42.32
2011-12-13,44.08,44.55,44.08,44.32,3961500,42.50
2011-12-12,44.21,44.50,43.91,44.21,4738700,42.39
2011-12-09,44.08,44.66,44.08,44.56,4080600,42.73
2011-12-08,44.39,44.40,43.92,44.00,3421500,42.19
2011-12-07,44.69,44.70,44.31,44.38,4034900,42.55
2011-12-06,44.41,44.92,44.13,44.72,4744700,42.88
2011-12-05,44.07,44.39,44.04,44.28,4105100,42.46
2011-12-02,44.22,44.22,43.76,43.76,3775200,41.96
2011-12-01,43.93,44.28,43.74,44.06,4438600,42.25
2011-11-30,43.62,43.93,43.46,43.91,6607300,42.10
2011-11-29,42.96,43.41,42.86,43.26,3114800,41.48
2011-11-28,42.93,43.04,42.51,42.72,3373200,40.96
2011-11-25,42.25,42.59,42.21,42.47,1709400,40.72
2011-11-23,42.50,42.55,42.11,42.20,3637800,40.46
2011-11-22,43.02,43.10,42.53,42.62,3387400,40.87
2011-11-21,43.09,43.17,42.68,43.01,4202000,41.24
2011-11-18,43.16,43.39,43.10,43.20,3745000,41.42
2011-11-17,43.10,43.32,42.80,43.04,4429500,41.27
2011-11-16,43.26,43.51,43.10,43.13,3176900,41.36
2011-11-15,43.50,43.56,43.29,43.45,2786800,41.66
2011-11-14,43.90,43.93,43.47,43.55,2811300,41.76
2011-11-11,43.82,43.94,43.75,43.94,2855900,42.13
2011-11-10,43.50,43.66,43.24,43.60,4271000,41.81
2011-11-09,43.55,43.72,43.16,43.19,4608300,41.41
2011-11-08,43.69,43.97,43.47,43.96,4915500,42.15
2011-11-07,43.21,43.68,43.10,43.65,3511400,41.85
2011-11-04,43.12,43.28,42.87,43.20,4049000,41.42
2011-11-03,42.89,43.39,42.81,43.32,4808600,41.54
2011-11-02,43.10,43.50,43.07,43.23,4565500,41.00
2011-11-01,42.91,43.25,42.60,42.67,6352500,40.47
2011-10-31,43.16,43.45,43.15,43.20,4013100,40.97
2011-10-28,43.64,43.70,43.01,43.31,4699600,41.07
2011-10-27,43.59,43.82,43.34,43.64,5619500,41.39
2011-10-26,43.27,43.39,42.78,43.12,5484200,40.89
2011-10-25,43.33,43.48,43.07,43.12,4915000,40.89
2011-10-24,43.95,43.95,43.25,43.38,21582800,41.14
2011-10-21,43.48,43.94,43.44,43.94,19220100,41.67
2011-10-20,43.06,43.40,43.02,43.27,19772000,41.04
2011-10-19,42.98,43.48,42.90,42.98,4541500,40.76
2011-10-18,42.83,43.10,42.58,42.89,4751700,40.68
2011-10-17,42.66,42.97,42.53,42.91,3708300,40.69
2011-10-14,42.70,42.85,42.53,42.67,4174600,40.47
2011-10-13,42.60,42.68,42.29,42.49,3192400,40.30
2011-10-12,42.82,42.90,42.54,42.71,3619700,40.50
2011-10-11,42.92,42.93,42.48,42.68,3477300,40.48
2011-10-10,42.69,42.96,42.50,42.95,3752500,40.73
2011-10-07,42.02,42.56,42.02,42.37,5368500,40.18
2011-10-06,41.42,42.06,41.39,42.05,5269000,39.88
2011-10-05,41.87,41.89,41.03,41.33,7031400,39.20
2011-10-04,41.84,42.00,41.00,41.81,7900000,39.65
2011-10-03,42.49,42.85,42.00,42.01,5738000,39.84
2011-09-30,42.68,42.99,42.37,42.37,6114000,40.18
2011-09-29,42.65,42.87,42.40,42.87,6580600,40.66
2011-09-28,42.38,42.80,42.19,42.27,5584200,40.09
2011-09-27,42.76,42.86,42.19,42.30,7459700,40.12
2011-09-26,42.65,42.74,42.19,42.42,5779800,40.23
2011-09-23,42.06,42.54,41.94,42.42,6232400,40.23
2011-09-22,42.05,42.32,41.52,42.11,8724300,39.94
2011-09-21,42.73,43.00,42.32,42.52,6135100,40.32
2011-09-20,42.54,43.09,42.22,42.81,7602500,40.60
2011-09-19,42.19,42.55,42.06,42.36,4830900,40.17
2011-09-16,42.26,42.65,42.11,42.59,8174100,40.39
2011-09-15,41.90,42.10,41.74,42.07,4793300,39.90
2011-09-14,41.55,41.98,41.45,41.74,6010100,39.58
2011-09-13,41.29,41.57,40.98,41.55,4672400,39.40
2011-09-12,40.51,41.38,40.46,41.37,6035900,39.23
2011-09-09,41.13,41.13,40.52,40.74,6031700,38.64
2011-09-08,41.20,41.57,41.08,41.36,4729100,39.22
2011-09-07,41.36,41.41,41.09,41.32,5512600,39.19
2011-09-06,40.59,41.25,40.31,41.24,9347400,39.11
2011-09-02,40.79,41.25,40.75,41.16,6502200,39.03
2011-09-01,41.36,41.40,41.06,41.12,4544600,39.00
2011-08-31,41.30,41.41,41.15,41.36,6982500,39.22
2011-08-30,41.02,41.30,40.98,41.18,5723300,39.05
2011-08-29,41.06,41.30,40.73,41.10,5769600,38.98
2011-08-26,40.77,40.92,40.06,40.83,6244200,38.72
2011-08-25,41.20,41.20,40.58,40.89,5842900,38.78
2011-08-24,40.59,41.30,40.57,41.23,7927100,39.10
2011-08-23,40.13,40.63,39.87,40.62,7892200,38.52
2011-08-22,40.41,40.41,39.86,40.02,6813500,37.95
2011-08-19,39.96,40.33,39.86,39.97,6292200,37.91
2011-08-18,40.12,40.52,39.79,40.21,9533300,38.13
2011-08-17,40.40,40.85,40.26,40.61,6675600,38.51
2011-08-16,40.00,40.34,39.76,40.25,5240500,38.17
2011-08-15,39.45,40.43,39.32,40.41,7197400,38.32
2011-08-12,39.65,39.73,38.99,39.21,8210900,37.19
2011-08-11,38.31,39.69,38.14,39.41,11556300,37.38
2011-08-10,37.92,38.79,37.58,38.03,12315400,36.07
2011-08-09,38.66,38.66,35.73,38.31,21403400,36.33
2011-08-08,39.28,40.05,38.15,38.33,18851800,36.35
2011-08-05,39.34,39.96,39.20,39.87,14082100,37.81
2011-08-04,39.39,39.98,39.26,39.28,10701800,37.25
2011-08-03,39.50,39.68,39.32,39.57,5836200,37.53
2011-08-02,39.54,39.79,39.46,39.47,5446100,37.43
2011-08-01,39.79,39.92,39.45,39.66,4169400,37.61
2011-07-29,39.64,39.73,39.43,39.54,5372100,37.50
2011-07-28,39.99,39.99,39.72,39.76,5039800,37.71
2011-07-27,40.30,40.81,40.02,40.20,8200200,37.68
2011-07-26,40.29,40.39,40.12,40.26,3703200,37.73
2011-07-25,40.14,40.48,40.08,40.31,3563100,37.78
2011-07-22,40.81,40.85,40.52,40.58,3024200,38.03
2011-07-21,40.49,40.87,40.45,40.80,4291700,38.24
2011-07-20,40.25,40.45,40.15,40.32,3350500,37.79
