Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,17.63,17.83,17.47,17.70,3557600,17.55
2011-12-29,17.20,17.75,17.18,17.72,6863300,17.57
2011-12-28,17.55,17.62,17.01,17.19,4969300,17.05
2011-12-27,17.81,17.92,17.52,17.55,3399400,17.41
2011-12-23,17.70,17.90,17.41,17.75,5867700,17.60
2011-12-22,16.96,17.87,16.96,17.65,8490800,17.50
2011-12-21,16.77,16.98,16.47,16.95,9021200,16.81
2011-12-20,16.12,16.95,16.12,16.87,8388400,16.73
2011-12-19,16.53,16.71,15.79,15.80,7355900,15.67
2011-12-16,16.81,17.00,16.36,16.48,10793200,16.34
2011-12-15,16.80,17.02,16.52,16.67,8746800,16.53
2011-12-14,16.57,16.83,16.42,16.44,11554000,16.30
2011-12-13,16.95,17.16,16.15,16.37,9043800,16.24
2011-12-12,17.04,17.25,16.69,16.84,6831800,16.70
2011-12-09,17.45,17.72,17.19,17.22,9450200,17.08
2011-12-08,17.97,18.05,17.22,17.30,6714200,17.16
2011-12-07,17.85,18.28,17.51,18.21,11109300,18.06
2011-12-06,18.83,18.88,18.00,18.03,10271700,17.88
2011-12-05,19.01,19.48,18.93,19.27,8313500,19.11
2011-12-02,18.27,18.96,18.21,18.57,8155700,18.42
2011-12-01,17.85,18.11,17.46,17.99,4224700,17.84
2011-11-30,17.70,18.15,17.46,18.13,8065800,17.98
2011-11-29,16.79,17.09,16.60,16.94,5536900,16.80
2011-11-28,17.21,17.31,16.61,16.85,5057000,16.66
2011-11-25,16.45,16.89,16.41,16.53,1594200,16.35
2011-11-23,17.14,17.20,16.44,16.44,6939500,16.26
2011-11-22,17.57,17.80,17.27,17.41,4514900,17.22
2011-11-21,17.72,17.81,17.42,17.64,7380100,17.44
2011-11-18,18.08,18.18,17.70,18.09,7278800,17.89
2011-11-17,18.01,18.27,17.77,17.87,9608100,17.67
2011-11-16,18.21,18.68,18.04,18.06,7252100,17.86
2011-11-15,18.47,18.66,17.99,18.47,6410300,18.26
2011-11-14,19.14,19.18,18.41,18.62,6303400,18.41
2011-11-11,19.30,19.36,19.06,19.28,5005800,19.06
2011-11-10,19.14,19.36,18.71,18.90,8120800,18.69
2011-11-09,19.48,19.52,18.67,18.82,8067400,18.61
2011-11-08,19.78,20.30,19.42,20.18,5350300,19.95
2011-11-07,19.50,19.87,19.11,19.59,6111400,19.37
2011-11-04,19.53,19.73,19.10,19.49,5945000,19.27
2011-11-03,19.80,19.94,19.03,19.82,7032200,19.60
2011-11-02,19.37,19.62,19.06,19.54,6381300,19.32
2011-11-01,18.70,19.53,18.44,18.75,9796100,18.54
2011-10-31,20.25,20.34,19.73,19.73,6792500,19.51
2011-10-28,20.76,21.05,20.46,20.63,5786000,20.40
2011-10-27,20.38,21.31,20.21,21.01,13392700,20.77
2011-10-26,19.33,19.56,18.82,19.39,5847400,19.17
2011-10-25,19.40,19.52,18.75,18.77,9067700,18.56
2011-10-24,18.57,19.81,18.52,19.62,10629200,19.40
2011-10-21,18.86,18.97,17.95,18.57,18129300,18.36
2011-10-20,18.94,19.29,18.43,19.21,7810900,19.00
2011-10-19,19.35,19.60,18.75,18.79,12647300,18.58
2011-10-18,18.32,19.68,18.06,19.38,8978300,19.16
2011-10-17,18.72,18.73,18.05,18.09,6383800,17.89
2011-10-14,19.46,19.65,18.76,19.04,8383300,18.83
2011-10-13,19.22,19.24,18.48,19.04,7982300,18.83
2011-10-12,19.00,19.89,18.98,19.40,10482200,19.18
2011-10-11,18.60,18.93,18.39,18.83,10751800,18.62
2011-10-10,18.64,19.19,18.53,18.86,7982000,18.65
2011-10-07,19.25,19.25,17.89,18.14,7642500,17.94
2011-10-06,17.91,19.17,17.57,19.13,7932500,18.92
2011-10-05,17.74,18.12,17.24,17.98,5205200,17.78
2011-10-04,16.85,17.83,16.60,17.80,12500000,17.60
2011-10-03,17.75,18.28,17.12,17.15,8467400,16.96
2011-09-30,18.35,18.54,17.92,17.95,7696500,17.75
2011-09-29,18.55,18.95,18.00,18.71,8475200,18.50
2011-09-28,18.74,18.74,17.99,18.03,8034000,17.83
2011-09-27,18.80,19.35,18.47,18.70,10471100,18.49
2011-09-26,17.30,18.39,17.20,18.33,8157600,18.12
2011-09-23,16.65,17.25,16.63,16.97,9020000,16.78
2011-09-22,16.96,17.48,16.51,16.94,11697200,16.75
2011-09-21,18.89,19.04,17.51,17.60,8349300,17.40
2011-09-20,19.27,19.60,18.97,18.98,5382600,18.77
2011-09-19,19.38,19.52,18.95,19.16,5372900,18.95
2011-09-16,20.08,20.28,19.52,19.92,6972700,19.70
2011-09-15,19.86,20.10,19.51,20.10,5133700,19.88
2011-09-14,19.23,19.87,19.01,19.58,8949700,19.36
2011-09-13,18.72,19.19,18.52,19.05,5898300,18.84
2011-09-12,18.12,18.75,17.89,18.67,5760400,18.46
2011-09-09,19.01,19.24,18.24,18.25,8816900,18.05
2011-09-08,19.31,19.64,18.81,19.05,6943000,18.84
2011-09-07,18.76,19.79,18.52,19.66,8538200,19.44
2011-09-06,17.24,18.39,17.23,18.33,8055900,18.12
2011-09-02,18.96,19.11,18.09,18.22,6443600,18.02
2011-09-01,19.87,20.04,19.31,19.34,8194600,19.12
2011-08-31,19.93,20.22,19.68,19.90,6556000,19.68
2011-08-30,19.68,19.87,19.30,19.72,8011200,19.50
2011-08-29,19.14,19.84,19.04,19.82,6188400,19.55
2011-08-26,18.46,19.16,18.24,18.79,6387100,18.53
2011-08-25,19.40,19.74,18.32,18.59,12154900,18.34
2011-08-24,18.00,18.68,17.86,18.63,8219800,18.38
2011-08-23,17.19,18.11,17.00,18.10,7647700,17.85
2011-08-22,17.49,17.52,17.00,17.18,8807100,16.94
2011-08-19,17.48,18.10,16.86,16.91,13892300,16.68
2011-08-18,18.29,18.39,17.59,17.71,8114100,17.47
2011-08-17,19.17,19.56,18.83,19.04,9067300,18.78
2011-08-16,19.17,19.47,18.81,19.01,7388500,18.75
2011-08-15,18.56,19.43,18.53,19.39,6109200,19.12
2011-08-12,18.90,19.34,18.20,18.31,6701200,18.06
2011-08-11,17.95,18.92,17.62,18.66,11706400,18.40
2011-08-10,19.46,19.50,17.40,17.69,14037000,17.45
2011-08-09,19.04,19.99,18.36,19.98,12239900,19.71
2011-08-08,20.55,21.15,18.15,18.53,13761700,18.28
2011-08-05,22.32,22.59,21.15,21.51,10207200,21.22
2011-08-04,22.81,22.96,21.82,21.84,7069700,21.54
2011-08-03,23.13,23.27,22.59,23.24,5748800,22.92
2011-08-02,24.01,24.08,23.09,23.10,7821900,22.78
2011-08-01,24.87,25.00,24.14,24.33,3903800,24.00
2011-07-29,24.25,24.88,24.17,24.49,4751100,24.15
2011-07-28,24.68,24.97,24.56,24.62,4433100,24.28
2011-07-27,25.42,25.43,24.58,24.65,6266100,24.31
2011-07-26,25.81,25.87,25.40,25.57,4367200,25.22
2011-07-25,25.58,25.93,25.38,25.81,4560400,25.46
2011-07-22,25.95,26.31,25.33,25.95,6941400,25.59
2011-07-21,25.18,25.92,25.13,25.73,6685100,25.38
2011-07-20,24.56,25.13,24.53,24.91,4700100,24.57
2011-07-19,24.12,24.53,23.97,24.51,4482900,24.17
2011-07-18,24.50,24.55,23.76,23.95,4634600,23.62
2011-07-15,24.81,24.83,24.37,24.64,5678400,24.30
2011-07-14,25.27,25.31,24.59,24.64,6927700,24.30
2011-07-13,25.07,25.33,24.75,25.11,5456600,24.77
2011-07-12,24.72,25.35,24.72,24.94,4984600,24.60
2011-07-11,25.24,25.30,24.76,24.85,3476200,24.51
2011-07-08,25.85,25.93,25.43,25.67,3742300,25.32
2011-07-07,26.06,26.43,25.98,26.26,5575300,25.90
2011-07-06,25.76,25.80,25.22,25.75,6929500,25.40
2011-07-05,26.40,26.40,25.54,25.87,4275200,25.52
2011-07-01,25.69,26.52,25.69,26.41,3950700,26.05
2011-06-30,25.74,25.93,25.58,25.80,4302400,25.45
2011-06-29,25.23,25.74,25.09,25.71,6272800,25.36
2011-06-28,25.26,25.29,24.70,25.01,5107000,24.67
2011-06-27,25.00,25.34,24.92,25.14,5582000,24.80
2011-06-24,25.10,25.19,24.63,25.00,4225400,24.66
2011-06-23,25.14,25.34,24.85,25.03,8005100,24.69
2011-06-22,25.88,26.08,25.39,25.39,6245400,25.04
2011-06-21,26.07,26.16,25.87,25.90,6425500,25.55
2011-06-20,26.01,26.35,25.79,25.93,4795800,25.58
2011-06-17,25.65,26.18,25.49,26.18,7781200,25.82
2011-06-16,25.43,25.70,25.13,25.39,5689200,25.04
2011-06-15,25.67,25.88,25.14,25.41,5360100,25.06
2011-06-14,25.84,26.13,25.63,25.95,5357400,25.59
2011-06-13,25.52,25.55,25.03,25.52,3995500,25.17
2011-06-10,25.10,25.45,24.78,25.18,5540000,24.84
2011-06-09,25.19,25.73,25.05,25.53,4599600,25.18
2011-06-08,25.39,25.72,25.08,25.13,4352700,24.79
2011-06-07,25.57,25.96,25.45,25.46,3965600,25.11
2011-06-06,25.70,25.90,25.30,25.39,5927700,25.04
2011-06-03,25.83,26.46,25.67,25.85,6755000,25.50
2011-06-02,26.28,26.52,25.93,26.29,7300600,25.93
2011-06-01,27.93,27.94,26.17,26.32,10071000,25.96
2011-05-31,28.28,28.33,27.78,28.13,4663700,27.75
2011-05-27,27.68,28.04,27.62,27.99,2748700,27.61
2011-05-26,27.24,27.60,27.13,27.58,2949700,27.19
2011-05-25,27.36,27.46,26.92,27.36,3402200,26.98
2011-05-24,27.28,27.37,26.94,27.11,3875700,26.73
2011-05-23,27.54,27.70,27.09,27.20,4309400,26.82
2011-05-20,28.65,28.85,27.88,27.89,5284200,27.50
2011-05-19,28.76,28.85,28.42,28.77,3294900,28.37
2011-05-18,28.31,28.75,28.17,28.59,3929600,28.19
2011-05-17,27.52,28.32,27.52,28.30,4585700,27.90
2011-05-16,27.37,28.05,27.30,27.67,6247800,27.28
2011-05-13,28.10,28.15,27.38,27.47,3969000,27.08
2011-05-12,28.26,28.35,27.54,28.10,6394900,27.71
2011-05-11,28.44,28.60,28.22,28.31,3658900,27.91
2011-05-10,28.22,28.79,28.16,28.57,4963600,28.17
2011-05-09,28.14,28.41,27.91,28.19,3820200,27.79
2011-05-06,28.44,28.47,28.08,28.17,5296600,27.77
2011-05-05,28.25,28.34,27.83,28.02,5138400,27.63
2011-05-04,28.52,28.55,28.12,28.46,5133300,28.06
2011-05-03,28.20,28.61,28.11,28.58,5759300,28.18
2011-05-02,28.28,28.53,28.07,28.32,5929700,27.92
2011-04-29,28.12,28.32,27.94,28.19,3983500,27.79
2011-04-28,27.61,28.10,27.47,28.07,4652900,27.68
2011-04-27,27.51,27.82,27.31,27.65,5945400,27.26
2011-04-26,27.70,27.85,27.37,27.50,4200000,27.11
2011-04-25,27.25,27.80,27.25,27.70,4251800,27.31
2011-04-21,27.79,27.81,26.75,27.10,9494700,26.72
2011-04-20,28.14,28.15,27.31,27.63,6377700,27.24
2011-04-19,28.00,28.21,27.72,27.79,5579500,27.40
2011-04-18,27.84,28.14,27.61,27.88,6480700,27.49
2011-04-15,28.38,28.58,28.07,28.14,6472400,27.74
2011-04-14,28.77,28.82,28.11,28.19,8094000,27.79
2011-04-13,29.86,29.89,28.88,29.00,10241100,28.59
