Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,34.28,34.70,34.26,34.30,1285200,33.51
2011-12-29,34.15,34.51,34.04,34.48,1434500,33.69
2011-12-28,34.45,34.55,34.05,34.09,1452000,33.31
2011-12-27,34.81,34.99,34.63,34.76,1387600,33.76
2011-12-23,35.11,35.24,34.70,34.85,1973800,33.85
2011-12-22,34.07,35.53,34.00,35.01,4676400,34.00
2011-12-21,32.43,33.84,32.28,33.67,5994300,32.70
2011-12-20,32.80,33.17,32.40,32.55,6530100,31.61
2011-12-19,32.99,33.16,32.13,32.16,6620900,31.23
2011-12-16,33.54,33.72,32.76,32.95,8660500,32.00
2011-12-15,34.16,34.23,33.52,33.60,3281800,32.63
2011-12-14,34.05,34.23,33.67,33.79,2574600,32.82
2011-12-13,34.79,35.20,34.08,34.26,3257800,33.27
2011-12-12,34.93,35.13,34.68,34.96,3891900,33.95
2011-12-09,34.78,35.30,33.90,35.17,7704600,34.16
2011-12-08,37.07,37.28,35.70,35.83,4844700,34.80
2011-12-07,36.79,37.63,36.30,37.44,4730400,36.36
2011-12-06,37.30,37.30,36.59,36.95,3871800,35.89
2011-12-05,38.08,38.23,36.77,37.21,8627300,36.14
2011-12-02,38.72,38.91,35.12,35.83,10027300,34.80
2011-12-01,38.24,39.02,38.16,38.53,3472400,37.42
2011-11-30,37.74,38.48,37.21,38.44,5456600,37.33
2011-11-29,35.95,36.21,35.65,35.69,2948200,34.66
2011-11-28,35.55,36.03,35.50,36.03,2914100,34.99
2011-11-25,35.20,35.46,34.72,34.78,1762000,33.78
2011-11-23,35.24,35.72,34.99,35.03,4790200,34.02
2011-11-22,35.43,35.92,35.00,35.43,3992000,34.41
2011-11-21,35.92,36.21,35.53,35.53,2967500,34.51
2011-11-18,37.45,37.58,36.51,36.53,3540000,35.48
2011-11-17,38.75,38.80,36.68,37.05,4432900,35.98
2011-11-16,38.96,39.76,38.68,39.06,3093500,37.93
2011-11-15,39.06,39.68,39.04,39.49,2281500,38.35
2011-11-14,39.61,39.73,39.02,39.24,2390100,38.11
2011-11-11,39.04,39.97,38.98,39.75,2750900,38.60
2011-11-10,37.97,38.77,37.83,38.56,3198100,37.45
2011-11-09,38.35,38.47,37.38,37.48,4264200,36.40
2011-11-08,39.35,40.23,38.92,39.25,4664500,38.12
2011-11-07,38.50,38.94,38.20,38.90,2771500,37.78
2011-11-04,38.84,39.00,38.18,38.59,5050300,37.48
2011-11-03,39.02,39.29,38.39,39.22,3735300,38.09
2011-11-02,38.07,38.61,37.81,38.48,4202700,37.37
2011-11-01,37.99,38.65,37.49,37.63,6951400,36.55
2011-10-31,39.57,39.90,38.54,39.00,6247300,37.88
2011-10-28,41.12,41.21,39.97,40.08,7316600,38.92
2011-10-27,41.47,41.90,40.77,40.95,6822000,39.77
2011-10-26,41.07,41.47,39.91,40.52,3239700,39.35
2011-10-25,41.37,41.98,40.58,40.66,3578300,39.49
2011-10-24,40.08,41.13,39.93,41.11,3451700,39.93
2011-10-21,39.24,40.03,39.17,40.03,3326600,38.88
2011-10-20,38.72,39.17,37.91,38.95,4691800,37.83
2011-10-19,38.78,40.18,38.03,38.95,7758200,37.83
2011-10-18,37.28,37.69,36.75,37.34,4031100,36.26
2011-10-17,38.37,38.49,37.30,37.39,2488800,36.31
2011-10-14,38.85,39.17,38.24,38.48,2437000,37.37
2011-10-13,37.69,38.34,37.32,38.28,2602700,37.18
2011-10-12,38.08,38.71,37.74,38.03,2815700,36.93
2011-10-11,37.49,38.04,37.37,37.89,2387200,36.80
2011-10-10,38.10,38.42,37.42,37.88,2663500,36.79
2011-10-07,37.72,37.72,36.61,36.85,3719300,35.79
2011-10-06,36.88,37.98,36.41,37.54,5134800,36.46
2011-10-05,35.30,37.26,34.99,37.14,6584400,36.07
2011-10-04,33.55,35.17,33.54,35.16,6300000,34.15
2011-10-03,35.88,36.27,33.89,34.00,6705500,33.02
2011-09-30,36.41,36.91,35.42,36.19,4144600,35.15
2011-09-29,37.83,38.22,36.37,36.91,3996400,35.85
2011-09-28,38.85,38.94,37.00,37.06,4894000,35.99
2011-09-27,39.35,39.66,38.80,38.97,4515800,37.64
2011-09-26,37.93,38.42,37.13,38.39,3997400,37.08
2011-09-23,38.36,38.83,37.40,37.90,7030900,36.61
2011-09-22,39.96,40.30,38.00,38.48,6325400,37.17
2011-09-21,42.84,43.40,41.11,41.12,3408400,39.72
2011-09-20,42.66,44.10,42.38,43.17,2830400,41.70
2011-09-19,42.69,42.82,41.95,42.40,2454800,40.96
2011-09-16,43.71,43.95,43.10,43.57,3143300,42.09
2011-09-15,44.09,44.15,43.05,43.53,3028200,42.05
2011-09-14,43.34,44.10,42.49,43.60,2381100,42.12
2011-09-13,42.88,43.23,42.32,43.08,2761700,41.61
2011-09-12,42.09,42.87,41.87,42.84,2162900,41.38
2011-09-09,43.77,43.81,42.50,42.66,3288800,41.21
2011-09-08,44.59,45.37,44.24,44.34,2130700,42.83
2011-09-07,44.49,45.18,44.26,44.96,2424700,43.43
2011-09-06,43.20,44.01,42.27,43.90,1993800,42.41
2011-09-02,44.22,44.73,43.83,43.90,1979500,42.41
2011-09-01,45.61,46.26,45.06,45.09,2706700,43.55
