Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.74,40.79,40.28,40.31,1555000,39.44
2011-12-29,40.15,40.84,40.15,40.78,1807100,39.90
2011-12-28,41.16,41.25,40.27,40.30,1951800,39.25
2011-12-27,41.25,41.75,41.18,41.18,1619200,40.11
2011-12-23,41.21,41.41,40.79,41.39,1794200,40.31
2011-12-22,40.85,41.30,40.61,41.09,3903700,40.02
2011-12-21,40.61,40.72,40.07,40.62,3986800,39.56
2011-12-20,39.67,40.70,39.55,40.48,4419900,39.43
2011-12-19,40.15,40.38,38.72,39.03,3429400,38.02
2011-12-16,39.79,40.63,39.43,40.04,5862300,39.00
2011-12-15,39.69,39.90,39.07,39.11,2918100,38.09
2011-12-14,39.20,39.72,38.93,39.23,3619600,38.21
2011-12-13,40.22,40.61,38.98,39.55,3690800,38.52
2011-12-12,40.21,40.34,39.79,40.07,3815500,39.03
2011-12-09,40.09,41.28,40.05,40.93,4819600,39.87
2011-12-08,40.97,41.00,39.63,39.81,3787900,38.78
2011-12-07,40.01,41.53,39.50,41.34,4154700,40.27
2011-12-06,40.08,40.60,39.67,40.27,2863400,39.22
2011-12-05,40.53,40.96,39.81,40.17,3585400,39.13
2011-12-02,39.72,40.80,39.64,39.98,3136100,38.94
2011-12-01,39.36,39.51,38.94,39.22,3766500,38.20
2011-11-30,37.98,39.73,37.62,39.65,4578700,38.62
2011-11-29,37.06,37.29,36.50,36.64,3692400,35.69
2011-11-28,36.51,37.54,36.48,36.91,3925200,35.95
2011-11-25,36.23,36.99,36.14,36.24,1404200,35.30
2011-11-23,36.91,37.00,36.31,36.33,3847700,35.39
2011-11-22,37.08,37.73,36.83,37.25,3723800,36.28
2011-11-21,37.57,37.98,37.00,37.19,4864200,36.22
2011-11-18,38.91,38.92,38.15,38.50,4816000,37.50
2011-11-17,39.51,39.99,38.28,38.54,5439100,37.54
2011-11-16,40.37,41.06,39.88,39.93,3993600,38.89
2011-11-15,40.62,41.37,40.39,41.00,3237000,39.93
2011-11-14,40.93,41.20,40.52,40.90,4311600,39.84
2011-11-11,40.63,41.46,40.63,41.24,3847700,40.17
2011-11-10,39.95,40.39,39.38,40.11,4507900,39.07
2011-11-09,40.61,40.63,39.30,39.44,5009000,38.41
2011-11-08,40.63,41.86,40.63,41.74,5326800,40.66
2011-11-07,39.84,40.62,39.82,40.60,3834600,39.54
2011-11-04,39.70,40.20,39.08,39.99,3622300,38.95
2011-11-03,40.93,40.93,39.01,40.37,6469300,39.32
2011-11-02,41.27,41.27,39.52,40.23,6013900,39.18
2011-11-01,39.09,39.98,38.54,38.76,7053300,37.75
2011-10-31,41.09,41.57,40.37,40.39,6210200,39.34
