Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,15.83,16.50,15.78,16.40,8171800,15.57
2011-12-29,15.67,15.87,15.48,15.85,3537400,15.05
2011-12-28,15.90,16.07,15.52,15.59,4827200,14.80
2011-12-27,16.12,16.16,15.70,15.82,5960800,15.02
2011-12-23,16.01,16.17,15.94,16.16,2687500,15.34
2011-12-22,16.06,16.36,15.87,16.00,4420400,15.19
2011-12-21,15.70,16.00,15.49,15.96,7386800,15.15
2011-12-20,15.41,15.89,15.41,15.74,8808800,14.94
2011-12-19,15.54,15.62,15.02,15.07,4976100,14.31
2011-12-16,15.46,15.55,15.19,15.43,9230000,14.65
2011-12-15,15.63,15.84,15.36,15.38,6549500,14.60
2011-12-14,15.65,15.73,15.00,15.47,8240400,14.69
2011-12-13,16.42,16.50,15.66,15.83,8255400,15.03
2011-12-12,16.15,16.40,15.90,16.36,8298300,15.53
2011-12-09,15.68,16.28,15.43,16.16,6427000,15.34
2011-12-08,16.31,16.38,15.57,15.70,7174500,14.91
2011-12-07,16.34,16.40,15.90,16.32,7396300,15.50
2011-12-06,16.66,16.71,16.28,16.40,6139800,15.57
2011-12-05,16.49,16.71,16.34,16.58,10409200,15.74
2011-12-02,16.80,17.45,15.94,16.17,19873500,15.35
2011-12-01,17.28,17.70,16.83,17.40,9430000,16.52
2011-11-30,16.96,17.23,16.85,17.10,10784000,16.24
2011-11-29,17.06,17.20,16.45,16.58,12039100,15.74
2011-11-28,15.68,16.40,15.59,15.99,6133700,15.18
2011-11-25,15.27,15.70,15.15,15.16,1950200,14.39
2011-11-23,15.88,16.31,15.21,15.43,7429300,14.65
2011-11-22,16.05,16.36,15.81,15.99,4941100,15.18
2011-11-21,16.00,16.31,15.65,16.15,7775500,15.33
2011-11-18,16.66,16.73,15.98,16.01,13748800,15.20
2011-11-17,17.11,17.19,16.00,16.76,11632200,15.91
2011-11-16,17.25,17.65,16.75,17.19,13751600,16.32
2011-11-15,17.20,17.86,17.06,17.52,8878100,16.63
2011-11-14,17.71,17.83,17.48,17.76,7301300,16.86
2011-11-11,17.62,18.20,17.47,17.94,11992000,17.03
2011-11-10,17.49,17.65,16.62,17.51,13114100,16.63
2011-11-09,17.61,17.84,17.01,17.13,10828000,16.26
2011-11-08,18.18,18.30,17.53,17.88,14526000,16.98
2011-11-07,18.09,18.60,17.77,18.35,12097300,17.42
2011-11-04,17.16,18.50,16.99,18.34,19881900,17.41
2011-11-03,17.30,17.71,16.66,17.29,19080300,16.42
2011-11-02,16.27,17.08,16.27,16.84,15536500,15.99
2011-11-01,15.74,16.49,15.51,16.25,16677500,15.43
2011-10-31,16.15,16.54,16.00,16.15,10044400,15.16
2011-10-28,16.09,16.61,16.03,16.39,7040200,15.39
2011-10-27,16.66,16.89,15.81,16.33,13415900,15.33
2011-10-26,15.71,16.95,15.67,16.24,22039000,15.25
2011-10-25,15.49,16.30,15.47,15.61,13781700,14.66
2011-10-24,15.31,15.89,15.26,15.74,17495200,14.78
2011-10-21,13.54,15.54,13.50,15.42,48009300,14.48
2011-10-20,12.26,12.26,11.48,12.06,19252600,11.32
2011-10-19,12.29,12.81,11.80,12.05,15112000,11.31
2011-10-18,11.30,12.22,11.21,12.10,12265900,11.36
2011-10-17,11.76,11.78,11.26,11.30,7347200,10.61
2011-10-14,11.88,12.00,11.52,11.80,6048800,11.08
2011-10-13,11.21,11.91,11.10,11.83,7754100,11.11
2011-10-12,11.22,11.71,11.17,11.19,11004300,10.51
2011-10-11,11.04,11.61,11.03,11.17,9644100,10.49
2011-10-10,10.93,11.18,10.86,11.08,3924300,10.40
2011-10-07,10.79,10.93,10.44,10.71,8796800,10.06
2011-10-06,10.19,10.75,10.16,10.72,5785900,10.07
2011-10-05,9.70,10.26,9.64,10.16,6872600,9.54
2011-10-04,9.40,9.69,9.05,9.65,8047800,9.06
2011-10-03,10.22,10.24,9.44,9.49,13266400,8.91
2011-09-30,10.61,10.61,10.18,10.28,8552600,9.65
2011-09-29,11.31,11.37,10.36,10.71,9723400,10.06
2011-09-28,11.54,11.59,11.05,11.11,8515200,10.43
2011-09-27,11.46,11.96,11.36,11.48,7304400,10.78
2011-09-26,10.82,11.28,10.66,11.24,5737200,10.55
2011-09-23,10.53,10.83,10.50,10.75,4216600,10.09
2011-09-22,10.89,10.92,10.45,10.67,9713000,10.02
2011-09-21,11.44,11.62,11.18,11.18,6707700,10.50
2011-09-20,11.81,11.81,11.34,11.41,6862700,10.71
2011-09-19,11.82,11.89,11.54,11.70,4262700,10.99
2011-09-16,11.91,12.11,11.80,12.02,5371900,11.29
2011-09-15,12.06,12.16,11.71,11.88,5650500,11.15
2011-09-14,11.54,12.12,11.50,11.90,9383000,11.17
2011-09-13,11.28,11.46,11.12,11.40,5019300,10.70
2011-09-12,11.02,11.47,10.85,11.23,5687300,10.54
2011-09-09,11.01,11.48,10.84,11.18,6969700,10.50
2011-09-08,11.30,11.61,10.93,11.03,5831000,10.36
2011-09-07,10.77,11.37,10.77,11.31,6549800,10.62
2011-09-06,10.47,10.62,10.25,10.60,6289800,9.95
2011-09-02,11.03,11.05,10.67,10.71,6074300,10.06
2011-09-01,11.65,11.72,11.22,11.24,5491700,10.55
2011-08-31,11.65,11.90,11.52,11.58,8183700,10.87
2011-08-30,11.76,11.76,11.40,11.60,4596600,10.89
2011-08-29,11.25,11.69,11.13,11.67,4195700,10.96
2011-08-26,10.75,11.17,10.58,11.09,5057800,10.41
2011-08-25,10.95,11.28,10.76,10.80,6708000,10.14
2011-08-24,10.77,11.06,10.65,10.98,6383200,10.31
2011-08-23,10.23,10.80,10.22,10.78,9515600,10.12
2011-08-22,10.34,10.38,9.98,10.19,10272000,9.57
2011-08-19,10.52,10.60,9.96,10.08,15137300,9.46
2011-08-18,11.30,11.30,10.42,10.59,11053700,9.94
2011-08-17,12.15,12.24,11.28,11.70,8959900,10.99
2011-08-16,11.99,12.25,11.82,12.16,12206500,11.42
2011-08-15,11.91,12.14,11.87,12.01,10745900,11.28
2011-08-12,11.57,12.03,11.57,11.84,10538600,11.12
2011-08-11,11.14,11.72,10.95,11.56,16360800,10.85
2011-08-10,11.01,11.60,10.90,11.08,16520200,10.40
2011-08-09,11.20,11.49,10.70,11.31,15823000,10.62
2011-08-08,11.65,11.78,10.83,10.88,19020900,10.22
2011-08-05,12.26,12.50,11.76,12.06,17729800,11.32
2011-08-04,12.74,12.74,12.05,12.07,17234300,11.33
2011-08-03,13.20,13.20,12.64,12.76,16844600,11.98
2011-08-02,13.78,13.85,13.16,13.20,9464600,12.22
2011-08-01,14.11,14.25,13.71,13.84,11547600,12.82
