Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,21.09,21.17,20.99,21.04,2593600,20.27
2011-12-29,21.24,21.29,21.09,21.18,2086100,20.40
2011-12-28,21.27,21.27,21.05,21.14,3385800,20.36
2011-12-27,21.11,21.30,21.10,21.19,3045600,20.41
2011-12-23,20.91,21.13,20.91,21.12,3091500,20.34
2011-12-22,20.94,21.12,20.88,20.93,4024300,20.16
2011-12-21,20.55,20.98,20.54,20.88,6274900,20.11
2011-12-20,20.39,20.68,20.39,20.53,5149100,19.77
2011-12-19,20.70,20.82,20.31,20.37,4804000,19.48
2011-12-16,20.97,20.97,20.48,20.57,9247300,19.67
2011-12-15,20.86,21.05,20.77,20.98,6121800,20.06
2011-12-14,20.89,21.23,20.61,20.64,6309300,19.74
2011-12-13,21.08,21.37,21.01,21.10,5433700,20.18
2011-12-12,20.92,21.11,20.86,21.01,5877300,20.09
2011-12-09,20.71,21.36,20.59,21.07,7285100,20.15
2011-12-08,20.51,20.78,20.38,20.59,6098500,19.69
2011-12-07,20.60,20.81,20.45,20.66,6497000,19.76
2011-12-06,20.73,20.82,20.55,20.71,5937000,19.81
2011-12-05,20.46,20.75,20.31,20.73,6633900,19.82
2011-12-02,20.21,20.35,20.14,20.21,5269900,19.33
2011-12-01,19.87,20.19,19.87,20.07,5835400,19.19
2011-11-30,19.51,20.13,19.51,20.00,13552500,19.13
2011-11-29,19.41,19.48,18.96,19.09,6205600,18.26
2011-11-28,19.19,19.56,19.14,19.39,8236100,18.54
2011-11-25,18.34,18.96,18.32,18.83,3055500,18.01
2011-11-23,18.38,18.56,18.13,18.37,8437900,17.57
2011-11-22,19.18,19.25,18.53,18.54,6038500,17.73
2011-11-21,18.93,19.26,18.82,19.16,4517000,18.32
2011-11-18,19.16,19.25,19.00,19.12,7497000,18.29
2011-11-17,19.60,19.76,18.88,18.98,7763800,18.15
2011-11-16,19.68,19.99,19.50,19.68,5623000,18.82
2011-11-15,19.82,19.94,19.56,19.81,5691700,18.94
2011-11-14,20.08,20.27,19.84,19.94,4654700,19.07
2011-11-11,19.88,20.21,19.83,20.07,4152900,19.19
2011-11-10,19.49,19.84,19.38,19.67,4441300,18.81
2011-11-09,19.69,19.73,19.23,19.37,5959200,18.52
2011-11-08,19.67,20.00,19.57,19.96,4612300,19.09
2011-11-07,19.29,19.69,19.24,19.68,4522200,18.82
2011-11-04,19.01,19.43,18.90,19.32,4071600,18.48
2011-11-03,19.32,19.39,18.86,19.16,5075000,18.32
2011-11-02,19.21,19.44,19.09,19.23,3835900,18.39
2011-11-01,19.01,19.34,18.95,19.00,5884100,18.17
2011-10-31,19.60,19.73,19.37,19.37,4371600,18.52
2011-10-28,19.88,20.01,19.63,19.75,5419700,18.89
2011-10-27,19.66,20.00,19.40,19.86,7079600,18.99
2011-10-26,19.19,19.32,18.83,19.20,4182600,18.36
2011-10-25,19.06,19.23,18.87,18.98,4558300,18.15
2011-10-24,18.89,19.28,18.87,19.16,7571100,18.32
2011-10-21,18.30,18.85,18.28,18.85,6543800,18.03
2011-10-20,18.12,18.42,18.04,18.18,7801800,17.39
2011-10-19,17.97,18.33,17.95,18.14,9965600,17.35
2011-10-18,17.68,18.14,17.58,17.96,8799700,17.18
2011-10-17,17.67,18.01,17.57,17.65,8509700,16.88
2011-10-14,18.01,18.14,17.53,17.67,8150500,16.90
2011-10-13,19.05,19.20,17.28,17.93,18337600,17.15
2011-10-12,17.54,18.12,17.54,17.97,7608100,17.19
2011-10-11,17.46,17.59,17.08,17.46,6876600,16.70
2011-10-10,17.49,17.63,17.35,17.57,6818800,16.80
2011-10-07,18.05,18.05,17.33,17.43,4587900,16.67
2011-10-06,17.42,17.94,17.42,17.94,4277900,17.16
2011-10-05,17.24,17.73,17.13,17.42,6016600,16.66
2011-10-04,16.18,17.27,16.12,17.26,7800000,16.51
2011-10-03,16.48,16.83,16.30,16.32,5462300,15.61
2011-09-30,16.81,17.04,16.61,16.63,4404100,15.90
2011-09-29,16.80,17.12,16.70,16.99,4009400,16.25
2011-09-28,16.97,17.15,16.50,16.53,6104700,15.81
2011-09-27,16.87,17.27,16.82,16.90,4557800,16.16
2011-09-26,16.43,17.16,16.31,16.93,9059200,16.19
2011-09-23,15.98,16.48,15.93,16.06,6875400,15.36
2011-09-22,16.24,16.38,15.99,16.18,7990500,15.47
2011-09-21,17.15,17.23,16.53,16.55,5437400,15.83
2011-09-20,17.61,17.63,17.11,17.12,4907600,16.37
2011-09-19,17.50,17.74,17.08,17.67,7440000,16.76
2011-09-16,18.38,18.45,17.68,17.70,6770300,16.79
2011-09-15,17.83,18.39,17.80,18.33,4861400,17.39
2011-09-14,17.84,18.18,17.63,17.99,4263000,17.06
2011-09-13,17.84,18.06,17.64,17.75,6061100,16.84
2011-09-12,17.70,17.86,17.48,17.83,7567700,16.91
2011-09-09,18.34,18.39,17.68,17.91,8534700,16.99
2011-09-08,18.96,18.99,18.57,18.69,7276800,17.73
2011-09-07,17.97,18.43,17.93,18.41,4610800,17.46
2011-09-06,17.30,17.83,17.14,17.80,5970700,16.88
2011-09-02,17.61,17.74,17.56,17.65,3250800,16.74
2011-09-01,18.31,18.39,17.90,17.91,4437800,16.99
