Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,49.67,50.25,49.58,49.71,1578700,48.90
2011-12-29,49.07,49.67,48.94,49.59,965400,48.78
2011-12-28,49.78,49.88,49.11,49.31,1195000,48.51
2011-12-27,49.74,50.10,49.62,49.85,946400,49.04
2011-12-23,49.71,50.06,49.50,50.01,1173500,48.99
2011-12-22,48.62,49.72,48.62,49.72,1936900,48.70
2011-12-21,47.57,48.67,47.47,48.60,2690400,47.60
2011-12-20,46.70,48.09,46.70,47.76,2696700,46.78
2011-12-19,46.39,46.90,45.61,45.78,2046200,44.84
2011-12-16,47.00,47.00,45.96,46.21,3740000,45.26
2011-12-15,46.38,47.10,46.26,46.63,1851800,45.67
2011-12-14,46.90,47.06,46.29,46.77,1814000,45.81
2011-12-13,47.12,47.37,46.61,46.85,2309700,45.89
2011-12-12,47.49,47.55,46.84,47.07,1747700,46.11
2011-12-09,47.28,48.19,47.27,47.85,1342400,46.87
2011-12-08,47.95,48.17,47.01,47.12,2604300,46.15
2011-12-07,48.24,48.44,47.48,48.27,2322800,47.28
2011-12-06,49.23,49.23,48.10,48.53,1777600,47.54
2011-12-05,48.68,49.31,48.58,49.09,2773600,48.08
2011-12-02,49.78,50.00,46.77,47.62,5840200,46.64
2011-12-01,48.80,49.71,48.66,49.53,1820600,48.52
2011-11-30,47.65,48.88,47.65,48.83,2436900,47.83
2011-11-29,47.00,47.26,46.47,46.62,1927400,45.67
2011-11-28,46.47,47.18,46.38,46.96,1701500,46.00
2011-11-25,45.54,46.11,45.50,45.52,610500,44.59
2011-11-23,45.77,45.96,45.45,45.47,2252800,44.54
2011-11-22,46.19,46.79,45.86,46.36,1802300,45.41
2011-11-21,47.00,47.40,46.23,46.23,2291600,45.28
2011-11-18,48.18,48.22,47.59,47.81,1844000,46.83
2011-11-17,48.61,48.82,47.50,47.91,2311300,46.93
2011-11-16,48.93,49.79,48.75,48.78,1754700,47.78
2011-11-15,48.87,49.75,48.65,49.56,1598100,48.54
2011-11-14,49.25,49.63,48.83,48.94,1313600,47.94
2011-11-11,49.07,49.73,48.93,49.48,1380800,48.47
2011-11-10,48.00,48.50,47.52,48.27,1699800,47.28
2011-11-09,48.73,48.73,47.39,47.50,1947200,46.53
2011-11-08,49.15,49.91,48.78,49.81,1394900,48.79
2011-11-07,48.40,49.07,47.99,49.06,1858100,48.06
2011-11-04,48.43,48.81,48.01,48.56,1930600,47.57
2011-11-03,48.02,48.82,47.67,48.72,1834800,47.72
2011-11-02,47.81,47.94,47.28,47.76,1581700,46.78
2011-11-01,46.82,47.55,46.16,47.00,3443500,46.04
2011-10-31,49.38,49.41,47.91,47.91,2566100,46.93
2011-10-28,49.56,50.07,49.56,49.92,2190600,48.90
2011-10-27,50.52,50.54,48.68,49.35,2979700,48.34
2011-10-26,48.61,48.76,47.41,48.33,1911300,47.34
2011-10-25,49.64,49.71,48.13,48.24,1989500,47.25
2011-10-24,49.25,50.14,49.12,50.00,1906900,48.98
2011-10-21,48.82,49.75,48.78,49.17,2799500,48.16
2011-10-20,49.03,49.81,47.45,48.28,3858200,47.29
2011-10-19,49.19,50.04,49.10,49.41,2242300,48.40
2011-10-18,48.41,49.54,48.11,49.05,1807200,48.05
2011-10-17,49.73,49.96,48.44,48.54,1438300,47.55
2011-10-14,50.64,50.75,49.81,50.02,1542300,49.00
2011-10-13,49.78,50.37,49.35,50.18,1627500,49.15
2011-10-12,50.27,51.15,49.90,50.16,2762000,49.13
2011-10-11,49.78,50.52,49.64,50.10,2771500,49.07
2011-10-10,48.51,49.41,48.41,49.39,1784200,48.38
2011-10-07,47.96,48.39,47.58,47.88,2065300,46.90
2011-10-06,47.67,47.95,46.66,47.82,2609100,46.84
2011-10-05,46.88,47.70,46.56,47.63,1960300,46.65
2011-10-04,44.55,46.82,44.55,46.77,2500000,45.81
2011-10-03,46.74,47.40,45.33,45.35,2770700,44.42
2011-09-30,47.77,48.38,47.10,47.13,2153500,46.16
2011-09-29,49.21,49.44,47.36,48.22,2560000,47.23
2011-09-28,49.00,49.37,48.36,48.49,3627200,47.50
2011-09-27,48.61,50.13,48.52,49.16,3267800,47.98
2011-09-26,46.60,47.31,45.90,47.27,2050400,46.13
2011-09-23,46.00,46.36,45.56,46.16,2479300,45.05
2011-09-22,46.18,46.70,45.65,46.22,4026000,45.11
2011-09-21,48.52,48.72,47.23,47.23,2215300,46.09
2011-09-20,48.71,49.75,48.47,48.49,1708100,47.32
2011-09-19,48.60,48.76,48.05,48.50,1316900,47.33
2011-09-16,49.88,50.16,49.13,49.34,3098200,48.15
2011-09-15,49.46,49.63,48.12,49.61,2513100,48.42
2011-09-14,47.83,49.30,47.19,48.71,2618200,47.54
2011-09-13,46.77,47.74,46.77,47.64,2292300,46.49
2011-09-12,46.31,46.88,45.73,46.87,2195200,45.74
2011-09-09,48.12,48.16,46.73,46.88,3749300,45.75
2011-09-08,49.44,49.68,48.49,48.68,3559100,47.51
2011-09-07,48.56,49.82,48.20,49.78,3957200,48.58
2011-09-06,46.05,47.88,45.62,47.79,3147800,46.64
2011-09-02,47.42,48.08,46.80,47.27,2502800,46.13
2011-09-01,49.08,49.41,48.15,48.24,1951900,47.08
2011-08-31,47.88,49.64,47.88,48.84,3129200,47.66
2011-08-30,47.83,48.00,47.07,47.69,2029900,46.54
2011-08-29,47.40,48.40,47.16,48.04,2122500,46.88
2011-08-26,45.75,46.73,44.84,46.17,2434400,45.06
2011-08-25,47.23,47.40,45.98,46.13,2220500,45.02
2011-08-24,46.03,47.10,45.68,47.02,2323600,45.89
2011-08-23,43.83,46.22,43.79,46.14,2906500,45.03
2011-08-22,44.94,45.27,43.73,43.88,3313700,42.82
2011-08-19,44.09,45.70,43.73,43.80,4804800,42.75
2011-08-18,46.63,46.66,44.32,44.57,4641000,43.50
2011-08-17,48.51,49.13,47.08,47.57,3285000,46.43
2011-08-16,48.73,49.04,48.16,48.42,2318400,47.25
2011-08-15,49.02,49.56,48.57,49.15,2653400,47.97
2011-08-12,48.05,48.85,47.37,48.54,2854600,47.37
2011-08-11,46.19,48.11,45.83,47.58,4848600,46.43
2011-08-10,48.22,48.42,45.91,46.04,4809700,44.93
2011-08-09,47.90,49.05,46.52,49.01,3119200,47.83
2011-08-08,48.94,49.73,47.36,47.43,4508400,46.29
2011-08-05,50.36,50.79,48.46,50.04,3250600,48.84
2011-08-04,51.32,51.85,49.62,49.65,4817800,48.46
2011-08-03,51.61,52.18,51.17,52.07,3903000,50.82
2011-08-02,52.76,53.08,51.65,51.67,2958500,50.43
2011-08-01,54.67,54.67,52.69,53.10,3247700,51.82
2011-07-29,53.56,54.76,53.36,54.34,2801500,53.03
2011-07-28,54.37,54.70,53.97,54.05,2401300,52.75
2011-07-27,55.46,55.46,54.48,54.48,2698000,53.17
2011-07-26,56.03,56.29,55.08,55.12,1943400,53.79
2011-07-25,56.38,56.57,55.76,56.22,1752000,54.87
2011-07-22,57.68,57.68,56.63,56.88,2275700,55.51
2011-07-21,56.63,57.68,56.50,57.63,4094700,56.24
2011-07-20,59.04,59.04,56.63,56.91,6330600,55.54
2011-07-19,58.50,59.36,57.63,59.16,2405200,57.74
2011-07-18,58.18,58.26,57.22,58.26,1493500,56.86
2011-07-15,58.67,58.84,58.04,58.43,1132500,57.02
2011-07-14,59.49,59.49,58.53,58.64,1354300,57.23
2011-07-13,59.36,60.08,59.15,59.32,1163100,57.89
2011-07-12,58.42,59.68,58.29,59.13,1670500,57.71
2011-07-11,59.49,59.72,58.46,58.56,1303200,57.15
2011-07-08,60.12,60.20,59.64,60.14,1398800,58.69
2011-07-07,60.39,60.64,60.02,60.60,1206700,59.14
2011-07-06,59.73,60.38,59.50,59.85,1276200,58.41
2011-07-05,60.03,60.09,59.37,59.67,1025900,58.23
2011-07-01,58.94,60.35,58.80,60.28,1836100,58.83
2011-06-30,58.41,58.80,58.33,58.69,1493800,57.28
2011-06-29,58.91,58.91,58.01,58.13,1459000,56.73
2011-06-28,57.98,58.74,57.78,58.67,1106800,57.26
2011-06-27,57.52,58.19,57.10,57.94,1214100,56.37
2011-06-24,58.35,58.44,57.16,57.38,1854700,55.82
2011-06-23,57.92,58.42,56.57,58.23,2306800,56.65
2011-06-22,58.28,58.68,58.14,58.40,1377100,56.82
2011-06-21,58.36,58.56,58.03,58.28,1431600,56.70
2011-06-20,57.67,58.13,57.65,58.00,1019800,56.43
2011-06-17,58.42,58.42,57.58,57.71,2105200,56.15
2011-06-16,57.89,58.45,57.67,58.00,1111400,56.43
2011-06-15,58.59,59.00,57.85,57.99,1378200,56.42
2011-06-14,59.06,59.27,58.78,58.88,1253900,57.28
2011-06-13,58.54,58.86,58.03,58.54,1537400,56.95
2011-06-10,58.88,58.94,58.09,58.17,1566900,56.59
2011-06-09,58.70,59.30,58.51,58.98,1398100,57.38
2011-06-08,59.25,59.25,58.19,58.64,2024700,57.05
2011-06-07,58.96,59.85,58.25,59.28,2568700,57.67
2011-06-06,60.22,60.26,58.58,58.58,3571800,56.99
2011-06-03,60.31,60.57,60.07,60.20,1498800,58.57
2011-06-02,61.27,61.39,60.63,61.01,2080800,59.36
2011-06-01,62.08,62.14,61.26,61.30,2132000,59.64
2011-05-31,62.44,62.45,62.03,62.40,2249800,60.71
2011-05-27,62.42,62.60,62.09,62.16,1060000,60.48
2011-05-26,62.18,62.35,61.62,62.21,2259700,60.52
2011-05-25,62.29,62.84,62.24,62.29,1615500,60.60
2011-05-24,63.03,63.14,62.25,62.74,1824100,61.04
2011-05-23,62.86,63.21,62.14,63.05,2959800,61.34
2011-05-20,64.24,64.24,62.88,63.42,2494000,61.70
2011-05-19,64.14,64.27,63.62,64.00,2159300,62.27
2011-05-18,63.89,64.15,63.62,64.00,3304900,62.27
2011-05-17,63.29,63.86,62.91,63.80,2363200,62.07
2011-05-16,62.75,64.61,62.75,63.76,4010500,62.03
2011-05-13,63.40,63.65,62.77,63.28,3240200,61.57
2011-05-12,61.83,63.26,61.37,63.16,3700000,61.45
2011-05-11,61.92,62.47,61.51,61.84,3146600,60.16
2011-05-10,60.38,61.10,60.31,61.00,2823700,59.35
2011-05-09,59.62,60.25,59.43,60.11,1591800,58.48
2011-05-06,60.01,60.46,59.45,59.69,2455700,58.07
2011-05-05,59.44,60.37,59.28,59.71,2439400,58.09
2011-05-04,59.25,59.49,59.00,59.47,1665500,57.86
2011-05-03,59.18,59.49,59.16,59.35,2342300,57.74
2011-05-02,59.10,59.39,58.79,59.24,3040700,57.63
2011-04-29,59.32,59.35,58.93,59.00,1832600,57.40
2011-04-28,58.33,59.27,58.28,59.18,3090500,57.58
2011-04-27,58.56,58.56,58.13,58.39,2507700,56.81
2011-04-26,58.44,58.50,58.07,58.33,2098800,56.75
2011-04-25,58.39,58.50,57.86,58.02,2260500,56.45
2011-04-21,58.55,58.97,58.44,58.51,2589100,56.92
2011-04-20,60.47,60.47,58.19,58.41,4891400,56.83
2011-04-19,60.12,61.48,60.12,61.10,3703400,59.44
2011-04-18,60.00,60.25,59.66,60.01,1891300,58.38
2011-04-15,60.09,61.03,60.00,60.70,2554000,59.06
2011-04-14,59.51,60.08,59.41,59.87,1375900,58.25
2011-04-13,59.94,60.29,59.51,59.84,1685700,58.22
2011-04-12,59.43,59.92,59.19,59.69,2315400,58.07
2011-04-11,59.81,60.31,59.79,60.00,1553400,58.37
2011-04-08,60.16,60.38,59.40,59.71,1850700,58.09
2011-04-07,60.25,60.53,59.79,59.85,2026100,58.23
2011-04-06,61.06,61.07,60.12,60.26,1977000,58.63
2011-04-05,61.25,61.33,60.49,60.52,1455700,58.88
2011-04-04,61.09,61.58,60.93,61.49,1876400,59.82
2011-04-01,60.89,61.42,60.76,60.90,1815100,59.25
2011-03-31,60.71,60.97,60.61,60.80,2074200,59.15
2011-03-30,61.39,61.47,60.69,60.76,1020600,59.11
2011-03-29,60.55,61.12,60.22,61.09,1535300,59.43
2011-03-28,61.35,61.35,60.71,60.71,1090300,58.89
2011-03-25,61.23,61.28,60.77,61.12,1260000,59.29
2011-03-24,61.47,61.66,60.47,61.19,2287600,59.36
2011-03-23,61.65,61.65,60.46,61.35,1543300,59.51
2011-03-22,62.16,62.25,61.65,61.74,1278400,59.89
2011-03-21,62.17,62.28,61.92,62.03,1556100,60.17
2011-03-18,61.37,62.32,61.30,61.52,4045900,59.68
2011-03-17,61.11,61.56,60.40,60.59,1706600,58.77
2011-03-16,61.17,61.66,60.01,60.34,1787400,58.53
2011-03-15,60.73,61.75,60.19,61.41,2810700,59.57
2011-03-14,63.02,63.13,62.05,62.34,1613000,60.47
2011-03-11,63.01,63.18,62.58,63.02,1342500,61.13
2011-03-10,63.85,63.85,62.68,62.92,2714700,61.03
2011-03-09,64.66,65.05,63.94,64.36,2167500,62.43
2011-03-08,63.80,65.21,63.17,65.07,2342400,63.12
2011-03-07,63.98,64.40,62.88,63.31,2959100,61.41
