Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,43.67,43.88,43.50,43.54,465000,42.22
2011-12-29,43.54,43.83,43.50,43.73,429800,42.41
2011-12-28,44.05,44.08,43.30,43.38,635500,42.07
2011-12-27,43.88,44.14,43.80,44.03,414500,42.70
2011-12-23,43.70,44.06,43.60,44.00,600500,42.67
2011-12-22,43.50,43.60,43.15,43.50,714000,42.19
2011-12-21,42.80,43.44,42.58,43.41,1090300,42.10
2011-12-20,42.42,43.10,42.39,42.94,1166100,41.64
2011-12-19,42.69,42.82,41.79,41.84,1113200,40.58
2011-12-16,42.12,42.74,42.11,42.64,2403400,41.35
2011-12-15,41.16,42.02,41.13,41.95,2011300,40.68
2011-12-14,40.47,41.00,40.40,40.74,1625100,39.51
2011-12-13,41.40,41.71,40.47,40.59,2076700,39.36
2011-12-12,41.07,41.25,40.79,41.22,879800,39.97
2011-12-09,41.07,41.49,41.07,41.40,860200,40.15
2011-12-08,41.23,41.26,40.74,41.01,1228200,39.77
2011-12-07,41.23,41.58,41.03,41.43,1193300,40.18
2011-12-06,40.73,41.50,40.55,41.37,1028900,40.12
2011-12-05,40.83,41.03,40.48,40.84,916600,39.61
2011-12-02,40.47,40.57,40.24,40.51,1136400,39.29
2011-12-01,40.51,40.64,40.02,40.25,1329000,39.03
2011-11-30,40.57,40.60,40.09,40.59,1404300,39.36
2011-11-29,38.81,39.55,38.55,39.50,1687900,38.31
2011-11-28,38.56,38.87,38.32,38.74,873900,37.57
2011-11-25,38.15,38.36,37.99,38.00,423700,36.54
2011-11-23,38.26,38.47,38.04,38.16,727000,36.70
2011-11-22,38.83,38.94,38.44,38.71,810500,37.22
2011-11-21,39.14,39.15,38.40,38.78,1158200,37.29
2011-11-18,39.78,39.79,39.24,39.57,1078700,38.05
2011-11-17,39.72,39.79,39.17,39.48,1208500,37.97
2011-11-16,40.56,40.61,39.78,39.78,2068800,38.25
2011-11-15,40.54,41.00,40.43,40.91,701100,39.34
2011-11-14,40.79,40.79,40.29,40.70,922100,39.14
2011-11-11,40.40,41.02,40.40,41.02,982900,39.45
2011-11-10,39.96,40.09,39.30,40.04,1040400,38.50
2011-11-09,39.57,39.84,39.48,39.62,1595000,38.10
2011-11-08,39.85,40.19,39.47,40.19,1466300,38.65
2011-11-07,38.95,39.70,38.81,39.62,1247700,38.10
2011-11-04,38.91,39.47,38.76,38.87,1924700,37.38
2011-11-03,39.34,39.52,38.90,39.15,1878500,37.65
2011-11-02,39.79,40.64,38.25,39.00,3234000,37.50
2011-11-01,41.37,41.70,40.32,40.33,1517400,38.78
2011-10-31,42.62,43.00,42.34,42.34,1358200,40.72
2011-10-28,42.16,43.05,42.16,42.96,1907900,41.31
2011-10-27,42.78,42.78,41.88,42.05,1945600,40.44
2011-10-26,41.88,42.00,41.32,41.91,1207800,40.30
2011-10-25,41.62,41.80,41.14,41.44,969200,39.85
2011-10-24,41.61,41.96,41.54,41.80,792300,40.20
2011-10-21,41.29,41.71,41.24,41.70,999000,40.10
2011-10-20,41.11,41.49,40.36,40.88,1651200,39.31
2011-10-19,41.86,41.86,40.92,41.15,1066600,39.57
2011-10-18,41.03,42.33,40.78,41.92,938500,40.31
2011-10-17,41.78,41.91,41.07,41.17,905500,39.59
2011-10-14,42.23,42.27,41.53,41.78,728700,40.18
2011-10-13,41.71,41.95,41.03,41.78,969900,40.18
2011-10-12,42.28,42.32,41.86,41.88,810700,40.27
2011-10-11,41.96,42.12,41.70,42.01,976400,40.40
2011-10-10,41.63,42.17,41.50,42.17,734700,40.55
2011-10-07,41.31,41.59,40.72,41.01,1117700,39.44
2011-10-06,39.94,41.22,39.94,41.17,1389200,39.59
2011-10-05,39.64,40.12,39.23,40.05,1086300,38.51
2011-10-04,37.99,39.55,37.99,39.50,1300000,37.98
2011-10-03,39.44,39.80,38.34,38.34,1514100,36.87
2011-09-30,39.85,40.13,39.53,39.61,1030800,38.09
2011-09-29,39.63,40.30,39.47,40.30,1452300,38.75
2011-09-28,40.76,40.99,39.04,39.08,1409200,37.58
2011-09-27,40.54,41.13,40.22,40.76,1098200,39.20
2011-09-26,39.47,39.82,39.05,39.81,961000,38.28
2011-09-23,39.04,39.58,38.98,39.13,1169700,37.63
2011-09-22,39.79,39.92,38.72,39.31,2177400,37.80
2011-09-21,42.30,42.35,40.63,40.63,993400,39.07
2011-09-20,42.47,42.92,42.36,42.37,1212800,40.74
2011-09-19,42.24,42.43,42.02,42.24,1133000,40.62
2011-09-16,42.88,43.17,42.69,42.81,1635800,41.17
2011-09-15,42.54,42.92,42.21,42.79,955100,41.15
2011-09-14,41.94,42.49,41.42,42.07,1330700,40.46
