Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,49.50,49.54,48.49,48.51,1464000,48.51
2011-12-29,49.26,49.64,48.76,49.57,939500,49.57
2011-12-28,49.57,49.67,48.72,49.03,1139800,49.03
2011-12-27,49.60,49.76,49.15,49.56,1111800,49.56
2011-12-23,48.24,49.06,47.98,48.97,952900,48.97
2011-12-22,47.71,48.60,47.61,48.15,1904700,48.15
2011-12-21,46.96,47.98,43.77,47.70,8628500,47.70
2011-12-20,49.82,50.69,49.74,50.48,1439500,50.48
2011-12-19,49.40,50.23,48.77,48.98,1661400,48.98
2011-12-16,49.34,49.90,48.99,49.28,1736200,49.28
2011-12-15,49.42,49.74,48.83,48.97,1524000,48.97
2011-12-14,49.30,49.51,48.55,48.97,1883900,48.97
2011-12-13,51.51,51.88,49.42,49.70,2728700,49.70
2011-12-12,52.00,52.20,51.01,51.24,1377600,51.24
2011-12-09,51.90,52.88,51.52,52.77,1516100,52.77
2011-12-08,52.10,53.03,51.75,51.88,1505000,51.88
2011-12-07,52.18,52.44,51.08,52.28,1565900,52.28
2011-12-06,53.28,53.82,52.56,52.61,1550600,52.61
2011-12-05,54.69,54.95,53.13,53.40,2052200,53.40
2011-12-02,54.66,54.90,53.67,53.74,945800,53.74
2011-12-01,54.01,54.97,53.62,53.99,1211300,53.99
2011-11-30,52.42,54.41,52.42,54.23,1975300,54.23
2011-11-29,51.27,51.66,50.47,50.70,1170800,50.70
2011-11-28,50.94,51.70,50.55,51.10,1218600,51.10
2011-11-25,49.80,50.31,49.46,49.48,380000,49.48
2011-11-23,50.78,50.82,49.55,49.95,1340900,49.95
2011-11-22,51.21,51.88,50.71,51.32,1705100,51.32
2011-11-21,52.02,52.18,50.53,51.27,1841100,51.27
2011-11-18,54.57,54.57,52.71,52.77,1607600,52.77
2011-11-17,55.74,55.87,53.75,54.11,1806000,54.11
2011-11-16,56.05,57.10,55.76,56.15,1881100,56.15
2011-11-15,56.02,57.08,55.48,56.84,1379000,56.84
2011-11-14,56.00,56.91,55.83,56.04,1147900,56.04
2011-11-11,56.32,56.64,56.00,56.38,1035700,56.38
2011-11-10,56.02,56.20,54.22,55.34,1096100,55.34
2011-11-09,56.40,57.43,54.93,55.15,1714400,55.15
2011-11-08,56.93,57.90,56.15,57.60,2163100,57.60
2011-11-07,57.05,57.23,55.80,56.40,2227600,56.40
2011-11-04,57.28,57.52,55.80,56.90,2261100,56.90
2011-11-03,58.83,58.83,52.45,58.14,6240100,58.14
2011-11-02,57.75,58.43,56.81,57.67,2135600,57.67
2011-11-01,57.73,58.89,56.59,56.75,2712100,56.75
2011-10-31,61.27,61.47,59.64,59.66,2400000,59.66
2011-10-28,60.52,62.62,59.81,62.18,2552400,62.18
2011-10-27,59.29,61.32,58.63,60.81,3441100,60.81
2011-10-26,56.85,56.85,55.19,56.51,1733700,56.51
2011-10-25,56.01,56.79,55.33,56.05,1898400,56.05
2011-10-24,56.66,56.81,56.03,56.39,3729900,56.39
2011-10-21,55.79,56.58,55.14,55.50,2616900,55.50
2011-10-20,57.65,57.81,54.56,55.17,2915200,55.17
2011-10-19,58.95,59.19,57.38,57.48,984700,57.48
2011-10-18,57.38,59.51,56.89,59.25,1440200,59.25
2011-10-17,58.98,58.98,57.28,57.47,2037400,57.47
2011-10-14,58.71,59.42,58.15,59.31,1193500,59.31
2011-10-13,56.93,58.10,56.48,57.96,1088000,57.96
2011-10-12,57.59,57.95,57.02,57.27,1408300,57.27
2011-10-11,55.58,57.52,55.28,57.12,1455400,57.12
2011-10-10,54.72,56.16,54.69,56.09,929200,56.09
2011-10-07,55.34,55.34,53.58,53.72,1921600,53.72
2011-10-06,52.84,55.45,52.60,55.16,1792400,55.16
2011-10-05,52.48,52.71,51.39,52.58,1967600,52.58
2011-10-04,49.86,52.62,49.25,52.55,2200000,52.55
2011-10-03,52.80,53.10,50.47,50.82,3388600,50.82
2011-09-30,54.33,55.47,53.10,53.53,1982600,53.53
2011-09-29,57.38,57.47,53.81,55.05,2050800,55.05
2011-09-28,56.61,57.99,56.13,56.27,2007900,56.27
2011-09-27,57.25,58.05,56.81,57.12,2149500,57.12
2011-09-26,53.73,55.78,53.54,55.64,2338700,55.64
2011-09-23,51.08,53.51,50.69,53.38,1881100,53.38
2011-09-22,50.90,52.25,50.31,51.21,2059700,51.21
2011-09-21,52.47,54.58,52.31,52.86,2443900,52.86
2011-09-20,52.96,54.33,52.18,52.24,1751000,52.24
2011-09-19,51.56,52.88,51.07,52.46,1360200,52.46
2011-09-16,51.22,52.59,51.08,52.55,1725700,52.55
2011-09-15,51.63,51.64,50.49,51.45,1404300,51.45
2011-09-14,49.48,51.67,48.92,50.99,1712700,50.99
2011-09-13,49.08,49.23,48.29,48.91,2676900,48.91
2011-09-12,47.46,49.18,47.04,49.08,2186000,49.08
2011-09-09,49.14,49.82,47.45,48.09,2081000,48.09
