Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,31.01,31.16,30.79,30.81,1231400,30.09
2011-12-29,30.66,31.16,30.50,31.12,1369000,30.39
2011-12-28,31.10,31.14,30.46,30.49,1395400,29.78
2011-12-27,31.16,31.45,31.09,31.13,1695400,30.40
2011-12-23,31.37,31.40,31.16,31.29,1804500,30.56
2011-12-22,30.73,31.32,30.64,31.19,1942500,30.46
2011-12-21,31.09,31.09,30.25,30.60,1953700,29.89
2011-12-20,30.36,31.21,30.30,31.12,1909400,30.39
2011-12-19,30.66,30.69,29.69,29.77,2193500,29.08
2011-12-16,30.55,31.01,30.17,30.45,4769800,29.74
2011-12-15,30.71,30.71,30.16,30.27,2645200,29.56
2011-12-14,30.86,31.25,30.24,30.33,3117900,29.62
2011-12-13,32.22,32.32,31.11,31.15,3239700,30.42
2011-12-12,32.50,32.50,31.63,31.97,2347400,31.22
2011-12-09,32.18,33.14,31.88,33.02,3736700,32.25
2011-12-08,32.75,33.06,32.07,32.17,2828500,31.42
2011-12-07,32.45,33.23,32.43,33.06,3184400,32.29
2011-12-06,32.23,32.86,31.90,32.71,2736800,31.95
2011-12-05,32.46,32.65,31.79,32.06,2232000,31.31
2011-12-02,31.15,32.38,30.97,31.42,3427500,30.69
2011-12-01,31.48,31.81,31.17,31.28,3340500,30.55
2011-11-30,31.03,31.81,30.93,31.71,6325900,30.97
2011-11-29,30.83,31.30,30.67,31.08,1887700,30.36
2011-11-28,31.01,31.19,30.56,30.88,2994600,29.98
2011-11-25,30.34,30.96,30.10,30.11,1434700,29.24
2011-11-23,30.95,31.04,30.33,30.33,2590300,29.45
2011-11-22,31.97,32.14,31.23,31.33,2990500,30.42
2011-11-21,32.34,32.42,31.79,32.07,2491600,31.14
2011-11-18,33.61,33.76,32.87,32.90,3040400,31.95
2011-11-17,34.11,34.21,33.14,33.49,2046900,32.52
2011-11-16,34.40,34.98,33.98,34.26,2587400,33.27
2011-11-15,34.17,34.82,34.15,34.65,2368700,33.65
2011-11-14,34.33,34.79,34.33,34.49,2369300,33.49
2011-11-11,34.35,34.82,34.31,34.64,1576200,33.64
2011-11-10,34.14,34.40,33.68,33.86,2403600,32.88
2011-11-09,34.75,34.75,33.70,33.95,3621400,32.97
2011-11-08,35.50,35.85,34.96,35.78,2748900,34.74
2011-11-07,34.98,35.45,34.39,35.18,2908700,34.16
2011-11-04,35.37,35.55,34.75,35.11,3260000,34.09
2011-11-03,35.49,35.88,34.55,35.74,5883800,34.70
2011-11-02,35.22,35.77,35.16,35.51,3696200,34.48
2011-11-01,34.08,35.35,34.08,34.63,2772000,33.63
2011-10-31,35.77,36.18,35.52,35.55,2712300,34.52
2011-10-28,36.66,37.14,36.18,36.34,4363500,35.29
2011-10-27,35.68,37.20,35.66,36.69,5224400,35.63
2011-10-26,34.35,34.97,33.69,34.71,3059100,33.70
2011-10-25,34.63,34.63,33.90,33.98,3192100,32.99
2011-10-24,34.06,35.01,33.83,34.87,2850900,33.86
2011-10-21,33.57,34.18,33.42,33.87,3872700,32.89
2011-10-20,33.29,33.49,32.60,33.11,4042000,32.15
2011-10-19,33.99,34.01,32.96,33.30,11170800,32.33
2011-10-18,34.11,34.76,33.82,34.54,7782700,33.54
2011-10-17,34.18,34.49,33.86,33.94,9182300,32.96
2011-10-14,34.20,34.40,33.64,34.25,86738500,33.26
2011-10-13,32.92,33.89,32.81,33.79,11684700,32.81
2011-10-12,33.22,33.67,32.71,32.86,16268400,31.91
2011-10-11,30.37,30.88,30.22,30.69,2011600,29.80
2011-10-10,30.11,30.79,30.11,30.75,1289500,29.86
2011-10-07,29.96,30.36,29.30,29.50,1332900,28.64
2011-10-06,28.95,29.89,28.81,29.88,1185700,29.01
2011-10-05,28.34,29.04,27.93,28.90,1656600,28.06
2011-10-04,27.02,28.30,26.58,28.30,2600000,27.48
2011-10-03,27.85,28.44,27.20,27.25,1924600,26.46
2011-09-30,28.56,28.79,28.10,28.14,2862000,27.32
2011-09-29,29.50,29.86,28.44,29.11,2080500,28.27
2011-09-28,29.00,29.64,28.80,28.94,4492400,28.10
2011-09-27,29.02,29.35,28.57,28.77,3269300,27.94
2011-09-26,28.10,28.38,27.17,28.31,1517100,27.49
2011-09-23,27.63,28.03,27.48,27.93,1711000,27.12
2011-09-22,27.07,27.96,26.67,27.86,5353500,27.05
2011-09-21,28.42,29.09,28.18,28.20,2994700,27.38
2011-09-20,29.59,29.59,28.47,28.48,1687200,27.65
2011-09-19,28.72,29.46,28.53,29.29,1108100,28.44
2011-09-16,30.08,30.10,29.39,29.48,1070700,28.63
2011-09-15,29.99,30.28,29.74,29.86,1197900,28.99
2011-09-14,29.05,29.86,28.55,29.46,1768600,28.61
2011-09-13,28.10,29.01,27.91,28.91,2599700,28.07
2011-09-12,27.69,28.33,27.45,27.95,3289200,27.14
2011-09-09,28.82,28.84,27.98,28.09,2880500,27.28
2011-09-08,29.29,29.82,29.17,29.26,1296600,28.41
2011-09-07,29.44,29.86,29.17,29.65,1943800,28.79
2011-09-06,28.58,28.83,27.90,28.76,2369700,27.93
2011-09-02,30.00,30.23,29.14,29.31,1818100,28.46
2011-09-01,30.76,31.11,30.48,30.60,3090000,29.71
2011-08-31,31.43,31.63,30.55,30.62,3485800,29.73
2011-08-30,30.91,31.44,30.41,31.12,2702200,30.22
2011-08-29,29.86,31.10,29.86,31.06,2260100,29.98
2011-08-26,28.92,29.74,28.26,29.66,3059100,28.63
2011-08-25,29.74,30.11,28.91,28.95,3590400,27.95
2011-08-24,28.85,29.66,28.64,29.63,2945700,28.60
2011-08-23,28.35,29.06,27.91,29.00,4519000,28.00
2011-08-22,28.81,28.96,27.89,28.01,3193000,27.04
2011-08-19,28.23,28.98,28.06,28.09,2321000,27.12
2011-08-18,30.05,30.05,28.35,28.56,2568900,27.57
2011-08-17,31.11,31.29,30.51,30.80,1481800,29.73
2011-08-16,31.29,31.57,30.89,30.98,2324500,29.91
2011-08-15,30.93,31.64,30.93,31.51,2201300,30.42
2011-08-12,30.42,30.96,30.29,30.67,2039100,29.61
2011-08-11,28.64,30.60,28.39,30.23,2592500,29.18
2011-08-10,28.16,29.36,28.11,28.43,4116500,27.45
2011-08-09,28.33,29.25,27.72,29.04,4340400,28.03
2011-08-08,29.45,29.73,27.43,28.03,4591700,27.06
2011-08-05,31.22,31.27,29.39,30.49,5183200,29.43
2011-08-04,32.26,32.30,30.84,30.91,4525700,29.84
2011-08-03,32.85,32.90,32.18,32.63,4477300,31.50
2011-08-02,33.39,33.43,32.73,32.85,4337200,31.71
2011-08-01,34.89,34.94,33.36,33.61,3996900,32.45
2011-07-29,34.11,34.74,33.96,34.43,3971900,33.24
2011-07-28,35.40,35.72,34.64,34.64,2887200,33.44
2011-07-27,36.09,36.25,35.21,35.40,4105100,34.17
2011-07-26,36.14,36.70,36.00,36.34,2956600,35.08
2011-07-25,36.00,36.79,35.88,36.26,2436400,35.00
2011-07-22,36.18,36.62,35.87,36.41,2117000,35.15
2011-07-21,36.49,36.74,36.04,36.17,2912900,34.92
2011-07-20,37.49,38.40,35.76,36.13,4031800,34.88
2011-07-19,34.77,35.56,34.77,35.35,2233000,34.13
2011-07-18,34.89,34.94,34.02,34.48,1859100,33.29
2011-07-15,35.59,35.59,34.73,35.20,1921100,33.98
2011-07-14,36.07,36.40,35.23,35.28,2029000,34.06
2011-07-13,36.07,36.54,35.93,35.99,1616700,34.74
2011-07-12,36.55,36.55,35.65,35.95,2379200,34.71
2011-07-11,37.22,37.66,36.64,36.72,1223300,35.45
2011-07-08,37.96,37.96,37.60,37.73,1563400,36.42
2011-07-07,38.43,38.52,38.13,38.23,2292900,36.91
2011-07-06,37.89,38.45,37.80,37.93,2693300,36.62
2011-07-05,37.86,38.18,37.75,38.00,1678100,36.68
2011-07-01,36.73,38.19,36.52,37.90,3858900,36.59
2011-06-30,36.31,37.13,36.22,36.76,1843100,35.49
2011-06-29,35.61,36.29,35.57,36.23,2097100,34.98
2011-06-28,34.72,35.48,34.57,35.45,1711700,34.22
2011-06-27,34.61,34.92,34.41,34.61,1557500,33.41
2011-06-24,34.52,34.68,34.14,34.67,1300600,33.47
2011-06-23,34.38,34.63,34.08,34.50,2622700,33.31
2011-06-22,34.92,35.15,34.72,34.93,2088500,33.72
2011-06-21,34.22,35.21,34.22,34.97,2103000,33.76
2011-06-20,33.71,34.33,33.53,34.30,1576500,33.11
2011-06-17,34.00,34.17,33.43,33.83,2281500,32.66
