Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,43.73,43.80,43.39,43.39,508800,42.89
2011-12-29,43.12,43.91,42.95,43.67,756700,43.16
2011-12-28,43.41,43.50,42.79,42.80,768200,42.30
2011-12-27,43.49,43.84,43.42,43.44,475200,42.94
2011-12-23,43.29,43.60,43.14,43.51,581100,43.01
2011-12-22,42.88,43.21,42.73,43.00,915500,42.50
2011-12-21,42.46,42.82,42.33,42.61,2077900,42.12
2011-12-20,42.27,42.71,42.02,42.46,2684500,41.97
2011-12-19,42.86,43.13,41.56,41.61,1564700,41.13
2011-12-16,42.65,42.71,41.71,42.14,1627900,41.65
2011-12-15,42.78,42.80,42.29,42.35,889700,41.86
2011-12-14,41.82,42.53,41.69,42.30,1362300,41.81
2011-12-13,43.15,43.29,41.65,41.94,1467400,41.45
2011-12-12,42.56,43.25,42.46,43.00,1730700,42.50
2011-12-09,42.66,43.28,42.57,43.16,834000,42.66
2011-12-08,43.12,43.18,42.24,42.32,1115900,41.83
2011-12-07,43.28,43.71,42.55,43.56,1386200,43.06
2011-12-06,43.20,44.01,42.97,43.74,1320300,43.23
2011-12-05,43.20,43.51,42.58,43.14,1365600,42.64
2011-12-02,43.07,43.60,42.50,42.62,1182000,42.13
2011-12-01,42.40,42.77,42.09,42.57,1324600,42.08
2011-11-30,42.53,42.75,41.78,42.59,2438300,42.10
2011-11-29,41.13,41.47,40.69,41.08,1359200,40.60
2011-11-28,40.91,41.25,40.55,40.95,1174100,40.48
2011-11-25,39.79,40.60,39.62,39.68,747400,39.22
2011-11-23,40.80,40.80,39.69,39.80,1467200,39.34
2011-11-22,41.39,41.77,41.15,41.28,1203600,40.80
2011-11-21,41.49,41.61,40.81,41.34,1280700,40.86
2011-11-18,42.09,42.20,41.50,42.06,1463000,41.57
2011-11-17,41.86,42.36,41.35,41.56,1931600,41.08
2011-11-16,42.23,42.73,41.82,41.86,1480500,41.38
2011-11-15,42.01,43.04,41.89,42.69,1258900,42.20
2011-11-14,42.03,42.55,41.80,42.25,1215800,41.76
2011-11-11,42.28,42.84,42.02,42.34,1299500,41.85
2011-11-10,41.63,41.98,41.15,41.67,1437900,41.19
2011-11-09,41.43,41.86,40.90,40.98,1456400,40.51
2011-11-08,42.44,42.65,41.35,42.60,1771800,42.11
2011-11-07,41.47,42.27,41.31,42.21,1609600,41.72
2011-11-04,41.00,41.74,40.69,41.60,1278500,41.12
2011-11-03,41.46,41.64,40.54,41.51,1476000,41.03
2011-11-02,40.36,41.32,40.19,41.10,1553200,40.62
2011-11-01,39.40,40.66,39.08,39.47,2813800,39.01
2011-10-31,40.90,41.96,40.75,40.93,2536000,40.46
2011-10-28,40.69,41.66,40.49,41.57,1879700,41.09
2011-10-27,41.49,42.20,40.22,40.83,2771800,40.36
2011-10-26,39.66,40.11,38.70,39.80,1432700,39.34
2011-10-25,40.05,40.08,38.89,38.98,1089000,38.53
2011-10-24,39.05,40.56,39.05,40.36,1118600,39.89
2011-10-21,39.38,40.10,39.02,39.80,1611100,39.34
2011-10-20,37.79,39.00,37.70,38.88,1262400,38.43
2011-10-19,38.90,39.28,37.67,37.78,1680600,37.34
2011-10-18,37.84,39.22,37.23,38.97,1710300,38.52
2011-10-17,38.11,38.22,37.61,37.66,1374800,37.22
2011-10-14,38.13,38.64,37.66,38.50,1100500,38.05
2011-10-13,37.53,37.68,36.66,37.51,1487500,37.08
2011-10-12,37.72,38.47,37.51,38.05,1028800,37.61
2011-10-11,36.99,37.77,36.89,37.27,915300,36.84
2011-10-10,36.62,37.48,36.52,37.46,1164500,37.03
2011-10-07,36.75,36.97,35.67,35.70,1605400,35.29
2011-10-06,35.51,36.72,34.94,36.57,1619800,36.15
2011-10-05,34.55,35.78,34.38,35.62,1449200,35.21
2011-10-04,33.61,34.77,32.95,34.67,2300000,34.15
2011-10-03,34.70,35.50,33.67,33.72,1614100,33.21
2011-09-30,35.11,35.58,34.84,34.86,1023700,34.34
2011-09-29,35.48,35.83,34.89,35.78,1512000,35.24
2011-09-28,35.69,35.79,34.55,34.55,1282000,34.03
2011-09-27,36.13,36.37,35.29,35.53,1252700,35.00
2011-09-26,34.81,35.32,34.42,35.25,1491800,34.72
2011-09-23,34.18,34.86,34.03,34.31,1354400,33.80
2011-09-22,33.43,34.58,33.12,34.44,2899900,33.92
2011-09-21,35.98,36.16,34.31,34.32,1216400,33.81
2011-09-20,36.30,36.74,35.94,35.98,905500,35.44
2011-09-19,36.30,36.61,35.82,36.27,744700,35.73
2011-09-16,37.10,37.64,36.82,37.17,1579600,36.61
2011-09-15,37.10,37.17,36.57,36.90,1246900,36.35
2011-09-14,36.61,37.12,35.77,36.71,870400,36.16
2011-09-13,36.34,36.82,36.01,36.47,754900,35.92
2011-09-12,35.17,36.22,35.05,36.21,1193000,35.67
2011-09-09,36.23,36.47,35.39,35.74,1093700,35.20
2011-09-08,36.68,37.20,36.48,36.56,799700,36.01
2011-09-07,36.03,37.30,35.95,37.25,860200,36.69
2011-09-06,34.81,35.39,34.32,35.31,1830700,34.78
2011-09-02,36.18,36.71,35.87,35.87,829700,35.33
2011-09-01,38.13,38.23,37.01,37.02,1461000,36.46
2011-08-31,38.04,38.57,37.70,38.21,1444000,37.64
2011-08-30,37.71,38.05,36.95,37.77,999700,37.20
2011-08-29,37.15,38.04,37.04,37.96,767000,37.39
2011-08-26,36.04,36.73,35.27,36.53,1341400,35.98
2011-08-25,37.67,38.04,35.96,36.33,1202600,35.79
2011-08-24,36.80,37.46,36.32,37.44,1030300,36.88
2011-08-23,35.42,36.66,35.15,36.61,1482000,36.06
2011-08-22,36.13,36.17,35.06,35.38,1442700,34.85
2011-08-19,34.90,36.25,34.80,35.24,1772300,34.71
2011-08-18,35.18,35.84,35.00,35.32,2279100,34.79
2011-08-17,36.34,36.63,35.85,36.30,2136200,35.76
2011-08-16,36.37,36.90,35.93,36.16,1647200,35.62
2011-08-15,36.41,36.85,36.29,36.85,1684500,36.30
2011-08-12,36.46,37.25,35.92,36.15,1705100,35.61
2011-08-11,33.78,37.07,33.76,36.44,2900800,35.89
2011-08-10,34.87,35.22,33.50,33.56,3009600,33.06
2011-08-09,33.75,35.66,32.77,35.63,2919300,35.10
