Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,44.98,45.32,44.70,44.97,1440200,44.55
2011-12-29,44.37,45.05,44.25,44.95,1420200,44.53
2011-12-28,45.46,45.53,44.20,44.23,1587000,43.81
2011-12-27,45.41,45.84,45.31,45.50,1107500,45.07
2011-12-23,45.80,45.86,45.46,45.69,1937200,45.26
2011-12-22,44.86,45.83,44.63,45.61,2947800,45.18
2011-12-21,45.03,45.07,44.23,44.66,2899100,44.24
2011-12-20,44.26,45.11,44.22,44.93,2390700,44.51
2011-12-19,44.06,44.52,43.40,43.54,2433400,43.13
2011-12-16,44.49,44.50,43.60,43.84,4342200,43.43
2011-12-15,43.75,44.29,43.06,44.15,4004600,43.74
2011-12-14,44.61,44.74,43.64,43.75,3915700,43.34
2011-12-13,45.19,45.61,44.44,44.69,3237200,44.27
2011-12-12,45.39,45.48,44.94,45.13,3052200,44.71
2011-12-09,45.34,45.80,44.65,45.64,4900100,45.21
2011-12-08,46.45,46.71,45.16,45.29,4084300,44.86
2011-12-07,46.88,47.28,46.16,46.98,2925400,46.54
2011-12-06,46.68,47.38,46.64,47.18,2457500,46.74
2011-12-05,47.10,47.41,46.46,46.78,2552000,46.34
2011-12-02,47.34,47.63,46.39,46.54,1699800,46.10
2011-12-01,47.25,47.70,46.95,47.04,2898300,46.60
2011-11-30,47.39,47.84,46.78,47.25,3564500,46.81
2011-11-29,45.90,46.44,45.52,46.09,2944000,45.66
2011-11-28,45.37,45.80,45.22,45.60,4035000,45.17
2011-11-25,44.54,45.24,44.41,44.42,1307500,44.00
2011-11-23,44.64,44.97,44.29,44.47,3270000,44.05
2011-11-22,44.89,45.66,44.76,45.11,4761700,44.69
2011-11-21,45.36,45.46,44.70,45.06,3971800,44.64
2011-11-18,46.42,46.71,45.83,45.90,6235300,45.47
2011-11-17,48.15,48.26,46.36,46.80,6616000,46.36
2011-11-16,49.00,49.20,48.35,48.41,4339300,47.96
2011-11-15,48.38,49.51,48.35,49.34,2758500,48.88
2011-11-14,48.68,49.23,48.49,48.65,2020600,48.19
2011-11-11,48.74,49.32,48.46,48.81,3225400,48.35
