Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,59.42,59.68,59.16,59.17,1638000,57.52
2011-12-29,59.15,59.82,59.05,59.68,1579100,58.02
2011-12-28,59.55,59.66,58.82,58.86,1720200,57.22
2011-12-27,59.40,59.89,59.23,59.53,1776700,57.87
2011-12-23,59.51,59.65,59.06,59.35,1862000,57.70
2011-12-22,59.24,59.67,58.83,59.19,3069100,57.54
2011-12-21,58.40,59.27,58.24,59.09,2945200,57.45
2011-12-20,57.60,58.34,57.42,58.15,3908200,56.53
2011-12-19,57.47,57.72,56.59,56.71,4032600,55.13
2011-12-16,57.13,57.55,56.95,57.28,7388900,55.69
2011-12-15,56.67,57.17,56.37,56.81,4527800,55.23
2011-12-14,55.77,56.52,55.77,55.97,4366600,54.41
2011-12-13,56.14,56.84,55.58,55.93,4828400,54.37
2011-12-12,55.47,55.94,55.35,55.83,4411500,54.28
2011-12-09,55.76,56.21,55.61,56.02,5526500,54.46
2011-12-08,55.58,56.05,55.44,55.53,6619800,53.99
2011-12-07,54.76,56.11,54.73,55.90,6515000,54.35
2011-12-06,54.41,55.80,54.28,55.35,7733100,53.41
2011-12-05,54.85,55.23,54.37,54.67,4849000,52.76
2011-12-02,55.62,55.67,54.17,54.24,5609900,52.34
2011-12-01,56.24,56.38,54.85,55.04,5264800,53.11
2011-11-30,55.85,56.32,55.51,56.25,6879000,54.28
2011-11-29,54.26,54.29,53.80,54.07,3400800,52.18
2011-11-28,54.44,54.44,53.81,54.22,4043300,52.32
2011-11-25,52.58,53.93,52.51,53.41,2186700,51.54
2011-11-23,53.53,53.81,52.76,52.76,5180600,50.91
2011-11-22,54.63,54.76,53.86,53.94,5010400,52.05
2011-11-21,55.64,55.90,54.67,54.76,4409800,52.84
2011-11-18,56.03,56.44,55.44,56.22,3169200,54.25
2011-11-17,56.30,56.79,55.41,55.73,3952100,53.78
2011-11-16,56.41,57.28,56.11,56.34,4733800,54.37
2011-11-15,57.17,57.74,57.10,57.29,3493300,55.28
2011-11-14,58.16,58.47,57.38,57.53,3466200,55.52
2011-11-11,57.99,58.57,57.89,58.43,3243200,56.38
2011-11-10,57.29,57.60,56.89,57.41,3390900,55.40
2011-11-09,57.81,58.03,56.76,56.92,4911900,54.93
2011-11-08,58.75,59.22,58.37,59.03,4332200,56.96
2011-11-07,57.82,58.62,57.55,58.62,2383900,56.57
2011-11-04,57.84,58.56,57.62,58.14,2991600,56.10
2011-11-03,58.12,58.66,57.61,58.58,4292200,56.53
2011-11-02,57.05,57.75,56.90,57.71,4061500,55.69
2011-11-01,57.35,58.23,56.36,56.43,6066800,54.45
2011-10-31,58.91,59.09,58.33,58.35,4195500,56.31
2011-10-28,59.36,59.62,59.02,59.48,3593500,57.40
2011-10-27,58.79,59.63,58.02,59.40,5039500,57.32
2011-10-26,57.27,57.70,56.68,57.50,4729100,55.49
2011-10-25,57.09,57.40,56.14,56.34,5459800,54.37
2011-10-24,57.16,58.00,57.01,57.62,4645000,55.60
2011-10-21,55.16,57.35,54.95,57.35,7400600,55.34
2011-10-20,54.15,54.76,53.39,54.53,6868900,52.62
2011-10-19,52.23,55.09,52.00,54.39,7931300,52.49
2011-10-18,50.06,51.77,49.52,51.46,4891700,49.66
2011-10-17,50.70,50.77,49.58,49.58,3201000,47.84
2011-10-14,51.29,51.33,50.35,51.27,2507100,49.47
2011-10-13,50.83,50.94,49.97,50.45,2943900,48.68
2011-10-12,50.82,51.95,50.70,51.44,3965600,49.64
2011-10-11,51.03,51.17,50.31,50.42,2324600,48.65
2011-10-10,50.00,51.10,49.90,51.10,2998200,49.31
2011-10-07,50.56,50.67,48.96,49.00,4120900,47.28
2011-10-06,49.33,50.23,48.68,50.19,4374700,48.43
2011-10-05,47.84,49.65,47.18,49.57,5625200,47.83
2011-10-04,46.24,48.21,45.97,48.08,5400000,46.40
2011-10-03,48.42,49.01,46.77,46.80,4242400,45.16
2011-09-30,49.24,49.74,48.73,48.73,3758300,47.02
2011-09-29,49.25,49.99,48.75,49.69,4147100,47.95
2011-09-28,49.54,49.92,48.16,48.17,3735000,46.48
2011-09-27,49.52,50.45,48.93,49.24,4967000,47.52
2011-09-26,47.52,48.36,47.14,48.34,3979200,46.65
2011-09-23,47.02,47.44,46.64,47.12,4492300,45.47
2011-09-22,46.77,48.13,46.72,47.38,8178600,45.72
2011-09-21,50.32,50.41,48.18,48.19,6019400,46.50
2011-09-20,51.29,51.54,50.35,50.42,6444200,48.65
2011-09-19,50.06,50.23,49.50,49.90,4255300,48.15
2011-09-16,49.91,50.70,49.78,50.61,5878900,48.84
2011-09-15,49.19,49.84,48.78,49.84,4261200,48.10
2011-09-14,49.03,49.39,48.24,48.94,4380900,47.23
2011-09-13,49.20,49.20,48.36,48.94,4190500,47.23
2011-09-12,47.42,48.96,47.29,48.96,4924400,47.25
2011-09-09,48.95,48.99,47.89,48.14,4557900,46.45
2011-09-08,49.82,50.03,49.16,49.34,3483200,47.61
2011-09-07,48.83,50.23,48.70,50.22,4903400,48.46
2011-09-06,47.59,48.63,47.59,48.53,4837800,46.44
2011-09-02,49.49,49.65,48.87,48.87,4410100,46.76
2011-09-01,50.40,50.73,50.08,50.21,4709000,48.04
2011-08-31,50.38,50.97,50.06,50.46,4772200,48.28
2011-08-30,50.39,50.57,49.84,50.21,4167000,48.04
2011-08-29,49.78,50.95,49.52,50.75,11147200,48.56
2011-08-26,47.67,48.58,46.62,48.30,11151700,46.22
2011-08-25,49.52,49.77,47.71,47.99,12810000,45.92
2011-08-24,48.93,49.91,48.61,49.51,5092100,47.37
2011-08-23,49.16,49.43,48.49,49.35,6418100,47.22
2011-08-22,50.50,50.51,49.00,49.12,3396800,47.00
2011-08-19,49.67,50.63,49.39,49.46,4677700,47.33
2011-08-18,50.68,51.03,49.46,49.79,5967200,47.64
2011-08-17,52.43,52.58,51.88,52.20,2389600,49.95
2011-08-16,51.73,52.52,51.54,51.98,4829000,49.74
2011-08-15,51.24,52.27,51.20,52.27,3871200,50.01
2011-08-12,51.11,51.92,50.66,51.13,4776200,48.92
2011-08-11,48.91,52.03,48.90,51.39,8143600,49.17
2011-08-10,49.66,50.98,48.94,49.04,11452400,46.92
2011-08-09,49.55,51.69,48.54,51.69,9128900,49.46
2011-08-08,51.57,52.11,48.55,48.58,9929300,46.48
2011-08-05,54.01,54.15,52.08,52.57,10504000,50.30
2011-08-04,53.43,54.06,53.12,53.31,9079800,51.01
2011-08-03,54.09,54.25,53.26,54.22,5000400,51.88
2011-08-02,54.12,55.07,54.12,54.16,4626800,51.82
2011-08-01,55.10,55.58,54.36,54.61,4591200,52.25
2011-07-29,55.08,55.58,54.88,55.13,4674700,52.75
2011-07-28,56.31,56.47,55.40,55.50,3110600,53.10
2011-07-27,56.75,56.75,56.21,56.27,4410400,53.84
2011-07-26,56.59,57.17,56.31,56.80,3243300,54.35
2011-07-25,56.87,57.04,56.40,56.65,5945400,54.20
2011-07-22,57.90,58.05,57.35,57.58,3543500,55.09
2011-07-21,56.80,57.81,56.44,57.69,5149900,55.20
2011-07-20,57.22,57.33,56.70,57.06,3026700,54.60
2011-07-19,56.83,57.24,56.70,57.03,3555600,54.57
2011-07-18,57.52,57.54,56.37,56.52,4288400,54.08
2011-07-15,58.14,58.31,57.60,57.90,2949400,55.40
2011-07-14,58.69,58.83,57.67,57.73,3301400,55.24
2011-07-13,58.49,59.05,58.30,58.47,2944600,55.95
2011-07-12,58.35,59.02,58.26,58.33,3012200,55.81
2011-07-11,58.29,58.75,58.11,58.25,3544600,55.74
2011-07-08,58.63,58.73,58.08,58.66,2982600,56.13
2011-07-07,59.01,59.36,58.57,58.90,2883400,56.36
2011-07-06,58.56,59.02,58.22,58.61,2750700,56.08
2011-07-05,59.08,59.50,58.46,58.53,3012000,56.00
2011-07-01,58.51,59.27,58.45,59.11,3635000,56.56
2011-06-30,58.64,58.67,58.26,58.38,3600900,55.86
2011-06-29,57.52,58.69,57.44,58.57,3988700,56.04
2011-06-28,57.29,57.65,57.13,57.55,2763000,55.07
2011-06-27,56.83,57.55,56.67,57.22,3293400,54.75
