Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,63.27,64.29,63.11,63.57,1373300,61.89
2011-12-29,62.52,63.20,62.52,63.06,1047700,61.39
2011-12-28,63.73,63.78,61.88,62.23,1392800,60.58
2011-12-27,63.67,64.56,63.65,63.78,1024900,62.09
2011-12-23,63.39,63.95,62.90,63.85,1407400,62.16
2011-12-22,63.21,63.36,62.75,63.00,1618700,61.33
2011-12-21,62.44,63.28,62.23,63.06,2201100,61.39
2011-12-20,61.90,62.56,61.51,62.40,2229400,60.75
2011-12-19,62.21,62.25,60.70,60.91,1427500,59.30
2011-12-16,62.72,62.72,61.23,62.21,3194100,60.56
2011-12-15,62.62,62.74,62.16,62.24,1681900,60.59
2011-12-14,62.13,62.47,61.69,62.04,1485700,60.40
2011-12-13,63.03,63.58,62.17,62.29,2172800,60.64
2011-12-12,62.03,62.71,61.63,62.60,1885900,60.94
2011-12-09,61.35,62.96,61.35,62.47,1548900,60.82
2011-12-08,62.30,62.49,60.87,61.00,1277100,59.39
2011-12-07,62.58,62.88,61.73,62.57,1733200,60.91
2011-12-06,63.06,63.72,62.49,62.68,1929900,61.02
2011-12-05,64.80,65.40,62.23,62.71,3373200,61.05
2011-12-02,61.33,64.06,61.33,63.80,4118800,62.11
2011-12-01,60.18,61.26,60.18,60.92,2185100,59.31
2011-11-30,58.99,60.54,58.80,60.48,3283900,58.88
2011-11-29,57.35,58.12,57.15,57.81,3835000,56.28
2011-11-28,58.24,58.66,57.25,57.41,2661400,55.89
2011-11-25,57.81,58.08,57.40,57.64,834900,55.65
2011-11-23,58.79,59.11,57.67,57.67,2226000,55.68
2011-11-22,59.76,59.91,58.83,59.20,2774700,57.15
2011-11-21,59.52,60.47,59.38,59.77,2097700,57.70
2011-11-18,60.69,60.82,59.86,60.43,2426800,58.34
2011-11-17,60.60,61.42,60.33,60.57,2314200,58.48
2011-11-16,60.81,61.55,60.40,60.56,2563500,58.47
2011-11-15,60.44,61.99,60.36,61.58,4804600,59.45
2011-11-14,60.99,61.09,60.58,60.62,2282200,58.52
2011-11-11,60.66,61.50,60.20,61.03,2813200,58.92
2011-11-10,60.64,60.98,59.55,60.13,3480900,58.05
2011-11-09,61.43,61.50,59.77,60.09,3205200,58.01
2011-11-08,62.65,62.70,61.00,62.40,3060000,60.24
2011-11-07,60.95,62.38,60.95,62.22,2612600,60.07
2011-11-04,62.44,62.85,60.80,61.29,4934000,59.17
2011-11-03,63.52,63.88,62.44,62.70,3643900,60.53
2011-11-02,65.07,65.19,62.72,62.88,2706900,60.71
2011-11-01,61.95,64.15,61.26,63.63,4908300,61.43
2011-10-31,62.04,64.23,61.59,63.69,4706700,61.49
2011-10-28,65.15,65.17,62.35,62.48,5546700,60.32
2011-10-27,68.99,68.99,62.51,65.17,11155200,62.92
2011-10-26,71.50,72.41,70.21,70.63,3201600,68.19
2011-10-25,71.62,72.01,70.21,70.31,1714900,67.88
2011-10-24,70.93,72.01,70.71,71.84,1858500,69.36
2011-10-21,70.34,71.21,70.19,70.87,2484700,68.42
2011-10-20,69.39,70.40,68.98,69.79,2022100,67.38
