Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,46.80,46.95,46.45,46.71,1792800,22.44
2011-12-29,46.82,47.12,46.56,46.93,1064000,22.55
2011-12-28,46.91,46.93,46.15,46.56,1106200,22.37
2011-12-27,47.01,47.26,46.55,46.85,939700,22.51
2011-12-23,46.53,47.26,46.46,47.10,1227900,22.63
2011-12-22,46.50,46.78,46.10,46.47,2468100,22.33
2011-12-21,46.50,46.57,45.66,46.31,2556700,22.25
2011-12-20,45.26,46.72,45.16,46.50,2923500,22.34
2011-12-19,44.87,45.26,44.37,44.53,3037400,21.40
2011-12-16,45.31,45.73,44.55,44.86,4025300,21.55
2011-12-15,45.43,45.59,44.71,44.90,2568900,21.57
2011-12-14,45.36,45.58,44.69,44.91,3029200,21.58
2011-12-13,46.40,46.89,45.43,45.69,3250100,21.95
2011-12-12,46.58,46.63,45.56,46.10,2629400,22.15
2011-12-09,46.39,47.27,46.19,47.08,2239000,22.62
2011-12-08,46.92,47.15,45.92,46.06,2564500,22.13
2011-12-07,46.95,47.57,46.34,47.26,3193100,22.71
2011-12-06,47.16,47.69,46.97,47.26,3200200,22.71
2011-12-05,48.09,48.11,46.78,47.13,3309100,22.65
2011-12-02,47.88,48.04,47.43,47.48,3848600,22.81
2011-12-01,47.70,48.09,46.97,47.41,2635100,22.78
2011-11-30,47.41,48.02,47.20,47.96,3536500,23.04
2011-11-29,46.41,46.72,45.89,45.98,2221800,22.09
2011-11-28,45.91,46.64,45.79,46.18,3161200,22.19
2011-11-25,44.24,45.04,44.21,44.33,983300,21.30
2011-11-23,45.00,45.07,44.41,44.48,3055400,21.37
2011-11-22,45.92,45.98,44.99,45.44,3405300,21.83
2011-11-21,45.95,46.48,45.72,46.20,4013600,22.20
2011-11-18,46.24,46.85,46.09,46.71,4145900,22.44
2011-11-17,46.65,47.19,45.78,46.27,5684500,22.23
2011-11-16,45.95,48.52,45.52,46.99,8044900,22.58
2011-11-15,45.84,46.29,45.22,45.79,3518900,22.00
2011-11-14,45.78,47.29,45.70,46.06,5191300,22.13
2011-11-11,45.32,46.27,45.07,46.12,2921600,22.16
2011-11-10,45.40,45.49,44.05,44.59,2965500,21.43
2011-11-09,45.70,45.94,44.54,44.74,2913500,21.50
2011-11-08,46.72,47.06,45.91,46.94,4108700,22.55
2011-11-07,45.20,46.50,45.20,46.47,3990600,22.33
2011-11-04,44.97,45.45,44.36,45.35,1887000,21.79
2011-11-03,45.40,45.95,45.03,45.46,3371700,21.84
2011-11-02,45.52,45.68,44.59,44.97,2181600,21.61
2011-11-01,43.96,45.36,43.76,44.29,3541600,21.28
2011-10-31,46.10,46.47,45.50,45.55,2580000,21.89
2011-10-28,46.07,47.15,46.07,47.05,2604000,22.61
2011-10-27,46.01,46.85,45.68,46.47,3870200,22.33
2011-10-26,45.36,45.83,44.21,44.69,4295200,21.47
2011-10-25,45.00,45.52,44.47,45.13,4107600,21.56
2011-10-24,44.71,45.72,44.58,45.38,2139600,21.68
2011-10-21,44.30,44.77,44.00,44.74,2838900,21.38
2011-10-20,43.77,44.25,43.13,43.78,2362200,20.92
2011-10-19,44.45,44.60,43.39,43.56,2937100,20.81
2011-10-18,43.36,45.25,43.19,44.72,2911000,21.37
2011-10-17,44.19,44.34,43.36,43.43,2445200,20.75
2011-10-14,44.40,44.68,43.67,44.57,2673900,21.30
2011-10-13,44.01,44.19,43.48,44.04,2572500,21.04
2011-10-12,43.71,44.96,43.69,44.32,3861700,21.18
2011-10-11,42.89,43.96,42.89,43.87,2343500,20.96
2011-10-10,43.13,43.53,42.79,43.28,3176900,20.68
2011-10-07,42.39,42.93,41.69,42.38,3847000,20.25
2011-10-06,40.70,42.07,40.69,42.03,2823900,20.08
2011-10-05,40.56,41.35,40.09,41.07,3785600,19.62
2011-10-04,38.62,40.39,38.30,40.37,6300000,19.29
2011-10-03,40.38,41.01,39.23,39.25,5471600,18.75
2011-09-30,41.37,42.20,40.68,40.75,5391400,19.47
2011-09-29,42.02,42.23,41.19,42.23,4631000,20.18
2011-09-28,42.79,43.08,41.22,41.40,5793100,19.78
2011-09-27,43.88,44.00,42.24,42.57,5499900,20.34
2011-09-26,43.30,43.59,42.53,42.96,4713800,20.53
2011-09-23,42.67,43.68,42.56,42.98,5976900,20.54
2011-09-22,43.21,43.29,42.03,42.99,10613200,20.54
2011-09-21,44.91,45.45,43.91,43.96,6989300,21.01
2011-09-20,45.01,45.50,44.77,45.05,9763900,21.53
2011-09-19,45.71,46.18,44.17,44.75,25456300,21.38
2011-09-16,42.62,45.85,42.17,43.70,18299400,20.88
2011-09-15,41.86,42.52,41.68,42.38,3281200,20.25
2011-09-14,41.47,41.85,40.84,41.34,3849700,19.75
2011-09-13,40.49,41.48,40.14,41.27,4041600,19.72
2011-09-12,39.02,40.31,38.88,40.28,5130400,19.25
