Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,30.10,30.30,30.08,30.24,15687800,28.69
2011-12-29,30.05,30.19,29.95,30.17,17747500,28.63
2011-12-28,30.05,30.16,29.91,29.95,16707700,28.42
2011-12-27,29.92,30.16,29.84,30.04,16462300,28.50
2011-12-23,29.72,29.98,29.72,29.87,18131500,28.34
2011-12-22,29.44,29.82,29.30,29.66,30343000,28.14
2011-12-21,29.15,29.30,29.03,29.30,27610300,27.80
2011-12-20,28.84,29.16,28.77,29.12,33607200,27.63
2011-12-19,28.98,29.06,28.65,28.74,19015400,27.27
2011-12-16,28.55,28.85,28.51,28.85,44929300,27.37
2011-12-15,28.99,29.02,28.71,28.79,25849000,27.32
2011-12-14,29.01,29.19,28.78,28.81,22676100,27.34
2011-12-13,29.06,29.25,28.95,29.04,21906400,27.55
2011-12-12,29.02,29.08,28.92,29.01,25795900,27.53
2011-12-09,29.08,29.10,28.80,29.03,24357500,27.54
2011-12-08,29.23,29.24,28.81,28.86,22568200,27.38
2011-12-07,29.14,29.40,28.98,29.40,40802000,27.90
2011-12-06,29.18,29.32,29.06,29.17,17020700,27.68
2011-12-05,29.17,29.30,28.99,29.15,21862000,27.66
2011-12-02,28.99,29.12,28.87,28.96,22165000,27.48
2011-12-01,28.93,28.95,28.67,28.84,21840400,27.36
2011-11-30,28.57,28.98,28.56,28.98,33436200,27.50
2011-11-29,28.01,28.28,27.98,28.06,18171800,26.62
2011-11-28,27.92,28.11,27.76,27.95,24221400,26.52
2011-11-25,27.50,27.72,27.41,27.41,12036800,26.01
2011-11-23,27.98,28.01,27.52,27.55,30225400,26.14
2011-11-22,28.38,28.43,28.00,28.08,37397500,26.64
2011-11-21,28.39,28.49,28.15,28.36,22281800,26.91
2011-11-18,28.68,28.75,28.44,28.64,22080200,27.17
2011-11-17,28.81,28.85,28.43,28.61,27499300,27.15
2011-11-16,29.12,29.22,28.70,28.78,26548100,27.31
2011-11-15,29.21,29.37,29.02,29.25,28673900,27.75
2011-11-14,29.26,29.32,29.05,29.19,21931900,27.70
2011-11-11,29.40,29.55,29.32,29.42,15112200,27.91
2011-11-10,29.07,29.34,28.95,29.16,19872100,27.67
2011-11-09,29.13,29.25,28.80,28.91,27174200,27.43
2011-11-08,29.31,29.50,29.15,29.46,20837700,27.95
2011-11-07,29.20,29.45,29.05,29.44,15008500,27.93
2011-11-04,29.14,29.24,28.95,29.16,18416300,27.67
2011-11-03,29.30,29.49,29.08,29.44,20786000,27.93
2011-11-02,29.16,29.31,28.93,29.08,21760000,27.59
2011-11-01,29.03,29.11,28.62,28.70,31540300,27.23
2011-10-31,29.46,29.65,29.30,29.31,26336500,27.81
2011-10-28,29.48,29.80,29.31,29.74,24332100,28.22
2011-10-27,29.20,29.67,29.05,29.47,37745400,27.96
2011-10-26,28.70,28.78,28.46,28.75,27994700,27.28
2011-10-25,28.73,28.85,28.32,28.41,33709500,26.96
2011-10-24,29.11,29.14,28.77,28.88,24207400,27.40
2011-10-21,29.25,29.37,28.98,29.13,30226900,27.64
2011-10-20,28.79,29.05,28.63,28.99,31382600,27.51
2011-10-19,29.27,29.35,28.94,29.09,19726300,27.60
2011-10-18,29.05,29.35,28.77,29.21,19931100,27.72
2011-10-17,29.19,29.38,28.93,29.02,18489200,27.53
2011-10-14,29.37,29.43,28.97,29.17,23799900,27.68
2011-10-13,28.83,29.12,28.70,29.10,20037500,27.61
2011-10-12,28.91,29.23,28.63,28.99,25899600,27.51
2011-10-11,28.88,29.00,28.71,28.77,22122500,27.30
2011-10-10,28.84,29.17,28.78,29.17,20839400,27.68
2011-10-07,28.68,28.73,28.31,28.44,22387500,26.98
2011-10-06,28.26,28.43,27.94,28.41,22165400,26.96
2011-10-05,28.00,28.34,27.90,28.31,32228000,26.86
2011-10-04,28.05,28.38,27.55,28.31,43300000,26.45
2011-10-03,28.64,28.85,28.16,28.16,32147600,26.31
2011-09-30,28.73,29.00,28.50,28.52,27759500,26.65
2011-09-29,28.94,28.96,28.47,28.84,34176700,26.95
2011-09-28,28.79,29.09,28.51,28.55,21645600,26.68
2011-09-27,28.77,29.00,28.53,28.67,29434700,26.79
2011-09-26,28.06,28.42,28.00,28.34,70599100,26.48
2011-09-23,27.77,27.95,27.51,27.85,103805100,26.02
2011-09-22,27.92,28.07,27.46,27.75,125998700,25.93
2011-09-21,28.92,28.99,28.27,28.30,25849500,26.44
2011-09-20,28.77,29.18,28.67,28.85,20646600,26.96
2011-09-19,28.54,28.67,28.31,28.58,21648500,26.71
2011-09-16,28.82,28.94,28.54,28.94,34262000,27.04
2011-09-15,28.22,28.65,28.19,28.54,21805400,26.67
2011-09-14,28.18,28.50,27.72,28.26,23103300,26.41
2011-09-13,27.87,28.24,27.74,28.12,24052900,26.28
2011-09-12,27.30,27.92,27.29,27.88,25551800,26.05
2011-09-09,27.80,27.86,27.47,27.54,35973100,25.73
2011-09-08,27.97,28.13,27.90,27.96,21920400,26.13
2011-09-07,28.07,28.13,27.83,28.13,24534400,26.28
2011-09-06,27.94,27.99,27.52,27.83,33491100,26.00
2011-09-02,28.06,28.37,28.02,28.05,26457800,26.21
2011-09-01,28.59,28.70,28.25,28.27,37669400,26.42
2011-08-31,29.86,29.90,28.00,28.48,113009600,26.61
2011-08-30,29.31,29.80,29.24,29.62,22641800,27.68
