Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,51.06,51.18,50.68,50.68,2205400,49.94
2011-12-29,50.93,51.57,50.89,51.18,3774000,50.44
2011-12-28,51.35,51.50,50.66,50.71,2959600,49.97
2011-12-27,51.35,51.71,51.09,51.35,2999300,50.60
2011-12-23,50.95,51.50,50.69,51.35,3898000,50.60
2011-12-22,49.89,50.93,49.85,50.73,4627100,49.99
2011-12-21,49.83,50.00,49.55,49.99,6695000,49.26
2011-12-20,49.42,49.94,49.36,49.82,6053300,49.10
2011-12-19,48.92,49.56,48.84,48.97,5877400,48.26
2011-12-16,49.02,49.50,48.71,49.00,10214200,48.29
2011-12-15,47.88,48.80,47.88,48.52,9354200,47.81
2011-12-14,47.86,48.30,47.63,47.76,7513500,47.07
2011-12-13,48.44,49.30,47.70,47.93,5267700,47.23
2011-12-12,48.71,49.00,47.94,48.20,4947700,47.50
2011-12-09,48.21,49.08,48.12,48.91,5713500,48.20
2011-12-08,49.23,49.55,47.98,48.16,8641800,47.46
2011-12-07,47.99,49.70,47.82,49.34,10200500,48.62
2011-12-06,48.36,48.68,48.08,48.29,8306100,47.59
2011-12-05,48.84,49.50,47.91,48.27,8135400,47.57
2011-12-02,48.49,49.00,48.03,48.23,7639100,47.37
2011-12-01,48.59,49.06,48.40,48.52,7021500,47.65
2011-11-30,47.36,48.88,46.99,48.77,11702500,47.90
2011-11-29,45.31,46.19,45.09,45.88,6457300,45.06
2011-11-28,44.46,45.49,44.39,45.03,8826400,44.23
2011-11-25,43.55,44.23,43.47,43.67,2985100,42.89
2011-11-23,43.96,44.10,43.42,43.56,5515800,42.78
2011-11-22,44.33,44.99,43.98,44.42,4758800,43.63
2011-11-21,43.74,44.75,43.74,44.44,6656300,43.65
2011-11-18,44.61,44.74,44.14,44.55,5972300,43.75
2011-11-17,44.99,45.27,44.05,44.52,8147900,43.72
2011-11-16,45.99,46.29,44.84,44.91,8053800,44.11
2011-11-15,46.80,46.97,46.15,46.55,4911600,45.72
2011-11-14,46.93,47.31,46.66,46.94,4734200,46.10
2011-11-11,46.62,47.51,46.49,47.13,5104500,46.29
2011-11-10,46.06,46.30,45.44,46.13,5479700,45.31
2011-11-09,45.22,46.10,45.13,45.54,6423200,44.73
2011-11-08,45.29,46.27,45.08,46.15,7086400,45.33
2011-11-07,45.45,45.74,44.80,45.17,7919000,44.36
2011-11-04,46.07,46.10,45.08,45.58,8010400,44.77
2011-11-03,46.80,46.88,45.80,46.18,6721300,45.36
2011-11-02,47.00,47.00,46.07,46.36,7858100,45.53
2011-11-01,46.81,47.10,45.95,46.22,11125900,45.39
2011-10-31,48.38,48.95,47.96,47.99,6164900,47.13
2011-10-28,49.17,49.35,48.19,48.85,6377300,47.98
2011-10-27,49.92,50.00,48.81,49.18,10025800,48.30
2011-10-26,49.43,49.48,48.13,48.76,10387600,47.89
2011-10-25,47.67,49.30,47.67,48.76,7477100,47.89
2011-10-24,48.21,49.24,48.00,49.03,7146200,48.15
2011-10-21,47.43,48.50,47.31,47.92,9218800,47.06
2011-10-20,46.68,46.99,45.94,46.88,7985300,46.04
2011-10-19,45.40,47.42,45.21,46.45,12250600,45.62
2011-10-18,44.24,45.90,42.86,45.34,23926900,44.53
2011-10-17,46.87,47.61,46.46,46.60,5944600,45.77
2011-10-14,47.22,47.35,46.53,47.22,6074100,46.38
2011-10-13,46.02,46.62,45.67,46.53,5034600,45.70
2011-10-12,47.21,47.65,46.37,46.38,7267400,45.55
2011-10-11,46.38,46.82,45.89,46.64,4639600,45.81
2011-10-10,45.52,46.52,45.51,46.52,4752100,45.69
2011-10-07,45.00,45.45,44.45,44.89,5962900,44.09
2011-10-06,44.62,45.15,43.98,44.94,5804800,44.14
2011-10-05,43.54,44.68,42.84,44.45,8455800,43.66
2011-10-04,42.11,42.84,41.32,42.78,13800000,42.02
2011-10-03,45.77,46.22,42.87,42.92,12717100,42.15
2011-09-30,46.08,47.23,45.61,46.12,10485400,45.30
2011-09-29,48.35,48.74,45.79,46.58,9154500,45.75
2011-09-28,49.27,49.52,47.56,47.64,7338900,46.79
