Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,21.15,21.26,21.07,21.07,1140100,20.60
2011-12-29,20.96,21.34,20.96,21.20,1104800,20.73
2011-12-28,21.22,21.26,20.94,20.96,1359800,20.50
2011-12-27,21.22,21.45,21.21,21.21,880400,20.74
2011-12-23,21.24,21.34,21.12,21.30,1357400,20.83
2011-12-22,20.89,21.15,20.78,21.10,2699500,20.63
2011-12-21,20.41,20.92,20.40,20.87,4281400,20.41
2011-12-20,20.19,20.51,20.19,20.41,2857700,19.96
2011-12-19,20.63,20.73,19.88,19.91,2147000,19.47
2011-12-16,20.64,20.78,20.44,20.58,4723900,20.12
2011-12-15,20.64,20.72,20.47,20.48,3685100,20.03
2011-12-14,20.39,20.59,20.24,20.26,4818200,19.81
2011-12-13,21.15,21.31,20.34,20.51,4775500,20.06
2011-12-12,21.13,21.20,20.82,20.96,3269400,20.50
2011-12-09,21.55,21.70,21.39,21.47,3344500,21.00
2011-12-08,22.10,22.11,21.31,21.37,2904100,20.90
2011-12-07,21.91,22.43,21.73,22.33,2613400,21.84
2011-12-06,22.28,22.29,21.95,22.07,4237300,21.58
2011-12-05,22.48,22.61,22.10,22.32,2938200,21.83
2011-12-02,22.34,22.61,22.02,22.06,3354300,21.57
2011-12-01,22.01,22.39,21.93,22.19,2118800,21.70
2011-11-30,22.36,22.63,22.12,22.51,3848800,22.01
2011-11-29,21.38,21.60,21.22,21.35,1931600,20.88
2011-11-28,21.37,21.55,21.11,21.36,3022600,20.89
2011-11-25,20.66,21.04,20.64,20.70,918900,20.24
2011-11-23,21.08,21.26,20.73,20.73,2518100,20.27
2011-11-22,21.21,21.66,21.14,21.37,2748800,20.90
2011-11-21,21.33,21.50,21.08,21.30,2695600,20.83
2011-11-18,21.70,21.88,21.41,21.72,3028700,21.24
2011-11-17,21.87,22.08,21.34,21.49,3658500,21.01
2011-11-16,22.04,22.38,21.85,21.88,3334800,21.40
2011-11-15,21.92,22.55,21.85,22.39,3305600,21.89
2011-11-14,22.22,22.32,22.00,22.09,2394100,21.60
2011-11-11,22.14,22.61,22.14,22.34,2614600,21.85
2011-11-10,21.93,22.06,21.62,21.80,2712800,21.32
2011-11-09,21.83,22.06,21.59,21.66,4340900,21.18
2011-11-08,22.12,22.55,21.93,22.46,3475400,21.96
2011-11-07,21.69,22.03,21.54,22.01,2172000,21.52
2011-11-04,21.76,21.94,21.52,21.86,3634700,21.38
2011-11-03,22.33,22.36,21.56,21.94,5316500,21.45
2011-11-02,22.12,22.28,21.49,22.08,7618300,21.59
2011-11-01,22.68,23.71,22.60,22.82,5668500,22.32
2011-10-31,23.78,24.33,23.62,23.84,4138500,23.31
2011-10-28,24.58,24.64,24.13,24.24,4636900,23.70
2011-10-27,24.94,25.00,24.42,24.74,6272000,24.19
2011-10-26,23.98,24.32,23.50,24.09,5819800,23.45
2011-10-25,24.15,24.17,23.48,23.58,4598400,22.96
2011-10-24,24.42,24.72,24.31,24.45,3787300,23.80
2011-10-21,24.15,24.51,23.71,24.35,4109300,23.71
2011-10-20,23.33,23.92,23.10,23.84,2992600,23.21
2011-10-19,24.01,24.17,23.18,23.24,3052500,22.63
2011-10-18,23.15,24.18,22.70,24.02,3333700,23.39
2011-10-17,23.65,23.67,22.88,22.96,3066800,22.35
2011-10-14,23.65,23.96,23.38,23.90,2178000,23.27
2011-10-13,23.57,23.63,22.87,23.24,3257800,22.63
2011-10-12,23.12,23.89,23.12,23.56,3489800,22.94
2011-10-11,22.64,23.20,22.52,22.89,2247700,22.29
2011-10-10,22.54,22.90,22.46,22.81,3931900,22.21
2011-10-07,22.56,22.60,21.94,22.00,4668300,21.42
2011-10-06,21.60,22.47,21.38,22.39,3241100,21.80
2011-10-05,20.95,21.79,20.65,21.67,3056400,21.10
2011-10-04,19.73,20.99,19.72,20.94,5300000,20.39
2011-10-03,20.71,21.22,20.01,20.01,4181900,19.48
2011-09-30,21.25,21.52,20.96,20.96,3601700,20.41
2011-09-29,21.34,21.58,20.89,21.57,3616600,21.00
2011-09-28,21.64,21.68,20.80,20.84,2836900,20.29
2011-09-27,22.07,22.17,21.44,21.62,2909500,21.05
2011-09-26,21.09,21.52,20.66,21.50,3172700,20.93
2011-09-23,20.62,21.01,20.54,20.75,2791900,20.20
2011-09-22,20.35,20.94,20.24,20.79,5338000,20.24
2011-09-21,22.09,22.27,20.97,21.00,3101200,20.45
2011-09-20,22.59,22.72,22.10,22.11,3049000,21.53
2011-09-19,22.59,22.65,22.11,22.42,2752200,21.83
2011-09-16,23.21,23.47,22.82,23.16,3180200,22.55
2011-09-15,22.74,23.12,22.46,23.12,4309500,22.51
2011-09-14,22.72,22.81,21.92,22.42,4711500,21.83
2011-09-13,22.47,22.78,22.21,22.49,2470600,21.90
2011-09-12,21.71,22.35,21.65,22.31,2911200,21.72
2011-09-09,22.20,22.52,21.82,22.07,3881400,21.49
2011-09-08,22.76,23.02,22.46,22.56,2002300,21.96
2011-09-07,22.53,22.94,22.44,22.92,2348500,22.32
2011-09-06,21.59,22.12,21.56,22.08,2801300,21.50
2011-09-02,22.59,22.96,22.40,22.40,2579400,21.81
2011-09-01,23.57,23.74,23.19,23.20,3713200,22.59
2011-08-31,23.63,23.88,23.31,23.54,3414400,22.92
2011-08-30,23.41,23.62,22.93,23.45,4144800,22.83
2011-08-29,23.15,23.60,23.11,23.59,4854200,22.97
2011-08-26,22.37,23.10,22.08,22.75,3867700,22.15
2011-08-25,23.44,23.65,22.27,22.60,4020000,22.00
2011-08-24,22.74,23.26,22.61,23.23,3720700,22.62
