Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,27.63,27.79,27.43,27.56,1138800,27.56
2011-12-29,27.30,27.65,27.04,27.49,1226700,27.49
2011-12-28,27.66,27.75,27.05,27.22,1225600,27.22
2011-12-27,27.39,27.73,27.29,27.68,1226000,27.68
2011-12-23,27.12,27.56,27.12,27.55,1131500,27.55
2011-12-22,27.10,27.39,26.90,27.20,2042900,27.20
2011-12-21,27.06,27.24,26.75,27.06,1508600,27.06
2011-12-20,26.66,27.14,26.51,27.08,2186800,27.08
2011-12-19,26.68,26.96,26.10,26.14,2168600,26.14
2011-12-16,27.03,27.28,26.51,26.58,7324800,26.58
2011-12-15,27.29,27.43,26.72,26.86,2455900,26.86
2011-12-14,27.78,27.81,27.09,27.11,4019400,27.11
2011-12-13,29.06,29.54,27.65,27.87,12443100,27.87
2011-12-12,26.19,26.53,25.66,26.46,3588100,26.46
2011-12-09,26.07,26.60,25.94,26.34,2012800,26.34
2011-12-08,26.74,26.79,25.79,26.03,3582600,26.03
2011-12-07,27.18,27.34,26.66,26.91,2544800,26.91
2011-12-06,27.61,27.74,27.05,27.16,2541800,27.16
2011-12-05,27.56,27.72,27.18,27.70,3303200,27.70
2011-12-02,27.66,27.76,27.08,27.09,2225400,27.09
2011-12-01,27.04,27.70,26.87,27.40,2388400,27.40
2011-11-30,26.76,27.06,26.73,26.98,3435900,26.98
2011-11-29,26.00,26.34,25.87,26.10,2077600,26.10
2011-11-28,25.85,26.60,25.75,26.04,2120900,26.04
2011-11-25,25.13,25.50,25.04,25.19,1697700,25.19
2011-11-23,25.42,25.58,25.02,25.26,3178800,25.26
2011-11-22,25.94,26.26,25.48,25.68,2103000,25.68
2011-11-21,25.51,26.23,25.38,26.12,3452500,26.12
2011-11-18,26.18,26.38,25.79,25.96,2937100,25.96
2011-11-17,26.70,26.83,25.85,26.18,3695000,26.18
2011-11-16,26.56,27.26,26.55,26.70,4169900,26.70
2011-11-15,25.82,27.37,25.62,26.85,10143200,26.85
2011-11-14,26.67,26.99,26.38,26.83,3963100,26.83
2011-11-11,26.34,26.91,26.20,26.82,2588600,26.82
2011-11-10,26.30,26.76,26.00,26.17,3026900,26.17
2011-11-09,25.86,26.43,25.40,26.05,4156700,26.05
2011-11-08,26.88,27.56,25.54,26.34,9047400,26.34
2011-11-07,26.75,27.28,26.59,27.21,2503700,27.21
2011-11-04,26.55,26.96,26.00,26.72,1798000,26.72
2011-11-03,26.77,26.90,25.73,26.76,4613200,26.76
2011-11-02,26.96,27.28,26.16,26.62,3377200,26.62
2011-11-01,26.67,27.17,26.20,26.54,4057800,26.54
2011-10-31,28.05,28.05,27.22,27.25,2962900,27.25
2011-10-28,27.75,28.20,27.20,28.10,3598000,28.10
2011-10-27,28.33,29.73,27.74,27.89,5061800,27.89
2011-10-26,26.39,26.50,25.54,26.23,3017300,26.23
2011-10-25,26.04,26.59,26.02,26.19,2969500,26.19
2011-10-24,25.19,26.78,25.19,26.37,3744200,26.37
2011-10-21,23.98,25.16,23.83,25.07,4219400,25.07
2011-10-20,23.42,23.79,23.12,23.67,1863900,23.67
2011-10-19,23.57,23.72,23.25,23.48,1829600,23.48
2011-10-18,23.22,23.70,22.27,23.59,3067900,23.59
2011-10-17,23.75,23.99,22.95,23.12,1915000,23.12
2011-10-14,24.15,24.26,23.49,23.84,2285900,23.84
2011-10-13,24.11,24.23,23.58,23.89,1655400,23.89
2011-10-12,23.85,24.89,23.60,24.15,3626300,24.15
2011-10-11,23.60,23.69,23.34,23.54,1973600,23.54
2011-10-10,23.63,24.01,23.30,23.66,2224800,23.66
2011-10-07,24.15,24.31,23.22,23.29,3489200,23.29
2011-10-06,23.47,24.13,23.30,24.06,3323700,24.06
2011-10-05,22.53,24.03,22.17,23.49,4317000,23.49
2011-10-04,21.72,22.70,21.47,22.49,4475100,22.49
2011-10-03,22.20,22.62,21.89,21.90,6719300,21.90
2011-09-30,23.18,23.21,22.31,22.31,4535900,22.31
2011-09-29,23.47,23.87,22.69,23.31,5480500,23.31
2011-09-28,24.02,24.18,23.06,23.11,3243900,23.11
2011-09-27,24.68,24.68,23.69,23.84,3090300,23.84
2011-09-26,23.54,24.25,23.28,24.20,3496900,24.20
2011-09-23,22.67,23.50,22.61,23.41,5855300,23.41
2011-09-22,22.85,23.30,22.52,22.87,8458600,22.87
2011-09-21,24.56,24.63,23.78,23.79,3854700,23.79
2011-09-20,24.82,24.93,24.32,24.34,2550900,24.34
2011-09-19,24.46,24.84,24.20,24.58,3348700,24.58
2011-09-16,25.39,25.60,24.30,24.83,6103200,24.83
2011-09-15,25.56,25.56,25.00,25.35,3429800,25.35
2011-09-14,24.72,25.62,24.52,25.13,4378400,25.13
2011-09-13,24.79,25.20,24.38,24.66,4334600,24.66
2011-09-12,24.24,25.02,24.19,24.85,3821700,24.85
2011-09-09,24.76,24.97,24.40,24.56,4862400,24.56
2011-09-08,24.98,25.64,24.81,24.96,4719700,24.96
2011-09-07,23.98,25.37,23.50,25.26,13004900,25.26
2011-09-06,25.22,26.02,25.12,25.78,4950500,25.78
2011-09-02,25.50,26.21,25.29,25.96,4847000,25.96
2011-09-01,26.23,26.52,25.67,26.00,4973300,26.00
2011-08-31,25.88,26.61,25.81,26.18,4629000,26.18
2011-08-30,25.24,26.05,25.04,25.73,3549900,25.73
2011-08-29,24.98,25.60,24.92,25.46,2543500,25.46
2011-08-26,24.24,25.00,24.02,24.77,4547400,24.77
2011-08-25,25.78,25.78,23.89,24.21,9604900,24.21
2011-08-24,26.45,26.45,25.36,25.64,8174400,25.64
2011-08-23,27.00,27.27,26.19,26.41,7422400,26.41
2011-08-22,26.49,27.26,26.49,27.03,4997100,27.03
2011-08-19,25.70,26.88,25.63,25.95,4334700,25.95
2011-08-18,26.12,26.71,25.27,26.02,5907200,26.02
2011-08-17,27.83,28.04,26.34,27.00,6044700,27.00
2011-08-16,26.18,28.05,25.74,27.84,14399500,27.84
2011-08-15,29.76,30.21,29.12,29.69,4588300,29.69
2011-08-12,28.46,30.39,28.15,29.68,4374900,29.68
2011-08-11,27.35,28.71,27.35,28.24,3455500,28.24
2011-08-10,27.65,28.28,26.79,27.38,4328100,27.38
2011-08-09,27.49,28.37,26.47,28.37,5015300,28.37
2011-08-08,28.58,28.96,26.46,27.41,6104100,27.41
2011-08-05,29.68,29.99,28.21,29.39,5049700,29.39
2011-08-04,30.87,31.05,29.20,29.20,5370100,29.20
2011-08-03,30.78,31.63,30.18,31.32,3376400,31.32
2011-08-02,31.90,32.00,30.58,30.76,4021100,30.76
2011-08-01,32.79,32.90,31.66,32.21,2326100,32.21
2011-07-29,32.34,32.97,31.95,32.54,2361600,32.54
2011-07-28,32.33,33.03,32.11,32.58,2275700,32.58
2011-07-27,33.27,33.90,32.09,32.16,3699500,32.16
2011-07-26,32.38,33.59,32.37,33.59,3765600,33.59
2011-07-25,32.26,32.77,32.20,32.49,1746800,32.49
2011-07-22,32.19,32.77,31.60,32.56,2481200,32.56
2011-07-21,31.60,32.62,31.60,32.17,2579200,32.17
2011-07-20,31.60,32.01,31.20,31.50,1649700,31.50
2011-07-19,31.31,31.83,31.23,31.59,1445500,31.59
2011-07-18,31.42,31.68,30.89,31.02,2242000,31.02
2011-07-15,31.37,31.60,31.03,31.41,2744000,31.41
2011-07-14,31.85,31.93,30.96,31.30,3030700,31.30
2011-07-13,31.86,32.46,31.74,31.85,1768400,31.85
2011-07-12,31.50,31.93,31.35,31.70,2649900,31.70
2011-07-11,31.70,32.10,31.14,31.30,2620100,31.30
