Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,27.34,27.37,27.00,27.05,5024800,26.40
2011-12-29,26.97,27.36,26.95,27.30,6201700,26.65
2011-12-28,27.28,27.35,26.84,26.88,6705400,26.24
2011-12-27,27.49,27.58,27.31,27.31,4101400,26.53
2011-12-23,27.50,27.54,27.20,27.49,5190600,26.71
2011-12-22,26.92,27.45,26.90,27.34,13053800,26.56
2011-12-21,26.53,26.87,26.08,26.81,13006100,26.05
2011-12-20,25.91,26.72,25.88,26.50,14966800,25.75
2011-12-19,26.09,26.18,25.43,25.56,10038300,24.83
2011-12-16,26.07,26.43,25.91,26.00,15139400,25.26
2011-12-15,26.14,26.29,25.77,25.80,9709200,25.07
2011-12-14,25.53,26.18,25.46,25.78,12475100,25.05
2011-12-13,26.12,26.35,25.50,25.74,12324900,25.01
2011-12-12,25.99,26.10,25.65,26.04,14533000,25.30
2011-12-09,25.90,26.37,25.74,26.29,10268200,25.54
2011-12-08,26.34,26.40,25.56,25.65,11920600,24.92
2011-12-07,25.95,26.50,25.78,26.41,12314700,25.66
2011-12-06,25.94,26.42,25.79,26.21,11501200,25.47
2011-12-05,26.03,26.30,25.74,25.94,14883500,25.20
2011-12-02,25.95,26.15,25.61,25.72,15209300,24.99
2011-12-01,25.66,25.79,25.31,25.70,9248500,24.97
2011-11-30,25.44,25.97,25.03,25.92,18726500,25.18
2011-11-29,24.73,24.99,24.55,24.61,9198300,23.91
2011-11-28,24.82,24.87,24.45,24.72,11499700,24.02
2011-11-25,23.75,24.44,23.72,24.03,5089700,23.35
2011-11-23,24.33,24.36,23.79,23.79,15687700,23.11
2011-11-22,24.63,24.92,24.53,24.67,9936100,23.97
2011-11-21,24.99,25.12,24.47,24.62,14515400,23.92
2011-11-18,25.26,25.43,24.98,25.38,11446900,24.66
2011-11-17,25.33,25.99,24.96,25.11,14560100,24.40
2011-11-16,25.37,26.13,25.34,25.44,16249200,24.72
2011-11-15,25.33,25.63,25.22,25.52,11679000,24.80
2011-11-14,25.72,25.80,25.27,25.48,8652400,24.76
2011-11-11,25.98,26.16,25.75,25.94,13394200,25.20
2011-11-10,25.52,25.72,25.15,25.64,13612300,24.91
2011-11-09,25.59,25.79,24.99,25.11,16414500,24.40
2011-11-08,26.02,26.37,25.67,26.27,12915100,25.52
2011-11-07,25.60,25.91,25.49,25.89,14742800,25.15
2011-11-04,25.26,25.63,24.90,25.53,16712200,24.81
2011-11-03,25.70,25.83,25.07,25.60,12082600,24.87
2011-11-02,25.20,25.49,24.91,25.31,13514200,24.59
2011-11-01,24.46,25.23,24.20,24.53,17964400,23.83
2011-10-31,25.60,26.23,25.55,25.59,15048200,24.86
2011-10-28,25.98,26.30,25.79,26.03,16032500,25.29
