Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,73.86,73.97,73.08,73.09,2427800,71.22
2011-12-29,72.37,73.87,72.28,73.82,2500100,71.93
2011-12-28,73.98,74.07,72.95,73.13,2546900,71.26
2011-12-27,73.97,74.59,73.78,74.03,2536500,72.14
2011-12-23,73.74,74.24,73.25,74.18,2275200,72.28
2011-12-22,73.72,73.84,72.94,73.51,5789200,71.63
2011-12-21,74.67,74.91,72.86,73.62,6170800,71.74
2011-12-20,73.22,74.66,72.88,74.40,4778000,72.50
2011-12-19,72.61,73.28,71.60,71.75,4295900,69.92
2011-12-16,73.67,74.31,71.86,72.39,11672900,70.54
2011-12-15,73.60,74.03,72.92,73.53,3805100,71.65
2011-12-14,73.76,74.20,72.75,73.17,5176000,71.30
2011-12-13,75.01,75.96,73.75,74.20,5396200,72.30
2011-12-12,75.63,75.76,74.15,74.48,4844700,72.58
2011-12-09,74.69,76.58,74.59,76.31,3949300,74.36
2011-12-08,75.67,76.13,74.09,74.37,4294100,72.47
2011-12-07,75.90,76.63,74.69,76.25,5181800,74.30
2011-12-06,76.97,77.00,76.13,76.31,3550100,74.36
2011-12-05,77.84,78.11,76.04,76.64,4516800,74.68
2011-12-02,77.61,78.32,76.45,76.54,4727700,74.58
2011-12-01,76.20,77.15,76.20,76.58,2736300,74.62
2011-11-30,75.35,76.93,75.34,76.60,5320300,74.64
2011-11-29,73.72,73.89,72.95,72.98,3739900,71.12
2011-11-28,72.61,73.58,72.49,73.14,4026100,71.27
2011-11-25,70.41,72.01,70.41,71.04,1892600,69.22
2011-11-23,71.77,72.43,70.97,70.97,4713600,69.16
2011-11-22,73.84,73.95,72.53,73.05,3818100,71.18
2011-11-21,74.64,74.84,72.84,74.07,4692300,72.18
2011-11-18,76.25,76.42,75.27,76.11,3442300,74.17
2011-11-17,77.26,77.42,74.93,75.69,4923200,73.76
2011-11-16,77.91,78.90,77.34,77.45,5749500,75.47
2011-11-15,78.81,79.80,78.14,79.33,3775500,76.84
2011-11-14,79.18,79.73,78.68,79.05,3149500,76.56
