Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,66.91,67.82,66.65,67.13,863200,67.13
2011-12-29,65.91,66.88,65.54,66.83,427500,66.83
2011-12-28,66.52,66.57,65.49,65.77,492500,65.77
2011-12-27,66.03,66.88,66.01,66.68,344500,66.68
2011-12-23,65.94,66.27,65.66,66.21,327000,66.21
2011-12-22,65.57,66.06,65.25,65.59,614300,65.59
2011-12-21,65.11,65.44,64.63,65.21,674300,65.21
2011-12-20,64.43,65.41,64.18,65.02,706300,65.02
2011-12-19,63.66,63.98,63.04,63.20,729300,63.20
2011-12-16,64.12,64.26,63.03,63.19,1387400,63.19
2011-12-15,63.93,64.01,63.42,63.56,599600,63.56
2011-12-14,63.72,63.86,63.03,63.09,960100,63.09
2011-12-13,65.00,65.29,63.63,64.02,1213700,64.02
2011-12-12,63.90,64.78,63.57,64.75,1239600,64.75
2011-12-09,63.53,64.74,63.31,64.42,716700,64.42
2011-12-08,64.18,64.41,62.94,63.07,1018300,63.07
2011-12-07,64.50,64.89,63.60,64.54,765700,64.54
2011-12-06,64.40,64.76,63.86,64.43,1060300,64.43
2011-12-05,64.17,64.50,63.67,64.18,1067800,64.18
2011-12-02,63.85,64.74,62.47,62.83,1611000,62.83
2011-12-01,61.94,63.68,61.87,63.06,1066800,63.06
2011-11-30,61.17,62.36,61.01,62.23,1430100,62.23
2011-11-29,58.82,59.83,58.62,58.99,978800,58.99
2011-11-28,58.64,59.28,58.12,58.64,1029900,58.64
2011-11-25,56.45,57.50,56.29,56.87,644300,56.87
2011-11-23,57.11,57.25,56.38,56.53,921200,56.53
2011-11-22,57.34,58.28,56.87,57.65,1109200,57.65
2011-11-21,57.17,57.64,56.71,57.29,1038600,57.29
2011-11-18,58.88,58.92,58.00,58.05,643000,58.05
2011-11-17,59.78,59.78,58.27,58.58,1050700,58.58
2011-11-16,59.16,60.77,58.90,59.83,1654700,59.83
2011-11-15,56.76,61.15,56.57,60.60,3035400,60.60
2011-11-14,57.39,57.95,56.80,57.05,637400,57.05
2011-11-11,57.77,58.38,57.74,57.90,412700,57.90
2011-11-10,57.12,57.53,56.41,56.91,772200,56.91
2011-11-09,57.56,57.88,56.15,56.39,1039300,56.39
2011-11-08,58.37,59.11,57.90,59.04,847200,59.04
2011-11-07,58.11,58.27,56.90,58.18,875100,58.18
2011-11-04,56.65,58.72,56.57,57.98,1579000,57.98
2011-11-03,56.97,57.11,56.05,57.11,1441200,57.11
2011-11-02,56.84,56.99,55.99,56.21,1400800,56.21
2011-11-01,56.79,57.17,55.81,55.98,2102900,55.98
2011-10-31,59.58,59.91,58.69,58.72,1572000,58.72
2011-10-28,59.01,62.44,57.87,60.57,2788300,60.57
2011-10-27,59.56,59.91,57.57,59.52,2033800,59.52
2011-10-26,58.21,58.56,56.71,56.84,1855300,56.84
2011-10-25,59.48,59.48,57.43,57.60,1387500,57.60
2011-10-24,57.57,59.72,57.57,59.51,1109000,59.51
2011-10-21,56.65,57.94,56.31,57.68,961000,57.68
2011-10-20,55.94,56.31,55.20,55.88,967800,55.88
2011-10-19,56.20,56.99,55.94,56.00,1244900,56.00
2011-10-18,55.07,56.76,54.43,55.95,1214500,55.95
2011-10-17,56.57,56.57,54.61,54.96,1058900,54.96
2011-10-14,56.76,56.99,56.03,56.55,804400,56.55
