Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,38.93,39.55,38.91,39.35,509300,39.31
2011-12-29,38.99,39.53,38.80,39.14,788800,39.10
2011-12-28,39.38,39.66,38.43,38.63,650300,38.59
2011-12-27,39.50,39.85,39.26,39.59,599700,39.55
2011-12-23,39.12,39.58,39.00,39.57,609500,39.53
2011-12-22,39.01,39.44,38.35,39.22,1085400,39.18
2011-12-21,38.35,39.77,38.28,38.88,1236200,38.84
2011-12-20,38.62,39.15,38.27,38.30,1487800,38.26
2011-12-19,39.04,39.93,37.91,38.13,1627800,38.09
2011-12-16,39.12,40.21,38.59,38.78,2211800,38.74
2011-12-15,38.72,39.59,38.30,38.68,1861900,38.64
2011-12-14,38.40,38.62,37.47,37.97,2537700,37.93
2011-12-13,38.73,39.90,38.43,38.70,5834600,38.66
2011-12-12,33.01,45.00,31.87,38.70,11567800,38.66
2011-12-09,32.60,34.41,32.59,33.55,1120900,33.52
2011-12-08,33.69,34.08,32.39,32.50,1515300,32.47
2011-12-07,33.59,34.70,33.31,34.22,1591400,34.19
2011-12-06,32.81,35.10,32.61,33.90,4092400,33.87
2011-12-05,33.38,34.00,32.57,32.94,1154100,32.91
2011-12-02,32.78,34.11,32.58,32.66,1387800,32.63
2011-12-01,32.28,33.04,32.05,32.28,1585000,32.25
2011-11-30,30.72,32.49,30.14,32.44,2717200,32.41
2011-11-29,29.98,30.95,29.84,30.49,1038100,30.46
2011-11-28,30.43,30.75,29.59,29.87,1172000,29.84
2011-11-25,29.82,30.41,29.35,29.42,488500,29.39
2011-11-23,30.48,30.62,29.91,29.99,1266000,29.96
2011-11-22,31.50,31.98,30.79,30.91,1143400,30.88
2011-11-21,31.32,31.87,30.96,31.44,1791800,31.41
2011-11-18,31.50,32.44,31.24,32.18,1907900,32.14
2011-11-17,31.65,32.75,30.97,31.20,2377900,31.16
2011-11-16,31.76,32.37,31.43,31.55,1474400,31.51
2011-11-15,30.35,32.49,30.35,32.23,2238600,32.19
2011-11-14,30.21,30.93,30.17,30.56,1358900,30.52
2011-11-11,30.26,30.94,30.16,30.51,1124400,30.47
2011-11-10,30.00,30.30,29.25,29.79,1573100,29.75
2011-11-09,30.11,30.30,28.81,29.05,2250300,29.01
2011-11-08,30.65,31.47,30.25,31.35,1266400,31.31
2011-11-07,30.59,31.02,29.59,30.31,1463200,30.27
2011-11-04,30.76,31.17,29.97,30.60,1144200,30.56
2011-11-03,29.71,31.30,29.06,31.19,1889300,31.15
2011-11-02,30.97,31.95,30.48,30.89,1429700,30.85
2011-11-01,29.94,30.98,29.10,30.22,2421300,30.18
2011-10-31,33.10,33.14,31.25,31.29,1507000,31.25
2011-10-28,34.57,34.60,32.80,33.21,1598500,33.17
2011-10-27,33.49,34.91,32.36,34.63,2387200,34.59
2011-10-26,31.47,31.79,30.67,31.55,1637300,31.51
2011-10-25,31.73,32.04,30.76,30.83,1320500,30.79
2011-10-24,30.94,32.11,30.90,32.08,1603200,32.04
2011-10-21,30.55,30.95,30.24,30.87,1306800,30.83
2011-10-20,30.06,30.50,29.58,30.26,1303400,30.22
2011-10-19,30.88,31.20,29.97,30.20,1507000,30.16
2011-10-18,30.21,31.03,29.62,30.86,2118000,30.82
2011-10-17,31.93,32.10,29.89,30.14,2394100,30.10
2011-10-14,31.92,32.24,31.11,32.12,725100,32.08
2011-10-13,31.12,31.56,30.19,31.41,1148600,31.37
2011-10-12,31.24,31.82,30.86,31.46,1255800,31.42
2011-10-11,29.59,31.21,29.44,31.03,2064800,30.99
2011-10-10,28.65,29.96,28.65,29.94,1187500,29.90
2011-10-07,29.41,29.63,27.53,28.04,988900,28.00
2011-10-06,28.35,29.24,27.82,29.07,827200,29.03
2011-10-05,27.31,28.75,27.24,28.41,1571900,28.37
2011-10-04,25.84,27.51,25.06,27.42,2400000,27.38
2011-10-03,27.58,27.58,25.96,26.19,3081700,26.16
2011-09-30,28.47,28.68,27.44,27.56,1673300,27.52
2011-09-29,29.76,29.99,28.13,28.95,2005600,28.91
2011-09-28,30.38,30.44,29.34,29.42,1297000,29.38
2011-09-27,31.04,31.76,29.98,30.20,1712000,30.16
2011-09-26,29.25,29.86,28.45,29.80,1604100,29.76
2011-09-23,28.53,30.22,28.35,28.88,1938600,28.84
2011-09-22,29.04,29.41,28.20,28.66,2670700,28.62
2011-09-21,30.63,31.23,29.92,29.92,2059000,29.88
2011-09-20,31.50,32.11,30.72,30.77,1264100,30.73
2011-09-19,32.50,32.56,30.90,31.36,1405300,31.32
2011-09-16,33.45,34.22,32.70,33.18,1624300,33.14
2011-09-15,33.66,33.88,33.15,33.26,1122000,33.22
2011-09-14,33.30,33.76,32.30,33.20,1875100,33.16
2011-09-13,32.35,33.45,31.95,32.97,1847200,32.93
2011-09-12,31.56,32.49,31.20,32.33,1686800,32.29
2011-09-09,34.22,34.22,31.67,31.81,3392100,31.77
2011-09-08,34.87,35.15,34.28,34.53,1924500,34.49
2011-09-07,35.29,35.88,34.34,35.59,3091800,35.54
2011-09-06,30.68,36.70,30.68,34.88,4405400,34.84
2011-09-02,34.32,34.32,32.39,32.47,1820500,32.43
2011-09-01,35.15,35.83,34.16,34.23,2028200,34.19
2011-08-31,35.46,36.08,34.88,35.03,1790200,34.99
2011-08-30,35.09,35.27,34.00,35.01,2186400,34.97
2011-08-29,35.15,35.98,34.56,35.20,1697000,35.15
2011-08-26,33.50,34.73,33.24,34.49,1534400,34.45
2011-08-25,33.80,34.00,32.84,33.57,1473000,33.53
2011-08-24,31.64,33.73,31.54,33.60,2253800,33.56
2011-08-23,30.12,31.90,29.67,31.90,2001500,31.61
2011-08-22,29.90,30.33,29.30,30.02,2107800,29.75
2011-08-19,29.95,30.35,29.24,29.56,2257800,29.29
2011-08-18,31.56,31.56,29.68,29.97,2899000,29.70
2011-08-17,33.31,33.73,32.26,32.42,2434600,32.12
2011-08-16,31.85,33.43,31.85,33.15,3020900,32.85
2011-08-15,30.95,32.86,30.62,32.83,2381300,32.53
2011-08-12,30.88,31.47,30.00,30.25,2641300,29.97
2011-08-11,30.26,31.19,29.60,30.68,3995800,30.40
2011-08-10,31.54,31.76,29.93,30.18,5283100,29.91
2011-08-09,33.14,33.41,28.89,32.31,8224900,32.02
2011-08-08,32.83,33.65,32.14,32.55,9031300,32.25
2011-08-05,34.19,34.40,33.19,33.75,6151200,33.44
2011-08-04,32.65,34.54,32.47,33.54,6708300,33.23
2011-08-03,31.65,33.11,30.82,33.00,4351400,32.70
2011-08-02,32.86,32.94,31.44,31.44,3885800,31.15
2011-08-01,34.73,34.75,33.14,33.54,1896500,33.23
2011-07-29,33.54,34.51,33.27,34.29,2365600,33.98
2011-07-28,34.50,34.72,33.81,33.83,1525100,33.52
2011-07-27,35.20,35.34,34.36,34.45,1932400,34.14
2011-07-26,35.97,36.00,35.26,35.51,1326000,35.19
2011-07-25,35.49,36.32,35.28,35.73,1000500,35.40
2011-07-22,36.08,36.11,35.10,35.85,1050000,35.52
2011-07-21,35.65,36.36,35.52,36.13,1399100,35.80
2011-07-20,35.40,35.87,35.33,35.40,997700,35.08
2011-07-19,35.07,35.70,35.03,35.37,1040100,35.05
2011-07-18,35.42,35.64,34.71,34.93,1244200,34.61
2011-07-15,36.03,36.17,35.15,35.67,1799900,35.35
2011-07-14,36.83,36.99,35.85,35.92,1777300,35.59
2011-07-13,37.05,37.59,36.83,36.93,1068200,36.59
2011-07-12,37.01,37.65,36.89,36.91,1670400,36.57
2011-07-11,37.48,37.58,36.88,37.07,2112100,36.73
2011-07-08,39.15,39.25,37.88,38.03,1875100,37.68
2011-07-07,39.79,39.99,38.89,39.69,1866500,39.33
2011-07-06,39.43,39.71,39.05,39.33,887500,38.97
2011-07-05,39.74,39.87,38.82,39.56,1335700,39.20
2011-07-01,38.65,39.90,38.20,39.72,1266100,39.36
2011-06-30,38.70,39.00,38.41,38.53,2162600,38.18
2011-06-29,38.75,38.82,38.20,38.53,1483400,38.18
2011-06-28,38.39,38.85,38.27,38.47,1129000,38.12
2011-06-27,38.43,38.50,38.00,38.25,1024800,37.90
2011-06-24,38.75,38.85,38.02,38.33,1045000,37.98
2011-06-23,38.41,38.66,37.68,38.65,1987600,38.30
2011-06-22,39.30,39.67,38.92,39.08,705500,38.72
2011-06-21,39.26,39.91,39.22,39.59,980500,39.23
2011-06-20,38.64,39.19,38.32,39.03,1061100,38.67
2011-06-17,38.42,39.08,38.39,38.87,1710400,38.52
2011-06-16,37.78,38.37,37.71,38.00,1417600,37.65
2011-06-15,38.25,38.52,37.36,37.78,1417000,37.44
2011-06-14,38.01,39.22,37.90,38.73,1437600,38.38
2011-06-13,37.57,37.80,37.08,37.57,1727600,37.23
2011-06-10,37.13,37.28,36.51,36.97,1283500,36.63
