Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.35,33.45,32.99,33.06,4870000,32.11
2011-12-29,33.41,33.60,33.10,33.43,4809100,32.47
2011-12-28,33.29,33.75,33.08,33.28,5596500,32.32
2011-12-27,35.18,35.19,33.25,33.36,12187000,32.40
2011-12-23,33.95,35.34,33.88,35.34,8612300,34.32
2011-12-22,33.13,33.98,32.75,33.92,8151000,32.94
2011-12-21,31.42,33.48,30.80,33.37,21413800,32.41
2011-12-20,33.11,33.57,32.54,33.50,14135500,32.53
2011-12-19,34.15,34.20,32.70,32.75,12955000,31.81
2011-12-16,34.38,34.60,33.79,34.13,11776900,33.15
2011-12-15,33.83,34.17,33.72,34.11,6535800,33.13
2011-12-14,33.58,33.99,33.49,33.61,6383400,32.64
2011-12-13,34.24,34.31,33.55,33.69,6021600,32.72
2011-12-12,34.13,34.23,33.61,33.89,7284500,32.91
2011-12-09,34.00,34.41,33.91,34.22,4992300,33.23
2011-12-08,34.34,34.51,33.84,33.88,10074400,32.90
2011-12-07,33.96,34.60,33.79,34.51,8719100,33.51
2011-12-06,34.23,34.27,33.94,34.01,7862300,33.03
2011-12-05,33.31,34.58,33.15,34.37,9770300,33.38
2011-12-02,34.09,34.09,32.81,33.12,13531900,32.16
2011-12-01,33.58,34.40,33.58,33.88,7140600,32.90
2011-11-30,33.34,33.75,32.87,33.72,11366100,32.75
2011-11-29,32.79,33.28,32.54,32.54,8668900,31.60
2011-11-28,32.81,33.09,32.55,32.79,9040800,31.84
2011-11-25,31.99,33.08,31.98,32.47,6679300,31.53
2011-11-23,30.72,33.31,30.34,32.09,17857100,31.16
2011-11-22,31.16,31.39,30.63,30.74,9504700,29.85
2011-11-21,31.73,32.06,31.07,31.29,11842400,30.39
2011-11-18,32.38,32.73,32.19,32.63,6687600,31.69
2011-11-17,32.12,32.65,32.09,32.28,10191800,31.35
2011-11-16,32.41,32.74,32.19,32.22,9834600,31.29
2011-11-15,32.43,32.75,32.30,32.55,7396600,31.61
2011-11-14,32.86,33.14,32.30,32.43,7168700,31.49
2011-11-11,32.31,32.98,32.25,32.85,7586700,31.90
2011-11-10,31.96,32.26,31.59,31.95,9372700,31.03
2011-11-09,32.30,32.57,31.70,31.72,12825800,30.80
2011-11-08,32.94,33.22,32.45,33.19,8593600,32.01
2011-11-07,33.18,33.30,32.73,33.14,6622200,31.97
2011-11-04,32.43,33.28,32.40,33.17,5250800,31.99
2011-11-03,33.13,33.25,32.42,32.72,7815600,31.56
2011-11-02,32.73,33.17,32.61,32.99,5340100,31.82
2011-11-01,32.65,32.97,32.32,32.37,7470500,31.22
2011-10-31,33.56,33.78,33.17,33.20,7694600,32.02
2011-10-28,34.18,34.26,33.61,33.81,9231600,32.61
2011-10-27,34.00,34.28,33.74,34.13,10110900,32.92
2011-10-26,33.61,33.61,32.50,33.25,12608100,32.07
2011-10-25,34.02,34.25,33.75,33.82,4149500,32.62
2011-10-24,34.03,34.38,33.83,34.31,4455300,33.09
2011-10-21,33.88,34.26,33.82,34.14,5008000,32.93
2011-10-20,33.91,34.15,33.22,33.59,5708300,32.40
2011-10-19,33.83,33.94,33.65,33.75,7401200,32.55
2011-10-18,33.41,34.10,33.04,33.83,7627300,32.63
2011-10-17,33.55,34.50,33.00,33.89,8238400,32.69
2011-10-14,33.41,33.50,32.59,33.00,7209400,31.83
2011-10-13,33.11,33.29,32.66,32.96,8136100,31.79
2011-10-12,34.00,34.14,33.09,33.15,9788400,31.98
2011-10-11,33.60,33.92,33.26,33.79,5079200,32.59
2011-10-10,33.91,33.99,33.41,33.67,5391500,32.48
2011-10-07,33.62,33.72,33.14,33.41,6879700,32.23
2011-10-06,32.58,33.46,32.58,33.37,6549600,32.19
2011-10-05,32.99,33.22,32.58,33.03,7633100,31.86
2011-10-04,32.14,32.87,31.60,32.85,9900000,31.69
2011-10-03,32.90,33.13,32.47,32.47,10081000,31.32
2011-09-30,32.24,33.25,32.15,32.89,11463000,31.72
2011-09-29,33.30,33.30,32.00,32.53,8862700,31.38
2011-09-28,33.81,34.10,32.69,32.75,13119400,31.59
2011-09-27,35.66,35.66,33.50,33.77,22886300,32.57
2011-09-26,35.28,36.07,34.70,36.03,9938200,34.75
2011-09-23,35.08,35.17,34.50,34.89,5985700,33.65
2011-09-22,35.30,35.64,34.92,35.23,6505200,33.98
2011-09-21,37.19,37.61,36.31,36.37,5875400,35.08
2011-09-20,37.11,37.50,36.84,37.09,5756500,35.78
2011-09-19,36.38,37.18,36.38,37.05,7117400,35.74
2011-09-16,37.45,37.60,36.90,36.96,8666100,35.65
2011-09-15,37.00,37.34,36.82,37.30,5937100,35.98
2011-09-14,36.14,37.01,35.87,36.65,8512900,35.35
2011-09-13,35.75,36.02,35.53,35.93,5014700,34.66
2011-09-12,35.01,35.72,34.93,35.66,7919200,34.40
2011-09-09,35.65,35.80,35.00,35.33,7899300,34.08
2011-09-08,35.91,36.45,35.63,35.88,9132600,34.61
2011-09-07,35.48,36.16,35.39,36.08,8197300,34.80
2011-09-06,34.00,35.27,33.90,35.10,7941500,33.86
2011-09-02,34.81,35.33,34.77,34.77,6094000,33.54
2011-09-01,35.32,36.16,35.26,35.65,7022300,34.39
2011-08-31,35.68,35.99,35.10,35.21,6252600,33.96
2011-08-30,35.42,35.69,35.15,35.50,4897700,34.24
2011-08-29,34.85,35.49,34.68,35.46,4788000,34.20
2011-08-26,34.03,34.73,33.49,34.51,7102900,33.29
2011-08-25,34.75,34.79,33.97,34.11,7912100,32.90
2011-08-24,34.73,35.04,33.96,34.33,11784600,33.11
2011-08-23,34.04,34.99,33.75,34.68,11778800,33.45
2011-08-22,35.21,35.33,34.72,34.90,6046700,33.66
2011-08-19,34.56,35.46,34.29,34.45,8450800,33.23
2011-08-18,34.89,35.20,33.90,35.06,13971600,33.82
2011-08-17,37.12,37.13,35.83,36.14,11966000,34.86
2011-08-16,36.43,37.61,36.33,37.26,10746600,35.72
2011-08-15,35.40,36.78,35.05,36.74,10020100,35.22
2011-08-12,34.92,35.40,34.40,35.22,7945700,33.77
2011-08-11,35.18,35.31,33.92,34.74,20362500,33.31
2011-08-10,35.89,35.97,34.65,34.72,11498700,33.29
2011-08-09,35.62,36.34,34.40,36.29,15094100,34.79
2011-08-08,36.00,36.70,35.20,35.22,12168500,33.77
2011-08-05,37.24,37.34,35.75,37.03,12584100,35.50
2011-08-04,37.83,38.03,37.01,37.05,9639000,35.52
2011-08-03,38.18,38.24,37.24,38.14,9478200,36.57
2011-08-02,38.78,39.06,38.23,38.23,6124000,36.65
2011-08-01,39.45,39.45,38.46,39.10,6226600,37.49
2011-07-29,39.01,39.33,38.80,39.04,6376700,37.43
2011-07-28,39.31,39.79,39.12,39.18,7476800,37.56
2011-07-27,39.49,39.63,38.90,38.96,6307700,37.35
2011-07-26,39.75,40.08,39.54,39.73,5329800,38.09
2011-07-25,39.78,40.16,39.70,39.80,5502900,38.16
2011-07-22,39.72,40.24,39.63,40.02,8469300,38.37
2011-07-21,40.29,41.08,39.44,39.64,37174200,38.00
2011-07-20,42.29,42.36,41.76,41.80,4590000,40.08
2011-07-19,41.87,42.16,41.38,42.15,5230900,40.41
2011-07-18,41.85,41.87,41.25,41.67,3925500,39.95
2011-07-15,42.20,42.20,41.62,41.93,6515400,40.20
2011-07-14,42.82,42.89,42.08,42.15,6454000,40.41
2011-07-13,42.74,43.30,42.61,42.79,7633900,41.02
2011-07-12,43.32,43.36,42.52,42.55,6357800,40.79
2011-07-11,43.63,43.93,43.23,43.43,4093600,41.64
2011-07-08,43.80,44.12,43.61,44.07,4978700,42.25
2011-07-07,43.60,44.26,43.52,44.14,6142200,42.32
2011-07-06,43.08,43.41,43.00,43.38,7379300,41.59
2011-07-05,42.78,42.82,42.32,42.73,4711900,40.97
2011-07-01,42.30,42.89,42.23,42.83,4720400,41.06
2011-06-30,41.81,42.53,41.70,42.46,6493400,40.71
2011-06-29,41.66,42.09,41.54,41.76,6331300,40.04
2011-06-28,41.87,41.93,41.40,41.59,7429300,39.87
2011-06-27,41.51,42.11,41.47,41.72,6749400,40.00
2011-06-24,42.60,42.66,41.32,41.39,12074000,39.68
2011-06-23,42.11,42.65,42.07,42.59,9402000,40.83
2011-06-22,43.16,43.16,42.61,42.65,13601600,40.89
2011-06-21,42.63,43.55,42.18,43.28,25174000,41.49
2011-06-20,44.43,45.34,44.36,45.18,6499100,43.32
2011-06-17,44.65,44.93,44.51,44.67,7006800,42.83
2011-06-16,43.84,44.48,43.83,44.38,6454600,42.55
2011-06-15,43.76,44.48,43.56,43.79,5852900,41.98
2011-06-14,43.91,44.39,43.80,44.10,5919000,42.28
2011-06-13,43.50,43.66,43.00,43.50,4097900,41.71
2011-06-10,43.53,43.59,42.94,42.97,4446400,41.20
2011-06-09,43.21,43.96,42.98,43.60,5527900,41.80
2011-06-08,42.82,43.32,42.74,43.18,5097400,41.40
2011-06-07,43.24,43.59,42.93,42.93,6629500,41.16
2011-06-06,43.01,43.47,42.94,42.94,5803800,41.17
2011-06-03,42.77,43.57,42.60,43.15,7149600,41.37
2011-06-02,43.39,43.52,42.89,43.22,5540600,41.44
2011-06-01,43.66,43.96,43.30,43.32,6133400,41.53
2011-05-31,43.99,44.06,43.40,43.63,5603100,41.83
2011-05-27,43.87,44.11,43.61,43.71,3832400,41.91
2011-05-26,43.69,44.11,43.38,43.70,5319100,41.90
2011-05-25,44.14,44.30,43.99,44.14,4385900,42.32
2011-05-24,44.45,44.60,44.29,44.29,4277300,42.46
2011-05-23,44.00,44.64,43.82,44.50,5927300,42.66
2011-05-20,44.09,44.53,43.66,44.37,4980900,42.54
2011-05-19,44.31,44.35,43.95,44.23,3730600,42.41
2011-05-18,44.30,44.34,43.81,44.19,5438700,42.37
2011-05-17,44.84,44.99,44.08,44.30,6250600,42.30
2011-05-16,44.85,45.24,44.67,45.12,7514300,43.09
2011-05-13,44.70,45.00,44.62,44.97,5905100,42.94
2011-05-12,43.92,44.98,43.92,44.93,7600000,42.91
2011-05-11,43.29,44.11,43.21,44.09,8289600,42.10
2011-05-10,43.03,43.58,43.03,43.50,5361300,41.54
2011-05-09,42.28,43.22,42.28,43.10,6204000,41.16
2011-05-06,42.82,43.00,42.07,42.34,5770400,40.43
2011-05-05,42.60,42.90,42.36,42.50,6664800,40.59
2011-05-04,42.98,43.11,42.45,42.78,7180500,40.85
2011-05-03,42.32,43.19,42.31,43.12,6922100,41.18
2011-05-02,42.97,43.10,42.26,42.31,5278200,40.40
2011-04-29,43.08,43.21,42.64,42.72,4500000,40.80
2011-04-28,42.80,43.21,42.69,43.17,5091200,41.23
2011-04-27,42.87,43.00,42.45,42.88,6040900,40.95
2011-04-26,42.66,42.94,42.50,42.87,4000000,40.94
2011-04-25,42.59,42.69,42.32,42.45,3448800,40.54
2011-04-21,42.61,42.94,42.46,42.69,4112600,40.77
2011-04-20,42.49,42.75,42.15,42.56,5770500,40.64
2011-04-19,41.67,42.39,41.62,42.37,5074800,40.46
2011-04-18,41.54,41.74,41.30,41.65,4636200,39.77
2011-04-15,41.69,42.20,41.68,41.87,6699300,39.98
2011-04-14,41.18,41.57,41.00,41.45,6044900,39.58
2011-04-13,41.38,41.44,40.88,41.32,4989000,39.46
2011-04-12,40.99,41.56,40.99,41.27,4244900,39.41
2011-04-11,41.16,41.51,41.12,41.34,4113400,39.48
2011-04-08,41.35,41.56,40.89,41.01,4921200,39.16
2011-04-07,41.10,41.65,41.09,41.33,4556000,39.47
2011-04-06,41.12,41.49,40.91,41.22,3816800,39.36
2011-04-05,41.20,41.76,41.01,41.11,8458100,39.26
2011-04-04,40.86,41.11,40.56,40.83,3841900,38.99
2011-04-01,40.32,40.98,40.28,40.94,6196200,39.10
2011-03-31,39.88,40.21,39.68,40.14,4679000,38.33
2011-03-30,40.15,40.40,39.91,40.00,3495400,38.20
2011-03-29,39.65,40.04,39.35,39.93,4835900,38.13
2011-03-28,39.69,40.11,39.22,39.28,5477200,37.51
2011-03-25,40.17,40.47,39.29,39.64,6390300,37.85
2011-03-24,40.00,40.43,39.63,39.95,6488200,38.15
2011-03-23,39.35,39.88,38.96,39.83,8861400,38.04
2011-03-22,39.74,40.10,38.45,39.21,33388000,37.44
2011-03-21,41.47,41.99,41.15,41.97,11485800,40.08
2011-03-18,41.46,42.30,40.63,40.91,10883200,39.07
2011-03-17,41.22,41.35,40.78,41.17,5399000,39.32
2011-03-16,40.78,41.16,40.01,40.61,7268900,38.78
2011-03-15,40.79,47.11,40.36,41.07,6633900,39.22
2011-03-14,41.67,41.87,41.30,41.59,4913800,39.72
2011-03-11,41.75,42.19,41.44,41.93,5914000,40.04
2011-03-10,42.29,42.45,41.92,41.96,5322000,40.07
2011-03-09,42.77,43.09,42.18,42.61,5640300,40.69
2011-03-08,41.93,42.69,41.78,42.39,4033400,40.48
2011-03-07,42.34,42.68,41.53,41.85,6265700,39.96
2011-03-04,42.47,42.97,42.01,42.23,5729300,40.33
2011-03-03,42.05,42.76,41.33,42.53,9263800,40.61
2011-03-02,42.82,43.24,41.11,41.84,11699500,39.96
2011-03-01,43.52,44.06,42.69,42.72,14353300,40.80
2011-02-28,42.77,43.75,42.50,43.34,12297100,41.39
2011-02-25,41.44,42.06,41.36,41.97,3506400,40.08
2011-02-24,41.13,41.60,40.79,41.32,6736600,39.46
2011-02-23,42.25,42.45,41.21,41.23,9492200,39.37
2011-02-22,42.22,42.54,41.85,42.18,6423500,40.28
2011-02-18,42.75,42.91,42.63,42.74,4720400,40.81
2011-02-17,42.06,42.64,41.74,42.61,3949500,40.69
2011-02-16,42.25,42.47,41.92,42.19,5997400,40.29
2011-02-15,42.28,42.60,41.91,42.34,6137900,40.27
2011-02-14,42.61,42.66,42.10,42.17,3653900,40.10
2011-02-11,42.35,42.59,42.15,42.58,3724000,40.49
2011-02-10,42.49,42.65,42.10,42.58,3686000,40.49
2011-02-09,42.64,42.94,42.23,42.66,5101300,40.57
2011-02-08,42.49,42.91,42.27,42.78,5058900,40.68
2011-02-07,42.37,42.60,42.16,42.31,4405500,40.24
2011-02-04,42.48,42.55,42.06,42.37,4925600,40.29
2011-02-03,42.07,43.18,42.05,42.31,9296700,40.24
2011-02-02,42.17,42.25,41.60,41.97,4998000,39.91
2011-02-01,40.63,42.35,40.60,42.23,8930200,40.16
2011-01-31,40.75,40.83,40.25,40.44,5584100,38.46
2011-01-28,41.24,41.48,40.27,40.36,5644700,38.38
2011-01-27,41.39,41.48,40.68,41.07,6274300,39.06
2011-01-26,41.41,41.64,41.16,41.29,4807400,39.27
2011-01-25,41.48,41.49,40.89,41.24,6977700,39.22
2011-01-24,41.60,41.81,41.47,41.49,5187800,39.46
2011-01-21,41.94,42.20,41.54,41.69,5515000,39.65
2011-01-20,41.07,41.88,41.07,41.61,6163000,39.57
