Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,73.93,74.61,73.80,74.05,289400,74.05
2011-12-29,73.52,74.37,73.28,74.14,369400,74.14
2011-12-28,74.64,74.71,73.05,73.26,364700,73.26
2011-12-27,74.43,75.27,74.01,74.62,263400,74.62
2011-12-23,74.74,75.03,74.07,74.59,296000,74.59
2011-12-22,73.72,75.02,73.47,74.52,316800,74.52
2011-12-21,73.95,74.43,72.67,73.73,396200,73.73
2011-12-20,72.93,74.26,72.93,74.11,604800,74.11
2011-12-19,71.65,73.12,71.46,71.72,691000,71.72
2011-12-16,72.59,72.90,70.88,71.61,1060800,71.61
2011-12-15,72.64,73.19,71.78,71.93,843900,71.93
2011-12-14,72.22,72.38,71.10,71.84,1149300,71.84
2011-12-13,73.84,74.21,71.94,72.45,890600,72.45
2011-12-12,74.10,74.82,72.16,73.54,1261400,73.54
2011-12-09,75.82,75.94,74.20,74.82,1383200,74.82
2011-12-08,78.65,78.96,75.33,75.56,1197500,75.56
2011-12-07,79.99,79.99,78.38,79.15,598000,79.15
2011-12-06,80.00,80.57,79.36,80.17,432200,80.17
2011-12-05,81.17,81.99,79.80,80.05,704000,80.05
2011-12-02,80.92,81.67,79.57,79.88,589400,79.88
2011-12-01,79.67,81.06,79.42,79.95,583800,79.95
2011-11-30,77.30,80.70,77.30,80.00,1115200,80.00
2011-11-29,75.56,76.19,74.79,75.18,559100,75.18
2011-11-28,74.67,76.40,74.51,75.16,516600,75.16
2011-11-25,72.37,73.49,72.37,72.55,244300,72.55
2011-11-23,73.72,73.78,72.28,72.78,508300,72.78
2011-11-22,74.29,75.67,74.08,74.67,631400,74.67
2011-11-21,73.59,74.83,72.06,74.35,1040900,74.35
2011-11-18,77.22,77.22,74.48,74.77,1317700,74.77
2011-11-17,78.36,78.41,75.52,76.17,978300,76.17
2011-11-16,78.01,79.72,77.40,78.66,865000,78.66
2011-11-15,79.37,80.32,78.75,79.24,724600,79.24
2011-11-14,79.52,80.56,78.73,79.46,424300,79.46
2011-11-11,79.10,80.21,79.10,80.03,402400,80.03
2011-11-10,78.43,78.84,77.48,77.93,415800,77.93
2011-11-09,79.49,79.87,76.99,77.48,592300,77.48
2011-11-08,79.57,81.59,79.34,81.50,495400,81.50
2011-11-07,78.50,79.50,77.78,79.40,569400,79.40
2011-11-04,79.03,79.32,77.77,78.55,483200,78.55
2011-11-03,78.58,79.99,77.84,79.67,568300,79.67
2011-11-02,78.07,78.15,76.60,77.46,716300,77.46
2011-11-01,77.72,79.44,76.73,76.85,1235700,76.85
2011-10-31,81.41,81.65,79.94,80.12,856000,80.12
2011-10-28,80.75,82.45,80.34,82.22,826300,82.22
2011-10-27,79.26,81.51,77.99,80.95,1138000,80.95
2011-10-26,78.63,79.44,75.84,77.02,2016700,77.02
2011-10-25,79.30,83.29,78.32,78.90,1782300,78.90
2011-10-24,80.63,83.68,80.39,83.14,1103000,83.14
2011-10-21,78.86,80.87,78.65,80.59,1012700,80.59
2011-10-20,76.02,77.84,75.23,77.72,842800,77.72
2011-10-19,76.71,77.10,74.94,76.01,1198200,76.01
2011-10-18,75.19,77.05,73.34,76.66,1512600,76.66
2011-10-17,77.03,77.05,75.04,75.22,757400,75.22
2011-10-14,77.68,78.07,76.84,77.25,681200,77.25
2011-10-13,77.09,77.09,74.97,75.96,739200,75.96
2011-10-12,78.65,79.16,77.29,77.33,821700,77.33
2011-10-11,75.52,78.54,75.35,78.23,838300,78.23
2011-10-10,73.95,76.51,73.94,75.91,1225900,75.91
2011-10-07,76.15,76.99,72.69,72.78,3694800,72.78
2011-10-06,76.99,79.15,76.49,79.10,1000100,79.10
2011-10-05,75.20,77.18,74.00,77.00,877800,77.00
2011-10-04,72.79,75.49,72.43,75.43,1900000,75.43
2011-10-03,75.00,75.47,72.82,73.86,1696600,73.86
2011-09-30,76.59,77.11,75.34,75.49,1052000,75.49
2011-09-29,78.51,78.59,75.65,77.75,773600,77.75
2011-09-28,79.65,80.46,76.79,77.03,517400,77.03
2011-09-27,78.55,81.28,78.55,79.60,1019300,79.60
2011-09-26,75.86,76.79,73.88,76.76,707600,76.76
2011-09-23,74.22,75.67,73.75,75.09,800400,75.09
2011-09-22,74.62,75.00,73.64,74.27,1960500,74.27
2011-09-21,81.04,81.75,77.12,77.16,887300,77.16
2011-09-20,80.98,84.51,80.90,81.25,946200,81.25
2011-09-19,80.97,81.21,78.86,80.63,828100,80.63
2011-09-16,82.14,83.94,81.34,82.43,1215000,82.43
2011-09-15,80.28,81.87,79.61,81.81,1459900,81.81
2011-09-14,78.01,80.83,77.69,79.70,2003900,79.70
2011-09-13,75.40,78.04,75.10,77.67,1504400,77.67
2011-09-12,73.07,75.62,73.07,75.45,1325400,75.45
2011-09-09,75.84,76.36,74.16,74.62,928100,74.62
2011-09-08,78.11,78.35,76.70,77.02,1107500,77.02
2011-09-07,77.06,78.99,76.76,78.76,1168100,78.76
2011-09-06,73.48,76.20,73.44,75.85,1644100,75.85
2011-09-02,77.21,77.43,75.45,75.84,1239800,75.84
2011-09-01,80.08,81.01,78.66,78.83,1169900,78.83
2011-08-31,81.14,81.61,79.34,79.87,1141000,79.87
2011-08-30,79.99,81.13,79.12,80.59,734800,80.59
2011-08-29,79.55,80.52,79.05,80.31,873200,80.31
2011-08-26,75.75,78.36,74.27,78.34,1007500,78.34
2011-08-25,77.37,78.41,76.20,76.62,1206000,76.62
2011-08-24,75.39,77.46,75.05,77.30,1160100,77.30
2011-08-23,73.02,75.78,72.74,75.78,1012500,75.78
2011-08-22,74.10,74.12,72.53,72.83,1146800,72.83
2011-08-19,71.34,74.03,71.12,72.38,1994200,72.38
2011-08-18,75.71,76.32,71.33,72.19,1944000,72.19
2011-08-17,78.25,79.15,77.00,78.29,1198800,78.29
2011-08-16,80.13,80.18,77.37,77.75,2464400,77.75
2011-08-15,79.84,81.22,79.47,81.11,860600,81.11
2011-08-12,76.25,79.85,76.20,78.89,1147700,78.89
2011-08-11,73.44,76.93,72.29,75.74,1291500,75.74
2011-08-10,75.16,76.14,73.00,73.15,1181200,73.15
2011-08-09,74.48,77.09,71.99,76.82,1689700,76.82
2011-08-08,75.95,76.50,73.08,73.20,2053700,73.20
2011-08-05,80.12,80.12,75.63,78.01,2260000,78.01
2011-08-04,81.43,81.69,78.81,78.87,1078500,78.87
2011-08-03,82.09,83.20,80.49,82.86,2119200,82.86
2011-08-02,85.60,86.26,81.82,81.85,1540100,81.85
2011-08-01,88.64,88.65,85.12,86.29,1535000,86.29
2011-07-29,86.63,88.88,86.07,87.89,1179800,87.89
2011-07-28,86.51,89.06,85.91,87.47,1610800,87.47
2011-07-27,88.03,88.35,85.82,86.65,1909900,86.65
2011-07-26,90.45,90.76,87.81,89.25,4536500,89.25
2011-07-25,96.93,97.67,96.62,97.10,609700,97.10
2011-07-22,99.13,99.13,97.51,98.06,567000,98.06
2011-07-21,96.87,99.37,96.39,99.16,1179000,99.16
2011-07-20,96.17,96.60,95.02,96.36,633600,96.36
2011-07-19,93.66,96.14,93.66,96.14,584500,96.14
2011-07-18,93.28,93.79,92.01,93.06,332100,93.06
2011-07-15,93.87,93.87,92.81,93.69,331600,93.69
2011-07-14,94.68,95.10,93.11,93.44,297800,93.44
2011-07-13,94.97,95.35,94.10,94.47,491800,94.47
2011-07-12,94.85,95.37,93.90,94.41,480600,94.41
2011-07-11,96.96,97.22,94.86,95.05,615700,95.05
2011-07-08,97.36,98.55,97.02,98.55,416700,98.55
2011-07-07,98.87,99.04,98.08,98.57,370200,98.57
2011-07-06,97.77,98.14,97.43,98.03,868600,98.03
2011-07-05,97.30,98.03,96.84,97.93,415900,97.93
2011-07-01,95.98,97.67,95.75,97.63,483200,97.63
2011-06-30,95.58,96.96,95.55,95.74,605900,95.74
2011-06-29,94.47,95.70,93.99,95.35,699900,95.35
2011-06-28,92.96,94.33,92.53,94.02,395100,94.02
2011-06-27,91.28,92.95,90.80,92.71,538000,92.71
2011-06-24,93.42,93.42,91.33,91.48,602400,91.48
2011-06-23,92.91,93.23,91.57,93.14,575100,93.14
2011-06-22,93.90,94.97,93.89,94.05,459500,94.05
2011-06-21,93.16,94.58,93.03,94.30,392800,94.30
2011-06-20,91.80,92.75,91.54,92.59,519700,92.59
2011-06-17,91.90,93.04,91.83,92.09,644400,92.09
2011-06-16,91.26,91.67,90.59,91.45,738900,91.45
2011-06-15,92.19,93.25,91.05,91.05,1028100,91.05
2011-06-14,92.49,93.51,92.48,93.17,435200,93.17
2011-06-13,91.51,92.85,91.24,91.51,634800,91.51
2011-06-10,93.56,93.77,92.19,92.25,498900,92.25
2011-06-09,93.25,94.58,92.70,94.19,735400,94.19
2011-06-08,93.70,93.73,92.76,92.91,688600,92.91
2011-06-07,92.88,94.55,92.78,93.90,1175400,93.90
2011-06-06,93.78,94.26,92.55,92.63,694400,92.63
2011-06-03,95.00,95.15,93.97,94.01,756000,94.01
2011-06-02,96.26,96.48,95.34,96.10,522800,96.10
2011-06-01,98.17,98.35,95.90,95.94,604100,95.94
2011-05-31,98.59,98.75,97.43,98.56,610500,98.56
2011-05-27,98.11,98.68,97.50,97.80,588900,97.80
2011-05-26,97.42,98.27,96.78,97.98,863100,97.98
2011-05-25,96.70,98.38,96.53,97.58,568600,97.58
2011-05-24,97.50,97.66,96.54,97.12,493500,97.12
2011-05-23,97.62,97.85,96.59,97.26,690400,97.26
2011-05-20,99.14,99.53,98.13,98.73,695700,98.73
2011-05-19,98.92,99.94,98.22,99.56,948600,99.56
2011-05-18,96.26,98.46,95.92,98.46,725700,98.46
2011-05-17,96.89,97.03,94.86,95.98,632500,95.98
2011-05-16,97.21,98.04,96.83,97.17,674900,97.17
2011-05-13,98.64,99.90,97.10,97.70,426200,97.70
2011-05-12,97.13,98.71,96.68,98.43,530000,98.43
2011-05-11,97.61,98.14,96.67,97.29,432600,97.29
2011-05-10,97.98,98.12,97.30,98.02,632500,98.02
2011-05-09,96.87,98.00,96.43,97.80,677700,97.80
2011-05-06,96.85,98.19,96.16,96.87,571800,96.87
2011-05-05,96.42,97.62,95.52,95.65,703000,95.65
2011-05-04,97.22,97.59,96.25,96.87,975300,96.87
2011-05-03,97.96,98.13,97.18,97.50,681200,97.50
2011-05-02,98.62,99.52,98.09,98.29,574700,98.29
2011-04-29,98.00,98.22,97.57,98.00,746000,98.00
2011-04-28,97.96,98.56,97.71,97.96,875800,97.96
2011-04-27,98.33,99.10,97.20,98.31,935500,98.31
2011-04-26,99.17,100.00,96.32,98.32,1500000,98.32
2011-04-25,90.80,90.90,89.75,90.73,531500,90.73
2011-04-21,90.00,91.23,89.82,90.80,495500,90.80
2011-04-20,87.54,89.72,87.50,89.66,932500,89.66
2011-04-19,86.07,86.52,85.62,86.41,416800,86.41
2011-04-18,86.77,86.77,85.30,85.96,500300,85.96
2011-04-15,87.68,88.63,87.31,87.81,599700,87.81
2011-04-14,86.98,87.47,86.69,87.20,369600,87.20
2011-04-13,87.55,88.01,86.78,87.55,356500,87.55
2011-04-12,87.26,87.98,86.81,87.16,418800,87.16
2011-04-11,87.58,88.44,87.47,87.85,472100,87.85
2011-04-08,88.55,88.71,87.04,87.65,566300,87.65
2011-04-07,89.17,89.35,87.71,88.20,819600,88.20
2011-04-06,90.04,90.10,89.33,89.38,531200,89.38
2011-04-05,88.86,90.23,88.40,89.72,694900,89.72
2011-04-04,88.15,89.09,87.91,89.02,531100,89.02
2011-04-01,87.69,88.28,87.19,87.93,374800,87.93
2011-03-31,86.65,87.11,86.37,86.90,332500,86.90
2011-03-30,86.40,87.39,86.29,86.81,254500,86.81
2011-03-29,85.33,86.12,85.14,85.99,391700,85.99
2011-03-28,85.77,86.29,85.41,85.53,343800,85.53
2011-03-25,84.90,86.04,84.75,85.50,366300,85.50
2011-03-24,84.58,84.72,83.77,84.63,421000,84.63
2011-03-23,84.06,84.44,83.31,84.07,573100,84.07
2011-03-22,85.13,85.60,84.24,84.41,511800,84.41
2011-03-21,85.02,85.81,84.58,84.96,556600,84.96
2011-03-18,82.92,84.83,82.74,83.57,1248800,83.57
2011-03-17,81.88,82.23,80.74,81.76,971100,81.76
2011-03-16,82.37,82.56,79.16,80.57,1352500,80.57
2011-03-15,82.50,83.08,81.07,82.70,1655600,82.70
2011-03-14,84.92,85.81,84.22,84.73,516700,84.73
2011-03-11,84.42,85.43,83.81,85.37,451900,85.37
2011-03-10,86.10,86.11,84.62,85.01,587000,85.01
2011-03-09,86.79,87.22,85.79,86.97,808300,86.97
2011-03-08,86.24,87.50,85.92,87.12,534200,87.12
2011-03-07,87.13,87.57,85.35,86.01,805900,86.01
2011-03-04,84.43,87.47,84.43,87.00,1453200,87.00
2011-03-03,83.03,85.27,83.03,84.65,929100,84.65
2011-03-02,82.02,82.65,81.63,82.43,667000,82.43
2011-03-01,83.32,83.68,82.03,82.04,577100,82.04
2011-02-28,82.61,83.47,82.33,83.05,719700,83.05
2011-02-25,81.85,82.59,81.52,82.44,583200,82.44
2011-02-24,80.68,81.81,80.00,81.60,1118100,81.60
2011-02-23,82.51,83.01,80.29,80.48,1363900,80.48
2011-02-22,82.58,83.79,82.02,82.95,1160900,82.95
2011-02-18,80.66,83.50,80.08,83.38,1595900,83.38
2011-02-17,80.03,80.60,79.69,80.49,702100,80.49
2011-02-16,80.07,80.60,79.88,80.34,723400,80.34
2011-02-15,79.97,80.36,79.53,79.90,710100,79.90
2011-02-14,79.78,80.42,79.51,80.20,586800,80.20
2011-02-11,79.15,79.89,79.02,79.87,955800,79.87
2011-02-10,77.60,79.77,77.60,79.46,1243800,79.46
2011-02-09,76.56,77.93,76.31,77.91,829300,77.91
2011-02-08,76.58,77.02,76.13,76.85,633800,76.85
2011-02-07,75.41,76.38,75.37,76.13,573100,76.13
2011-02-04,75.72,75.72,74.19,75.37,979700,75.37
2011-02-03,75.63,75.97,74.15,75.54,792900,75.54
2011-02-02,77.39,77.73,75.73,75.89,795900,75.89
2011-02-01,76.96,77.84,76.39,77.70,752600,77.70
2011-01-31,76.12,76.94,75.58,76.39,534700,76.39
2011-01-28,77.78,77.91,75.48,76.06,661600,76.06
2011-01-27,76.77,78.21,76.77,77.68,989000,77.68
2011-01-26,78.09,78.16,76.24,76.66,1142900,76.66
2011-01-25,77.81,79.29,77.01,77.99,1283100,77.99
2011-01-24,76.23,78.72,76.07,78.26,930200,78.26
2011-01-21,76.46,77.13,76.10,76.25,1128200,76.25
2011-01-20,75.49,76.34,75.27,75.79,517300,75.79
2011-01-19,77.50,77.64,75.12,75.51,757300,75.51
2011-01-18,76.43,77.50,76.43,77.41,290100,77.41
2011-01-14,76.20,76.61,75.64,76.44,394400,76.44
2011-01-13,76.53,76.79,76.19,76.39,405900,76.39
2011-01-12,76.61,76.94,76.39,76.75,325100,76.75
2011-01-11,74.93,76.51,74.87,76.30,689000,76.30
2011-01-10,74.80,75.09,74.27,74.68,847300,74.68
2011-01-07,76.03,76.24,74.75,75.21,656500,75.21
2011-01-06,75.87,76.41,75.81,76.05,1065500,76.05
2011-01-05,77.41,77.96,77.13,77.79,894500,77.79
2011-01-04,78.21,78.28,77.09,77.63,791400,77.63
2011-01-03,78.30,78.51,78.00,78.10,611200,78.10
