Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,31.09,31.33,30.94,30.95,1580400,30.55
2011-12-29,30.83,31.16,30.53,31.10,1448000,30.70
2011-12-28,31.34,31.68,30.41,30.76,2444200,30.37
2011-12-27,31.94,32.06,31.14,31.23,2502600,30.83
2011-12-23,31.89,32.14,31.37,32.14,1589600,31.73
2011-12-22,31.47,32.10,31.46,31.71,2216500,31.30
2011-12-21,31.70,31.70,30.63,31.40,2510700,31.00
2011-12-20,31.08,32.20,31.00,31.89,3020900,31.48
2011-12-19,31.14,31.35,30.46,30.64,2229400,30.25
2011-12-16,30.94,31.67,30.81,30.95,3948700,30.55
2011-12-15,30.95,31.14,30.49,30.67,2423800,30.28
2011-12-14,31.08,31.08,30.03,30.51,3340100,30.12
2011-12-13,32.08,32.20,30.86,31.06,3346700,30.66
2011-12-12,32.18,32.34,31.24,31.94,3819700,31.53
2011-12-09,31.57,32.78,31.45,32.38,3182800,31.97
2011-12-08,31.49,32.17,31.16,31.53,4883100,31.13
2011-12-07,31.49,32.04,30.93,31.82,4235700,31.41
2011-12-06,32.09,32.24,31.32,31.68,4453000,31.27
2011-12-05,32.08,32.60,31.78,32.01,8272200,31.60
2011-12-02,32.50,33.40,31.09,31.44,13343400,31.04
2011-12-01,28.88,29.36,28.50,29.25,4622700,28.88
2011-11-30,28.45,29.22,28.38,29.07,7195100,28.70
2011-11-29,27.17,27.99,26.90,27.51,6093000,27.16
2011-11-28,25.77,26.88,25.77,26.56,3790100,26.22
2011-11-25,25.44,25.74,24.96,25.00,1595900,24.68
2011-11-23,25.80,26.48,25.43,25.59,4062900,25.26
2011-11-22,25.94,26.05,25.43,25.78,3645200,25.45
2011-11-21,25.98,26.53,25.16,26.11,5188100,25.78
2011-11-18,25.56,26.65,25.56,26.04,5636400,25.71
2011-11-17,26.77,26.80,24.99,25.26,6997300,24.94
2011-11-16,25.76,27.56,25.45,26.82,10541800,26.48
2011-11-15,25.53,25.76,25.02,25.05,7368300,24.73
2011-11-14,26.45,26.74,26.13,26.34,1826500,26.00
2011-11-11,26.09,26.81,25.98,26.62,2733500,26.28
2011-11-10,26.37,26.42,25.02,25.79,5448400,25.46
2011-11-09,27.11,27.31,25.91,26.01,4633600,25.68
2011-11-08,27.89,28.08,27.26,27.79,5848500,27.43
2011-11-07,27.86,28.07,27.27,27.68,5753000,27.33
2011-11-04,28.04,28.39,27.68,27.95,5066200,27.59
2011-11-03,27.54,28.59,27.38,28.44,5686400,28.08
2011-11-02,27.00,27.60,26.42,27.31,6718400,26.96
2011-11-01,25.69,26.86,25.58,26.50,6656300,26.16
2011-10-31,26.94,27.68,26.64,26.64,4426600,26.30
2011-10-28,27.42,27.68,26.96,27.30,5785400,26.95
2011-10-27,28.76,28.96,26.77,27.42,9338700,27.07
2011-10-26,26.94,28.31,26.55,27.91,7399700,27.55
2011-10-25,26.90,27.16,26.27,26.36,3772000,26.02
2011-10-24,26.01,27.36,25.99,27.25,6528300,26.90
2011-10-21,25.31,26.75,25.20,25.97,9147700,25.64
2011-10-20,22.64,26.37,22.64,25.96,14686200,25.63
2011-10-19,26.62,26.77,23.93,24.44,14327400,24.13
2011-10-18,26.15,27.32,24.79,26.94,9146800,26.59
2011-10-17,26.75,27.08,26.10,26.25,6597000,25.91
2011-10-14,29.24,29.25,27.89,28.34,4029200,27.98
2011-10-13,27.08,28.92,27.07,28.66,5091200,28.29
2011-10-12,29.14,29.26,27.36,27.55,8198200,27.20
2011-10-11,27.75,29.48,27.70,28.88,7283100,28.51
2011-10-10,27.50,28.15,27.50,27.93,4691600,27.57
2011-10-07,27.66,27.73,26.65,26.94,4768100,26.59
2011-10-06,26.90,27.93,26.85,27.48,4013300,27.13
2011-10-05,25.46,27.18,25.39,26.95,4806300,26.60
2011-10-04,24.18,25.40,24.00,25.38,3900000,25.05
2011-10-03,25.56,25.68,24.58,24.60,5154100,24.28
2011-09-30,26.19,26.47,25.64,25.72,3544700,25.39
2011-09-29,27.59,27.63,26.13,26.74,4002300,26.40
2011-09-28,28.25,28.32,26.96,27.01,4526100,26.66
2011-09-27,28.32,28.96,27.92,28.09,3122700,27.73
2011-09-26,26.58,27.84,26.36,27.79,4527700,27.43
2011-09-23,25.73,26.60,25.55,26.44,3186300,26.10
2011-09-22,26.68,26.85,25.41,25.96,5420900,25.63
2011-09-21,28.56,28.84,27.64,27.65,4360000,27.30
2011-09-20,29.43,29.52,28.29,28.32,3029800,27.96
2011-09-19,29.61,29.61,28.76,29.27,3202600,28.89
2011-09-16,30.20,30.44,29.64,30.07,2700000,29.68
2011-09-15,29.96,30.21,29.58,30.06,2511100,29.67
2011-09-14,29.35,30.00,28.90,29.60,4673200,29.22
2011-09-13,28.89,29.46,28.64,29.13,3047800,28.76
2011-09-12,28.02,29.22,27.98,28.86,3800300,28.49
2011-09-09,28.02,29.11,27.68,28.46,6546600,28.10
2011-09-08,28.42,28.96,27.96,28.31,3590400,27.95
2011-09-07,27.79,28.67,27.72,28.49,4387100,28.12
2011-09-06,26.50,27.48,26.28,27.44,3678400,27.09
2011-09-02,28.08,28.28,27.20,27.44,3006000,27.09
2011-09-01,29.44,29.92,28.66,28.70,3125900,28.33
2011-08-31,29.75,30.03,29.13,29.49,3843100,29.11
2011-08-30,28.91,29.83,28.62,29.63,3555300,29.25
2011-08-29,28.69,29.11,28.48,29.11,1842900,28.74
2011-08-26,27.44,28.38,27.08,28.29,2736900,27.93
2011-08-25,27.95,28.32,27.48,27.61,3991200,27.26
2011-08-24,27.50,27.95,27.04,27.91,3222300,27.55
2011-08-23,26.64,27.59,26.50,27.57,4150500,27.22
2011-08-22,27.07,27.32,26.40,26.51,4696600,26.17
2011-08-19,27.40,27.80,26.24,26.41,6436700,26.07
2011-08-18,28.48,28.73,26.75,27.83,5645600,27.47
2011-08-17,31.35,31.36,29.56,30.00,4125400,29.62
2011-08-16,31.21,31.56,30.71,31.06,3813200,30.66
2011-08-15,30.92,31.47,30.81,31.47,3097200,31.07
2011-08-12,30.75,31.32,30.52,30.70,4305100,30.31
2011-08-11,29.36,30.97,29.35,30.46,5528900,30.07
2011-08-10,29.54,30.12,28.81,29.11,7510000,28.74
2011-08-09,29.32,30.42,28.67,30.32,9052400,29.93
2011-08-08,29.19,29.94,28.05,29.11,10043800,28.74
2011-08-05,31.60,31.70,29.68,30.54,6862100,30.15
2011-08-04,32.65,32.65,30.94,31.00,4397900,30.60
2011-08-03,32.80,33.18,31.83,33.15,5672600,32.73
2011-08-02,34.14,34.42,32.78,32.78,4988400,32.36
2011-08-01,35.00,35.37,34.16,34.55,3340900,34.11
2011-07-29,35.01,35.42,34.36,34.46,4551600,34.02
2011-07-28,35.65,36.04,35.23,35.34,2451600,34.89
2011-07-27,36.24,36.34,35.29,35.51,3781800,35.05
2011-07-26,37.01,37.20,36.34,36.45,4777600,35.98
2011-07-25,37.90,37.90,36.82,36.90,4424000,36.43
2011-07-22,35.51,38.27,35.40,38.04,10238900,37.55
2011-07-21,36.00,36.03,34.70,35.13,11067500,34.68
2011-07-20,37.98,38.38,37.41,38.08,3747100,37.59
2011-07-19,37.05,37.99,37.04,37.73,2539000,37.25
2011-07-18,37.24,37.39,36.43,36.74,2014900,36.27
2011-07-15,37.32,37.52,37.06,37.27,2443300,36.79
2011-07-14,37.44,37.79,36.79,37.06,2344800,36.59
2011-07-13,37.32,37.86,37.18,37.28,1671900,36.80
2011-07-12,37.35,37.51,36.83,37.02,2219200,36.55
2011-07-11,37.93,38.10,37.05,37.21,3295800,36.73
2011-07-08,38.33,38.69,38.10,38.52,3450700,38.03
2011-07-07,38.50,39.02,37.93,38.51,3899200,38.02
2011-07-06,36.80,37.73,36.74,37.39,3502700,36.91
2011-07-05,36.50,36.86,36.33,36.78,2310800,36.31
2011-07-01,36.23,36.75,36.07,36.64,2137800,36.17
2011-06-30,36.05,36.95,36.05,36.38,3151700,35.91
2011-06-29,35.71,35.98,35.42,35.93,2701900,35.47
2011-06-28,35.14,35.63,35.06,35.59,2647500,35.13
2011-06-27,35.20,35.30,34.65,34.90,3531100,34.45
2011-06-24,37.01,37.01,35.05,35.18,6791800,34.73
2011-06-23,34.16,37.09,34.16,37.01,6830800,36.54
2011-06-22,34.57,35.29,34.50,34.57,2578800,34.13
2011-06-21,34.05,35.19,33.87,34.81,2196100,34.36
