Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,35.34,35.38,34.96,34.96,825600,33.83
2011-12-29,35.16,35.33,35.06,35.29,805800,34.15
2011-12-28,35.24,35.24,35.00,35.02,958700,33.89
2011-12-27,34.81,35.20,34.76,35.17,651800,34.04
2011-12-23,34.80,34.89,34.62,34.76,727700,33.64
2011-12-22,34.64,34.79,34.34,34.51,1693700,33.40
2011-12-21,34.11,34.55,34.10,34.55,1639500,33.44
2011-12-20,33.90,34.23,33.80,34.15,1976100,33.05
2011-12-19,33.58,33.85,33.53,33.70,2165600,32.62
2011-12-16,33.41,33.61,33.28,33.44,1840500,32.36
2011-12-15,32.79,33.36,32.70,33.26,1630500,32.19
2011-12-14,32.85,33.00,32.48,32.48,1553200,31.43
2011-12-13,32.88,33.29,32.77,32.92,1025200,31.86
2011-12-12,32.89,33.00,32.50,32.70,1191500,31.65
2011-12-09,32.68,33.13,32.59,33.07,1304400,32.01
2011-12-08,32.88,32.91,32.40,32.49,1274500,31.44
2011-12-07,32.97,33.07,32.57,32.94,1512200,31.88
2011-12-06,33.14,33.30,33.00,33.09,1362000,32.03
2011-12-05,33.33,33.51,32.88,33.05,1384200,31.99
2011-12-02,33.48,33.63,32.94,32.96,1846000,31.90
2011-12-01,33.24,33.54,33.09,33.26,1472800,32.19
2011-11-30,32.95,33.22,32.85,33.18,1598800,32.11
2011-11-29,32.06,32.49,31.97,32.35,1391400,31.31
2011-11-28,32.47,32.51,31.85,32.00,1283200,30.97
2011-11-25,31.41,31.96,31.41,31.91,1070300,30.88
2011-11-23,31.58,31.74,31.30,31.50,1209000,30.49
2011-11-22,32.20,32.25,31.69,31.80,1357200,30.78
2011-11-21,32.41,32.46,31.89,32.18,1433500,31.14
2011-11-18,32.52,32.81,32.48,32.63,1309600,31.58
2011-11-17,32.49,32.68,32.06,32.34,1465000,31.30
2011-11-16,32.65,33.01,32.48,32.61,2139600,31.56
2011-11-15,32.55,32.97,32.42,32.90,1374800,31.84
2011-11-14,32.97,33.23,32.55,32.59,968000,31.54
