Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,69.71,70.06,69.40,69.58,997600,67.64
2011-12-29,69.62,70.14,69.45,69.94,1070900,67.99
2011-12-28,68.78,69.90,68.32,69.49,1255800,67.55
2011-12-27,68.70,69.21,68.28,68.93,881300,67.01
2011-12-23,68.34,68.96,68.05,68.74,656100,66.83
2011-12-22,68.61,68.89,68.35,68.46,1279500,66.55
2011-12-21,68.14,68.78,67.85,68.45,1734000,66.54
2011-12-20,67.37,68.76,67.21,68.70,1545800,66.79
2011-12-19,66.51,67.20,65.77,66.06,1305400,64.22
2011-12-16,66.78,67.33,65.95,66.16,2038700,64.32
2011-12-15,66.60,66.83,66.13,66.29,1280400,64.44
2011-12-14,67.00,67.46,65.80,66.01,1225900,64.17
2011-12-13,68.66,68.98,67.11,67.51,920700,65.63
2011-12-12,68.53,68.53,67.62,68.22,750900,66.32
2011-12-09,67.46,69.35,67.06,69.11,1203500,67.18
2011-12-08,68.34,68.39,66.58,67.05,1438000,65.18
2011-12-07,69.26,69.50,67.43,68.50,1498600,66.59
2011-12-06,69.27,70.10,69.16,69.83,1255900,67.88
2011-12-05,69.43,69.66,68.67,69.32,937500,67.39
2011-12-02,68.29,69.32,68.26,68.37,936900,66.47
2011-12-01,67.80,68.37,67.23,67.85,1355600,65.96
2011-11-30,66.51,68.83,66.51,68.10,3501900,66.20
2011-11-29,65.52,65.93,64.88,65.19,1473700,63.37
2011-11-28,65.72,66.16,64.97,65.53,1353700,63.70
2011-11-25,63.15,64.25,63.00,63.55,728300,61.78
2011-11-23,64.44,64.76,63.18,63.23,1403600,61.47
2011-11-22,63.47,66.04,63.26,65.10,1748300,63.29
2011-11-21,64.42,64.64,62.77,63.78,1942600,62.00
2011-11-18,66.25,66.72,65.36,65.42,2088200,63.60
2011-11-17,67.00,67.31,65.18,65.86,1748700,64.03
2011-11-16,67.54,68.46,66.45,66.85,1581200,64.99
2011-11-15,67.48,68.52,66.88,68.33,1193600,66.43
2011-11-14,68.50,68.74,67.00,67.61,1052100,65.73
2011-11-11,67.86,68.95,67.53,68.70,1273400,66.79
2011-11-10,67.50,67.73,65.60,67.13,1523700,65.26
2011-11-09,67.53,68.23,66.63,66.78,1919800,64.92
2011-11-08,68.90,68.97,67.86,68.51,2605100,66.60
2011-11-07,69.03,69.05,67.91,68.32,2634500,66.42
2011-11-04,68.68,69.13,68.12,68.67,2677100,66.76
2011-11-03,67.57,69.63,66.44,69.15,5593300,67.22
2011-11-02,70.54,71.25,69.40,70.56,3382700,68.59
2011-11-01,70.00,70.59,68.25,69.51,2709300,67.57
2011-10-31,72.72,73.34,72.12,72.12,1679700,70.11
2011-10-28,74.00,74.20,72.86,73.65,1622100,71.60
2011-10-27,72.94,74.45,72.57,74.20,2122500,72.13
2011-10-26,70.65,71.49,69.25,71.05,1704900,69.07
2011-10-25,73.18,73.65,70.17,70.22,1978700,68.26
2011-10-24,72.00,74.00,71.90,73.95,1491500,71.89
2011-10-21,71.66,72.16,71.10,72.00,1198500,69.99
2011-10-20,71.43,72.01,69.96,70.89,1108800,68.92
2011-10-19,70.68,72.93,70.50,71.02,2338300,69.04
2011-10-18,67.83,69.60,67.15,69.23,856700,67.30
2011-10-17,68.96,69.44,67.51,67.70,1030200,65.81
2011-10-14,68.41,69.12,67.85,69.12,1005900,67.19
2011-10-13,68.53,69.00,66.76,67.69,1262200,65.80
2011-10-12,69.06,69.75,68.38,68.45,1467300,66.54
2011-10-11,68.86,68.87,67.01,68.38,1724400,66.48
2011-10-10,67.60,69.50,67.41,69.33,1608200,67.40
2011-10-07,67.56,67.80,65.83,66.80,1642400,64.94
2011-10-06,65.21,67.49,64.34,67.34,2508300,65.46
2011-10-05,63.43,65.30,61.66,65.22,3003700,63.40
2011-10-04,61.53,63.60,60.39,63.47,3862800,61.70
2011-10-03,65.21,66.60,62.36,62.44,3008700,60.70
