Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,47.59,47.88,47.25,47.45,1682900,46.20
2011-12-29,46.49,47.42,46.40,47.32,2094300,46.07
2011-12-28,46.90,48.00,46.06,46.37,2669700,45.14
2011-12-27,50.34,50.34,46.56,46.62,4245300,45.39
2011-12-23,50.79,51.68,50.76,51.19,1119800,49.84
2011-12-22,49.30,50.79,49.15,50.56,1599100,49.22
2011-12-21,48.14,49.38,47.64,49.14,1522700,47.84
2011-12-20,46.22,48.26,46.22,48.16,1505100,46.89
2011-12-19,46.81,47.18,45.22,45.37,1764800,44.17
2011-12-16,46.94,47.25,46.01,46.64,2087300,45.41
2011-12-15,47.55,47.74,46.24,46.63,1966600,45.40
2011-12-14,47.52,47.95,46.63,46.76,1666700,45.52
2011-12-13,49.71,50.41,47.52,47.86,2240000,46.60
2011-12-12,49.22,49.46,48.27,49.41,2480000,48.10
2011-12-09,49.07,49.98,49.03,49.79,1201400,48.47
2011-12-08,49.19,49.68,48.52,48.84,1354600,47.55
2011-12-07,48.79,50.30,48.13,49.64,1569900,48.33
2011-12-06,49.70,50.01,48.99,49.07,1605400,47.77
2011-12-05,50.35,50.68,49.44,49.75,1803200,48.44
2011-12-02,49.67,50.81,49.35,49.45,2335400,48.14
2011-12-01,49.10,49.85,48.45,49.00,1906500,47.71
2011-11-30,48.34,49.32,48.05,49.06,2151900,47.76
2011-11-29,47.18,47.40,45.88,46.74,2706600,45.51
2011-11-28,47.60,48.30,47.19,47.93,1645000,46.66
2011-11-25,46.31,47.11,46.02,46.05,561500,44.83
2011-11-23,47.17,47.65,46.28,46.36,1363600,45.14
2011-11-22,48.30,48.68,47.20,47.89,1472500,46.62
2011-11-21,49.80,49.90,47.83,48.49,1920500,47.21
2011-11-18,50.68,50.98,49.93,50.68,1630800,49.34
2011-11-17,51.84,52.06,49.98,50.31,1623700,48.98
2011-11-16,52.44,53.22,51.65,51.85,1140200,50.48
2011-11-15,53.77,53.78,52.79,53.45,1653200,51.55
2011-11-14,54.30,54.85,53.37,53.79,1544300,51.88
2011-11-11,53.64,54.76,53.43,54.59,1495800,52.65
2011-11-10,53.34,54.12,52.18,53.26,2284100,51.37
2011-11-09,52.28,53.05,52.05,52.64,2028000,50.77
2011-11-08,52.69,53.46,51.79,53.30,1472500,51.41
2011-11-07,51.44,52.47,50.77,52.40,1397600,50.54
2011-11-04,51.09,51.75,50.31,51.64,1292800,49.81
2011-11-03,51.53,51.69,49.42,51.52,1704900,49.69
2011-11-02,50.52,51.44,49.90,50.84,1728900,49.03
2011-11-01,49.34,50.71,48.75,49.87,3370000,48.10
2011-10-31,51.34,51.92,50.53,50.81,3179500,49.00
2011-10-28,53.39,54.60,51.77,51.80,8701800,49.96
2011-10-27,60.17,62.00,59.92,60.47,2631500,58.32
2011-10-26,57.98,59.30,56.93,58.54,1556200,56.46
2011-10-25,58.78,58.78,57.11,57.22,1538100,55.19
2011-10-24,57.71,59.50,57.52,59.12,1881600,57.02
2011-10-21,55.88,57.41,55.86,57.40,1493000,55.36
2011-10-20,55.46,55.85,53.89,55.08,1467300,53.12
2011-10-19,55.09,56.10,54.92,55.36,1400700,53.39
2011-10-18,53.69,55.52,51.52,55.21,3094400,53.25
2011-10-17,57.56,57.56,54.82,54.98,1489600,53.03
2011-10-14,57.66,58.19,56.68,57.91,1056300,55.85
2011-10-13,57.40,57.74,55.60,56.84,1442900,54.82
2011-10-12,56.35,59.58,55.67,57.69,2933800,55.64
2011-10-11,55.30,56.24,55.01,55.99,869700,54.00
2011-10-10,54.75,55.74,54.40,55.62,911400,53.64
2011-10-07,55.71,56.63,52.75,53.54,1712300,51.64
2011-10-06,54.13,55.62,53.93,55.21,1654600,53.25
2011-10-05,52.18,54.25,51.72,54.10,1837300,52.18
2011-10-04,47.64,52.04,47.48,51.96,2600000,50.11
2011-10-03,49.46,50.46,48.48,48.49,3009900,46.77
2011-09-30,50.09,51.50,49.52,49.91,1537100,48.14
2011-09-29,51.57,52.72,49.54,51.09,2271400,49.27
2011-09-28,53.49,53.62,50.22,50.41,1877100,48.62
2011-09-27,53.51,54.89,52.62,53.24,1815400,51.35
2011-09-26,50.45,52.42,50.01,52.31,1832100,50.45
2011-09-23,47.52,50.85,47.52,50.00,2217900,48.22
2011-09-22,48.42,49.12,47.35,48.01,3024200,46.30
2011-09-21,51.55,52.35,50.01,50.02,1719300,48.24
2011-09-20,53.20,54.06,51.44,51.49,1514800,49.66
2011-09-19,52.47,53.37,52.13,52.99,1800500,51.11
2011-09-16,54.80,55.85,53.30,53.60,2279400,51.70
2011-09-15,54.89,54.89,53.37,54.55,1424600,52.61
2011-09-14,53.33,54.90,52.38,54.12,1666500,52.20
2011-09-13,52.52,54.00,52.30,53.27,1584300,51.38
2011-09-12,51.74,52.94,50.92,52.35,1912800,50.49
2011-09-09,53.61,54.02,51.91,52.54,2770100,50.67
2011-09-08,56.16,56.60,53.74,54.01,3091100,52.09
2011-09-07,56.78,57.19,56.16,56.85,2649500,54.83
2011-09-06,55.97,56.55,54.25,55.82,2576100,53.84
2011-09-02,59.30,59.97,57.67,58.36,1274300,56.29
2011-09-01,62.69,62.85,60.65,60.74,1510400,58.58
2011-08-31,63.41,64.39,62.26,62.69,1498900,60.46
2011-08-30,61.95,63.56,60.42,63.22,2766200,60.97
2011-08-29,59.90,62.40,59.84,62.10,1931000,59.89
2011-08-26,56.42,59.59,56.21,58.73,1648700,56.64
2011-08-25,58.64,58.86,56.63,56.83,2301300,54.81
2011-08-24,56.32,58.55,56.21,58.35,2313600,56.28
2011-08-23,56.07,57.16,55.00,57.15,2426700,54.64
2011-08-22,57.83,57.90,55.53,55.71,2376900,53.26
2011-08-19,56.19,58.43,56.19,56.47,2398000,53.99
2011-08-18,58.32,58.47,56.68,57.20,2859700,54.69
2011-08-17,61.40,63.09,59.80,60.11,2464400,57.47
2011-08-16,62.78,63.27,61.03,61.11,2139200,58.42
2011-08-15,63.09,63.96,62.10,63.46,1812100,60.67
2011-08-12,61.36,64.02,61.16,62.59,2144100,59.84
2011-08-11,57.87,62.20,57.31,61.15,2476500,58.46
2011-08-10,58.57,59.77,57.26,57.42,2575300,54.90
2011-08-09,59.85,60.25,55.91,59.84,3227200,57.21
2011-08-08,64.42,64.65,58.67,58.84,4889000,56.25
2011-08-05,65.53,67.06,64.00,66.36,2983100,63.44
2011-08-04,65.90,66.00,64.01,64.63,2865000,61.79
2011-08-03,65.30,67.00,64.19,66.92,2094700,63.98
2011-08-02,67.07,67.29,65.08,65.13,2418400,62.27
2011-08-01,70.21,70.25,67.26,67.84,1554900,64.86
2011-07-29,69.61,70.21,67.77,69.23,1969500,66.19
2011-07-28,71.56,72.22,70.21,70.35,1574600,67.26
2011-07-27,71.32,72.28,70.85,71.38,1829600,68.24
2011-07-26,71.89,72.50,71.50,71.63,1348700,68.48
2011-07-25,71.97,72.56,71.57,71.78,1675200,68.62
2011-07-22,72.95,73.63,72.35,72.49,1729500,69.30
2011-07-21,74.40,74.64,72.01,72.78,4872700,69.58
2011-07-20,75.12,75.90,74.92,75.64,1698200,72.31
2011-07-19,74.97,75.57,74.27,75.07,2660200,71.77
2011-07-18,75.67,76.97,75.22,75.60,1191700,72.28
2011-07-15,77.02,77.02,75.31,75.83,1376700,72.50
2011-07-14,78.48,78.51,76.50,76.63,1100500,73.26
2011-07-13,78.88,79.80,78.01,78.14,785900,74.70
2011-07-12,78.67,79.50,78.13,78.18,891700,74.74
2011-07-11,80.25,80.48,78.39,78.73,1609400,75.27
2011-07-08,81.28,81.44,80.40,81.06,966500,77.50
2011-07-07,81.87,82.71,81.70,82.00,1232100,78.39
2011-07-06,81.33,81.52,80.71,80.93,1083000,77.37
2011-07-05,82.75,82.75,81.13,81.81,920400,78.21
2011-07-01,81.36,82.99,80.75,82.78,987100,79.14
2011-06-30,80.79,81.52,80.39,81.32,1094900,77.74
2011-06-29,79.60,80.77,79.31,80.49,1934800,76.95
2011-06-28,77.59,79.96,77.25,79.33,1831100,75.84
2011-06-27,76.65,77.55,76.58,77.00,754500,73.61
2011-06-24,77.94,78.23,76.43,76.76,1298300,73.39
2011-06-23,74.55,77.90,73.88,77.78,3179600,74.36
2011-06-22,77.62,78.23,77.10,77.22,1201500,73.82
2011-06-21,78.05,78.22,77.55,78.04,2082400,74.61
2011-06-20,75.89,77.81,75.71,77.70,1347800,74.28
2011-06-17,75.93,76.30,75.42,76.05,1402900,72.71
2011-06-16,73.60,75.35,73.53,75.29,1914800,71.98
2011-06-15,73.77,74.25,72.68,73.56,1308800,70.33
2011-06-14,74.55,75.66,74.01,74.37,1448700,71.10
2011-06-13,73.66,74.16,72.79,73.66,1645500,70.42
2011-06-10,74.40,74.52,72.48,72.98,1819700,69.77
2011-06-09,74.78,75.12,74.00,74.56,1242300,71.28
2011-06-08,74.93,75.03,73.99,74.57,1582900,71.29
2011-06-07,75.57,75.76,74.60,75.00,1695800,71.70
2011-06-06,76.78,76.88,74.68,75.02,2198100,71.72
2011-06-03,79.70,79.81,76.33,76.98,4139800,73.60
2011-06-02,82.41,82.72,80.90,80.95,962400,77.39
2011-06-01,83.42,84.06,82.07,82.16,2227800,78.55
2011-05-31,83.62,83.94,82.75,83.80,1106000,80.12
2011-05-27,82.42,82.99,81.92,82.96,638000,79.31
2011-05-26,81.78,82.58,81.39,82.25,957000,78.63
2011-05-25,82.02,82.36,80.07,82.02,1261400,78.41
2011-05-24,80.78,81.39,80.25,80.35,944000,76.82
2011-05-23,81.02,81.47,80.34,80.54,1403700,77.00
2011-05-20,82.71,82.71,81.54,81.96,945100,78.36
2011-05-19,84.09,84.80,82.40,83.02,1035800,79.37
2011-05-18,84.04,84.21,83.53,83.88,1230000,80.19
2011-05-17,84.75,85.65,84.01,84.36,1509500,80.17
2011-05-16,86.05,86.79,85.02,85.10,1176900,80.88
2011-05-13,85.40,88.00,85.40,86.66,2159300,82.36
2011-05-12,83.78,85.83,83.34,85.39,1280200,81.15
2011-05-11,84.15,84.51,83.31,83.96,961400,79.79
2011-05-10,83.90,84.88,83.52,84.54,1089700,80.34
2011-05-09,84.36,84.61,83.06,83.55,831700,79.40
2011-05-06,85.05,85.72,84.24,84.50,1261300,80.31
2011-05-05,83.22,84.81,83.01,83.89,1016000,79.73
2011-05-04,84.39,84.56,83.00,83.90,1091500,79.74
2011-05-03,85.70,86.10,84.00,84.32,1361800,80.14
2011-05-02,86.78,86.98,85.74,85.92,1131100,81.66
2011-04-29,87.50,87.66,85.80,86.18,1370900,81.90
2011-04-28,88.68,89.13,86.53,87.43,1329100,83.09
2011-04-27,91.00,92.00,85.61,88.65,3853700,84.25
2011-04-26,87.41,87.90,86.51,87.86,1300000,83.50
2011-04-25,87.46,88.00,86.24,87.22,614400,82.89
2011-04-21,86.25,87.55,85.76,87.31,623500,82.98
2011-04-20,87.23,87.56,85.54,86.24,1212100,81.96
2011-04-19,85.29,87.18,85.29,86.10,1195100,81.83
2011-04-18,84.42,85.27,83.82,84.88,1016900,80.67
2011-04-15,84.82,86.22,84.38,85.70,1044500,81.45
2011-04-14,84.00,84.84,83.19,84.74,817100,80.53
2011-04-13,84.72,85.19,83.80,84.64,1211000,80.44
2011-04-12,82.71,84.58,82.49,84.34,797400,80.15
2011-04-11,82.63,83.45,82.54,83.18,838000,79.05
2011-04-08,84.54,84.92,82.21,82.58,951100,78.48
2011-04-07,84.22,84.98,83.50,84.19,554000,80.01
2011-04-06,85.41,85.57,84.00,84.49,582800,80.30
2011-04-05,84.90,85.47,84.10,84.76,917500,80.55
2011-04-04,86.11,86.52,84.90,85.16,1196100,80.93
2011-04-01,85.94,87.00,85.77,86.03,1940600,81.76
2011-03-31,83.95,87.19,83.95,85.36,2640900,81.12
2011-03-30,81.89,84.27,81.87,84.19,1309500,80.01
2011-03-29,81.41,81.68,80.61,81.54,780400,77.49
2011-03-28,82.19,82.61,81.38,81.40,576000,77.36
2011-03-25,81.42,83.03,81.35,82.09,625600,78.02
2011-03-24,81.28,81.70,80.18,81.33,947400,77.29
2011-03-23,80.01,81.11,79.30,80.78,748200,76.77
2011-03-22,80.97,81.11,80.00,80.19,803300,76.21
2011-03-21,81.23,81.50,80.59,80.99,1153700,76.97
2011-03-18,80.77,80.90,79.29,80.10,2472100,76.12
2011-03-17,81.36,81.36,79.15,79.57,1331600,75.62
2011-03-16,81.24,81.50,79.24,79.71,1936100,75.75
2011-03-15,79.78,82.69,79.52,81.41,1834000,77.37
2011-03-14,82.83,83.00,81.27,82.00,1109100,77.93
2011-03-11,82.19,83.85,81.83,83.34,1057900,79.20
2011-03-10,82.67,83.41,81.82,82.27,910800,78.19
2011-03-09,83.18,84.34,82.72,83.85,1089500,79.69
2011-03-08,80.81,84.22,80.76,83.36,2082200,79.22
2011-03-07,81.39,81.99,80.02,80.37,836800,76.38
2011-03-04,82.38,82.39,80.23,80.94,1109000,76.92
2011-03-03,81.20,82.50,80.72,82.35,1277100,78.26
2011-03-02,80.35,81.24,79.88,80.31,1141800,76.32
2011-03-01,82.57,82.73,80.16,80.20,1809100,76.22
2011-02-28,82.08,82.99,81.62,82.50,1630800,78.41
2011-02-25,81.09,81.79,80.68,81.52,1372700,77.47
2011-02-24,81.13,81.45,80.19,80.69,2257600,76.69
2011-02-23,81.03,81.98,79.50,81.01,1418000,76.99
2011-02-22,82.68,82.68,81.16,81.62,1404600,77.16
2011-02-18,83.71,84.36,83.12,83.44,1908600,78.88
2011-02-17,82.71,83.83,82.38,83.28,1466900,78.73
2011-02-16,84.05,84.84,82.40,83.22,2097900,78.67
2011-02-15,85.20,85.65,83.77,83.93,1506800,79.34
2011-02-14,86.47,86.70,85.37,85.45,1181500,80.78
2011-02-11,86.54,87.10,85.46,86.70,1278700,81.96
2011-02-10,85.32,87.65,85.27,87.09,1284800,82.33
2011-02-09,85.92,86.95,85.45,85.80,1170800,81.11
2011-02-08,86.43,86.69,85.10,86.07,1127300,81.37
2011-02-07,86.19,87.32,85.86,86.40,1609100,81.68
2011-02-04,85.73,86.44,84.92,85.97,1729500,81.27
2011-02-03,83.15,85.70,82.53,85.68,3417600,81.00
2011-02-02,80.51,84.77,79.75,83.60,7449300,79.03
2011-02-01,86.18,86.63,84.94,85.42,3523200,80.75
2011-01-31,89.96,90.08,85.37,85.50,4324100,80.83
2011-01-28,91.41,92.28,89.62,89.92,2311700,85.01
2011-01-27,88.92,91.33,88.32,91.28,1686900,86.29
2011-01-26,88.07,89.74,87.33,88.76,1100300,83.91
2011-01-25,87.29,87.98,86.51,87.77,837000,82.97
2011-01-24,88.60,88.60,86.68,87.56,1743400,82.78
2011-01-21,87.35,89.69,87.20,88.45,1967300,83.62
2011-01-20,85.67,87.32,84.94,86.59,1074500,81.86
2011-01-19,87.25,87.34,85.27,85.97,1321900,81.27
2011-01-18,88.04,88.21,86.56,87.23,884700,82.46
2011-01-14,87.32,88.35,87.03,88.24,862100,83.42
2011-01-13,89.47,89.64,87.19,87.47,1413900,82.69
2011-01-12,88.44,89.99,87.62,89.69,1272700,84.79
2011-01-11,88.46,88.89,87.48,87.79,789600,82.99
2011-01-10,87.40,88.13,86.03,87.90,994100,83.10
2011-01-07,88.05,89.18,86.36,87.49,1231800,82.71
2011-01-06,89.62,89.74,87.30,87.86,1506800,83.06
2011-01-05,88.45,90.39,88.10,89.77,884100,84.87
2011-01-04,90.38,90.82,88.28,89.17,970400,84.30
2011-01-03,89.73,90.78,89.42,90.47,1107700,85.53
