Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,11.86,11.89,11.72,11.74,5300500,10.63
2011-12-29,11.76,11.87,11.73,11.85,4150900,10.73
2011-12-28,11.83,11.94,11.70,11.72,6785700,10.61
2011-12-27,12.04,12.20,12.02,12.17,4874200,10.79
2011-12-23,12.02,12.08,11.95,12.01,4717800,10.65
2011-12-22,11.94,12.02,11.86,11.99,4946700,10.63
2011-12-21,11.73,11.87,11.70,11.86,3957900,10.52
2011-12-20,11.72,11.85,11.61,11.72,8043400,10.39
2011-12-19,11.62,11.69,11.45,11.51,6212400,10.21
2011-12-16,11.41,11.59,11.33,11.58,15758500,10.27
2011-12-15,11.38,11.44,11.25,11.38,6029000,10.09
2011-12-14,11.51,11.57,11.27,11.30,8385800,10.02
2011-12-13,11.65,11.77,11.46,11.53,5728500,10.22
2011-12-12,11.66,11.68,11.42,11.63,20676800,10.31
2011-12-09,11.72,11.79,11.61,11.72,19801000,10.39
2011-12-08,11.86,11.89,11.60,11.61,18372000,10.29
2011-12-07,11.78,11.94,11.65,11.88,7092600,10.53
2011-12-06,11.92,11.94,11.78,11.79,7002000,10.45
2011-12-05,11.95,12.05,11.86,11.92,7160600,10.57
2011-12-02,11.88,11.94,11.69,11.76,11129100,10.43
2011-12-01,11.75,11.77,11.64,11.69,10231600,10.36
2011-11-30,11.74,11.82,11.67,11.76,17701700,10.43
2011-11-29,11.36,11.58,11.30,11.50,9150300,10.20
2011-11-28,11.40,11.44,11.23,11.31,6048300,10.03
2011-11-25,11.09,11.24,11.01,11.13,2282800,9.87
2011-11-23,11.19,11.19,11.00,11.08,6692900,9.82
2011-11-22,11.42,11.42,11.15,11.25,7458500,9.97
2011-11-21,11.60,11.60,11.40,11.44,5506000,10.14
2011-11-18,11.75,11.79,11.61,11.64,6321600,10.32
2011-11-17,11.70,11.75,11.60,11.68,9111000,10.36
2011-11-16,11.76,11.96,11.72,11.74,6470700,10.41
2011-11-15,11.77,11.85,11.71,11.80,4189700,10.46
2011-11-14,11.97,12.00,11.75,11.79,5963100,10.45
2011-11-11,11.95,12.01,11.90,11.99,3916000,10.63
2011-11-10,12.07,12.07,11.81,11.83,8136100,10.49
2011-11-09,11.90,11.93,11.77,11.79,7760100,10.45
2011-11-08,12.08,12.10,11.90,12.01,6463800,10.65
2011-11-07,12.03,12.03,11.85,12.00,8251200,10.64
2011-11-04,12.05,12.06,11.59,11.85,14242300,10.51
2011-11-03,12.37,12.60,12.26,12.53,9906100,11.11
2011-11-02,12.10,12.27,12.07,12.26,5954500,10.87
2011-11-01,12.00,12.05,11.91,11.96,5993500,10.60
2011-10-31,12.25,12.35,12.17,12.17,3972300,10.79
2011-10-28,12.22,12.35,12.19,12.27,4295800,10.88
2011-10-27,12.09,12.30,12.04,12.24,8238300,10.85
2011-10-26,11.91,11.96,11.80,11.90,5901500,10.55
2011-10-25,12.04,12.04,11.81,11.83,5210700,10.49
2011-10-24,12.04,12.12,11.96,12.01,6829600,10.65
2011-10-21,12.09,12.10,11.85,12.02,5968500,10.66
2011-10-20,11.99,12.02,11.84,11.98,4789200,10.62
2011-10-19,12.06,12.11,11.95,11.97,5409000,10.61
2011-10-18,11.97,12.09,11.85,12.01,6921700,10.65
2011-10-17,11.89,12.00,11.79,11.91,7049600,10.56
2011-10-14,11.69,11.86,11.67,11.85,5756600,10.51
2011-10-13,11.65,11.66,11.50,11.60,4478500,10.28
2011-10-12,11.50,11.80,11.50,11.68,5248500,10.36
2011-10-11,11.42,11.52,11.36,11.47,5025300,10.17
2011-10-10,11.34,11.45,11.30,11.42,4393900,10.13
2011-10-07,11.41,11.45,11.18,11.24,5697500,9.97
2011-10-06,11.26,11.33,11.16,11.33,6588200,10.05
2011-10-05,11.10,11.26,11.06,11.24,6162000,9.97
2011-10-04,11.20,11.21,10.88,11.10,17374300,9.84
2011-10-03,11.60,11.74,11.25,11.31,13445800,10.03
2011-09-30,11.80,11.95,11.65,11.65,6288200,10.33
2011-09-29,11.96,12.07,11.63,11.85,7939500,10.51
2011-09-28,12.15,12.20,11.84,11.86,9280600,10.52
2011-09-27,12.69,12.70,12.32,12.37,8514500,10.75
