Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,66.65,66.83,66.25,66.25,1100200,65.01
2011-12-29,66.49,67.47,66.38,66.87,1096100,65.62
2011-12-28,67.77,67.87,66.47,66.52,1274700,65.27
2011-12-27,68.03,68.46,67.58,67.93,1272700,66.66
2011-12-23,67.19,68.13,66.99,68.05,1537200,66.78
2011-12-22,65.93,67.17,65.84,66.78,1669600,65.53
2011-12-21,65.19,65.83,64.80,65.68,2108500,64.45
2011-12-20,64.61,65.60,64.44,65.47,2586200,64.24
2011-12-19,65.04,65.28,63.54,63.64,2702900,62.45
2011-12-16,65.11,65.73,64.52,64.95,5638900,63.73
2011-12-15,64.57,65.38,63.92,64.50,4174800,63.29
2011-12-14,64.14,64.82,63.42,63.52,3211000,62.33
2011-12-13,65.58,66.52,64.34,64.64,3042800,63.43
2011-12-12,66.18,66.56,65.00,65.39,2174100,64.17
2011-12-09,66.42,67.03,65.97,66.50,2961400,65.26
2011-12-08,68.06,68.22,65.87,66.08,3144900,64.84
2011-12-07,67.78,68.91,66.93,68.51,3193800,67.23
2011-12-06,68.39,68.79,67.50,68.21,2743800,66.69
2011-12-05,70.03,70.72,68.26,68.51,3419800,66.98
2011-12-02,70.70,70.70,68.55,68.91,2433900,67.37
2011-12-01,70.19,71.08,69.97,70.08,2063900,68.52
2011-11-30,69.25,70.59,67.68,70.55,2740800,68.98
2011-11-29,66.22,67.64,66.00,67.42,3043300,65.92
2011-11-28,65.19,66.64,64.97,66.07,2042100,64.60
2011-11-25,64.06,64.66,63.68,63.70,1114600,62.28
2011-11-23,66.14,66.27,64.21,64.23,2972600,62.80
2011-11-22,66.85,67.71,66.10,66.85,2379100,65.36
2011-11-21,67.38,67.50,66.23,67.01,2612800,65.51
2011-11-18,68.80,68.99,67.76,68.52,2522900,66.99
2011-11-17,68.15,69.22,67.78,68.26,4596600,66.74
2011-11-16,69.24,69.36,68.07,68.14,2726400,66.62
2011-11-15,70.14,70.45,68.74,70.04,2091200,68.48
2011-11-14,70.52,71.30,69.76,70.30,2057000,68.73
2011-11-11,69.48,71.25,69.48,70.75,2729900,69.17
2011-11-10,67.58,68.79,67.28,68.57,2359500,67.04
2011-11-09,67.74,67.91,66.82,66.96,2195300,65.47
2011-11-08,68.42,69.05,67.28,68.83,1908900,67.29
2011-11-07,67.19,68.21,66.94,68.10,1462900,66.58
2011-11-04,67.20,67.52,66.24,67.42,1296000,65.92
2011-11-03,68.62,68.74,67.31,67.84,2140300,66.33
2011-11-02,68.03,68.50,67.59,67.99,2199100,66.47
2011-11-01,66.99,67.71,66.29,66.79,2713800,65.30
2011-10-31,68.05,70.07,68.05,68.90,2537600,67.36
2011-10-28,70.53,70.53,68.41,68.68,3517400,67.15
2011-10-27,71.23,71.78,69.57,70.58,3067000,69.00
2011-10-26,68.06,70.20,67.40,69.58,4508300,68.03
2011-10-25,68.02,68.71,66.84,67.00,3074800,65.50
2011-10-24,67.03,68.60,67.03,68.45,2501100,66.92
2011-10-21,65.96,67.06,65.75,66.65,2494600,65.16
2011-10-20,64.78,65.40,64.13,65.25,2494000,63.79
2011-10-19,64.33,66.20,64.21,64.90,3349500,63.45
2011-10-18,64.77,64.77,62.57,64.06,5194500,62.63
2011-10-17,66.40,66.92,65.46,65.61,2196700,64.15
2011-10-14,66.93,67.31,66.25,67.07,1686300,65.57
2011-10-13,66.57,66.90,65.51,66.05,2219100,64.58
2011-10-12,67.49,68.25,66.97,67.00,3440200,65.50
2011-10-11,67.14,67.59,66.74,66.99,2734600,65.50
2011-10-10,66.78,67.71,66.23,67.53,2668200,66.02
2011-10-07,65.21,66.50,64.26,65.79,3391200,64.32
2011-10-06,64.06,64.96,63.60,64.96,2681600,63.51
2011-10-05,62.99,64.14,62.72,63.95,3318700,62.52
2011-10-04,61.34,63.20,60.44,63.03,3300000,61.62
2011-10-03,65.43,66.31,61.83,62.32,3898300,60.93
2011-09-30,65.37,66.94,64.49,65.28,4245500,63.82
2011-09-29,66.26,66.76,63.84,65.37,3115900,63.91
2011-09-28,67.00,67.28,64.76,64.83,2850700,63.38
2011-09-27,66.98,67.99,66.13,67.06,3549500,65.56
2011-09-26,64.65,66.00,63.89,65.81,3972000,64.34
2011-09-23,63.45,64.69,62.97,64.05,3632600,62.62
2011-09-22,63.27,65.06,62.84,63.63,4311200,62.21
2011-09-21,67.32,67.51,65.07,65.14,2047500,63.69
2011-09-20,67.60,68.83,65.89,67.26,3428500,65.76
2011-09-19,66.37,67.42,66.02,67.10,1988300,65.60
2011-09-16,67.66,67.83,66.10,67.70,4530500,66.19
2011-09-15,67.10,67.43,65.30,67.35,3693300,65.85
2011-09-14,66.35,67.32,64.50,66.48,4228100,65.00
2011-09-13,63.69,66.65,63.50,65.89,6461400,64.42
2011-09-12,61.01,63.39,60.78,63.38,3826200,61.97
2011-09-09,62.55,63.11,61.17,61.81,3247200,60.43
2011-09-08,63.62,64.79,63.11,63.18,2842200,61.77
2011-09-07,62.76,64.42,62.50,64.14,3098600,62.71
2011-09-06,60.17,62.28,59.74,61.90,3259200,60.27
2011-09-02,62.32,63.21,62.06,62.19,3095900,60.56
2011-09-01,64.10,65.82,63.43,63.50,4226300,61.83
2011-08-31,63.14,64.99,62.76,63.30,3634900,61.64
2011-08-30,62.38,63.21,61.65,62.78,3128300,61.13
2011-08-29,61.16,62.44,61.00,62.42,2003700,60.78
2011-08-26,59.24,60.83,57.70,60.43,1824900,58.84
2011-08-25,60.93,61.50,59.33,59.58,2097400,58.02
2011-08-24,58.87,60.78,58.54,60.74,2599200,59.14
2011-08-23,57.90,59.54,57.08,59.48,3512100,57.92
2011-08-22,59.41,59.89,57.44,57.57,2592600,56.06
2011-08-19,58.57,60.24,57.80,58.09,3773700,56.56
2011-08-18,60.12,60.38,58.32,58.93,4575500,57.38
2011-08-17,62.36,63.03,61.14,61.79,1852900,60.17
2011-08-16,61.71,62.71,60.91,62.05,3237000,60.42
2011-08-15,61.04,62.32,60.63,62.29,2782700,60.65
2011-08-12,61.44,61.66,59.73,60.38,4288000,58.79
2011-08-11,57.46,61.39,56.94,60.71,6217100,59.12
2011-08-10,59.10,59.85,57.08,57.26,4649600,55.76
2011-08-09,58.32,60.38,56.61,60.25,6318100,58.67
2011-08-08,60.19,60.95,56.94,57.01,7367600,55.51
2011-08-05,62.91,63.05,60.77,61.95,4979500,60.32
2011-08-04,63.63,64.55,62.23,62.26,5871900,60.62
2011-08-03,64.12,64.80,62.15,64.73,6235000,63.03
2011-08-02,64.91,65.60,63.94,63.94,4338500,62.26
2011-08-01,68.32,68.55,64.28,65.44,8066800,63.72
2011-07-29,67.72,68.02,66.68,67.55,4887400,65.78
2011-07-28,68.56,69.19,68.02,68.39,5837900,66.59
2011-07-27,71.19,71.26,68.35,68.70,9837300,66.90
2011-07-26,74.01,74.42,73.40,73.56,2799600,71.63
2011-07-25,73.60,74.58,73.51,73.81,2335300,71.87
2011-07-22,74.50,74.90,73.98,74.41,2104200,72.46
2011-07-21,74.27,75.69,74.13,74.65,3220200,72.69
2011-07-20,74.17,74.28,72.79,73.65,3458000,71.72
2011-07-19,74.49,74.49,73.05,73.54,4924000,71.61
2011-07-18,74.50,75.08,73.50,74.25,3534100,72.30
2011-07-15,76.96,76.96,74.78,74.90,4013200,72.93
2011-07-14,76.95,77.24,76.37,76.56,2554700,74.55
2011-07-13,76.15,77.61,76.07,76.68,2144200,74.67
2011-07-12,75.07,76.86,75.06,75.95,2984600,73.96
2011-07-11,76.66,76.72,74.77,75.21,4119900,73.23
2011-07-08,77.77,78.11,76.74,78.00,2802400,75.95
2011-07-07,78.85,80.08,78.00,78.27,4359800,76.21
2011-07-06,80.15,80.71,79.74,79.97,1895200,77.87
2011-07-05,80.78,80.78,79.52,80.22,1659100,78.11
2011-07-01,79.00,80.90,79.00,80.79,2226600,78.67
2011-06-30,79.29,79.81,78.63,78.77,2121300,76.70
2011-06-29,79.25,79.67,78.53,79.21,1923400,77.13
2011-06-28,78.07,79.42,78.00,79.09,2442400,77.01
2011-06-27,77.12,77.98,76.46,77.77,2209800,75.73
2011-06-24,77.83,77.98,75.99,77.33,3812800,75.30
2011-06-23,77.59,77.86,75.52,77.72,2861200,75.68
2011-06-22,78.93,79.69,77.75,77.81,2137000,75.77
2011-06-21,78.92,79.93,78.55,79.25,2441000,77.17
2011-06-20,75.80,78.76,75.79,78.69,2588800,76.62
2011-06-17,76.84,77.04,75.95,76.24,3767900,74.24
2011-06-16,76.20,76.45,75.10,76.27,2177800,74.27
2011-06-15,77.15,78.03,75.63,76.18,2664900,74.18
2011-06-14,76.88,78.48,76.56,77.74,2787800,75.70
2011-06-13,76.13,76.95,76.02,76.13,2112200,74.13
2011-06-10,77.42,77.44,75.84,76.34,2868300,74.33
2011-06-09,76.08,78.00,75.70,77.75,3608100,75.71
2011-06-08,75.42,76.06,74.66,75.52,3269900,73.54
2011-06-07,75.75,76.97,75.60,76.18,2299500,73.94
2011-06-06,75.79,76.19,75.31,75.44,2328600,73.22
2011-06-03,77.10,77.42,76.55,76.68,2724800,74.42
2011-06-02,77.11,78.14,76.81,78.00,2164200,75.70
2011-06-01,77.96,78.20,77.08,77.17,2577800,74.90
