Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.84,32.87,32.55,32.71,1873000,31.34
2011-12-29,32.50,32.85,32.45,32.78,1830700,31.41
2011-12-28,32.92,32.98,32.27,32.41,2107400,31.06
2011-12-27,32.74,33.00,32.63,32.85,1765000,31.48
2011-12-23,32.50,32.90,32.34,32.73,2387500,31.36
2011-12-22,32.19,32.80,32.17,32.39,2759400,31.04
2011-12-21,31.91,32.10,31.67,32.06,2358900,30.72
2011-12-20,31.51,31.90,31.45,31.84,2807600,30.51
2011-12-19,31.26,31.50,31.01,31.05,2730300,29.75
2011-12-16,30.98,31.21,30.81,31.00,6489400,29.71
2011-12-15,32.02,32.03,30.89,30.89,5557400,29.60
2011-12-14,31.26,31.85,31.20,31.62,4121900,30.30
2011-12-13,31.89,32.27,31.11,31.25,3922700,29.94
2011-12-12,31.45,31.85,31.27,31.71,3643800,30.39
2011-12-09,30.91,31.85,30.86,31.66,3867200,30.34
2011-12-08,31.17,31.28,30.51,30.57,4182400,29.29
2011-12-07,31.53,31.61,31.17,31.49,2053100,30.17
2011-12-06,31.59,31.74,31.46,31.61,2179100,30.29
2011-12-05,31.58,31.67,31.38,31.53,4080400,30.21
2011-12-02,31.51,31.67,31.10,31.23,3842200,29.93
2011-12-01,31.29,31.50,31.19,31.24,2856200,29.94
2011-11-30,30.95,31.32,30.93,31.30,5000700,29.99
2011-11-29,30.54,30.59,30.38,30.42,2798900,29.15
2011-11-28,30.47,30.72,30.16,30.41,6303400,29.14
2011-11-25,30.26,30.68,30.20,30.31,3505900,28.72
2011-11-23,30.39,30.77,30.15,30.25,6236800,28.66
2011-11-22,29.93,30.79,29.81,30.54,7882200,28.94
2011-11-21,30.74,30.74,29.77,29.83,16226700,28.26
2011-11-18,31.11,31.31,30.78,30.97,11678800,29.34
2011-11-17,31.13,31.14,30.60,30.87,7178200,29.25
2011-11-16,30.99,31.55,30.92,31.14,2818700,29.50
2011-11-15,31.09,31.36,30.91,31.18,2961500,29.54
2011-11-14,31.65,31.72,31.04,31.16,2583100,29.52
2011-11-11,31.38,31.93,31.37,31.84,2200500,30.17
2011-11-10,31.40,31.54,30.99,31.16,3072100,29.52
2011-11-09,31.12,31.46,30.91,30.99,4203600,29.36
2011-11-08,31.68,31.69,31.05,31.67,4042300,30.01
2011-11-07,31.40,31.68,31.12,31.65,3275300,29.99
2011-11-04,31.55,31.61,31.13,31.50,5111400,29.85
2011-11-03,31.70,31.86,31.13,31.82,6668900,30.15
2011-11-02,31.95,31.95,31.11,31.36,6869100,29.71
2011-11-01,32.42,32.46,31.27,31.37,9175700,29.72
2011-10-31,33.34,33.55,32.90,32.93,5593100,31.20
2011-10-28,33.93,34.16,33.34,33.72,4475600,31.95
2011-10-27,35.10,35.52,33.63,34.07,8782700,32.28
2011-10-26,34.33,34.83,34.02,34.68,5349800,32.86
2011-10-25,34.08,34.33,33.62,33.88,3826100,32.10
2011-10-24,33.90,34.55,33.87,34.33,3532900,32.53
2011-10-21,33.60,33.92,33.33,33.91,4288600,32.13
2011-10-20,33.07,33.36,32.75,33.26,3692800,31.51
2011-10-19,32.92,33.35,32.87,33.01,3432200,31.28
2011-10-18,32.52,33.35,32.18,33.09,3453600,31.35
2011-10-17,32.75,32.85,32.39,32.55,2899900,30.84
2011-10-14,32.91,33.11,32.65,32.92,4428700,31.19
2011-10-13,32.91,32.96,32.37,32.56,5583300,30.85
2011-10-12,33.27,33.61,32.94,33.09,5914000,31.35
2011-10-11,33.49,33.49,33.00,33.12,5020700,31.38
2011-10-10,33.36,33.75,33.28,33.75,2630400,31.98
2011-10-07,33.35,33.47,32.66,32.93,5644100,31.20
2011-10-06,32.56,33.09,32.32,33.09,3411600,31.35
2011-10-05,32.03,32.72,31.75,32.64,4186900,30.93
2011-10-04,30.84,32.03,30.53,31.99,5300000,30.31
2011-10-03,32.45,33.05,31.36,31.36,6094400,29.71
2011-09-30,32.00,33.13,31.96,32.56,6464800,30.85
2011-09-29,32.10,32.47,31.58,32.37,5441300,30.67
2011-09-28,32.45,32.89,31.54,31.55,4839800,29.89
2011-09-27,32.67,33.08,32.29,32.48,7377100,30.77
2011-09-26,31.30,32.10,31.03,32.09,9537500,30.40
2011-09-23,29.44,31.05,29.43,30.81,9655700,29.19
2011-09-22,28.90,29.57,28.77,29.35,11629200,27.81
2011-09-21,31.07,31.11,29.61,29.62,7262000,28.06
2011-09-20,31.30,31.98,31.10,31.14,5944100,29.50
2011-09-19,31.56,31.58,30.89,31.25,6083400,29.61
2011-09-16,32.44,32.47,31.70,32.01,6291100,30.33
2011-09-15,32.00,32.29,31.75,32.28,4290500,30.58
2011-09-14,31.25,32.12,30.67,31.77,4686100,30.10
2011-09-13,30.83,31.37,30.66,31.15,4427700,29.51
2011-09-12,30.17,30.95,30.05,30.83,5388600,29.21
2011-09-09,30.99,31.14,30.32,30.48,4952400,28.88
2011-09-08,31.25,31.62,31.03,31.20,4055400,29.56
2011-09-07,31.35,31.53,31.06,31.45,5038200,29.80
2011-09-06,30.14,30.89,29.89,30.72,4409400,29.11
2011-09-02,31.68,32.03,30.70,30.71,7775700,29.10
2011-09-01,32.76,33.00,32.04,32.08,6890800,30.40
2011-08-31,33.75,33.83,32.92,33.04,7528200,30.98
2011-08-30,33.59,33.75,33.04,33.47,6069500,31.39
2011-08-29,32.75,33.93,32.75,33.90,12150300,31.79
2011-08-26,32.34,32.76,31.57,32.34,12274100,30.33
2011-08-25,33.22,33.46,32.34,32.48,12939600,30.46
2011-08-24,31.94,33.20,31.92,33.11,8350600,31.05
2011-08-23,30.30,32.13,30.13,32.13,8697500,30.13
2011-08-22,30.01,30.35,29.65,30.12,5740900,28.24
2011-08-19,29.35,29.87,29.13,29.40,5500800,27.57
2011-08-18,30.32,30.43,29.56,29.72,6893300,27.87
2011-08-17,30.76,31.27,30.68,31.20,4862600,29.26
2011-08-16,30.77,30.80,30.27,30.60,4431200,28.69
2011-08-15,31.14,31.42,30.86,30.97,5796500,29.04
2011-08-12,30.94,31.11,30.42,30.79,6052300,28.87
2011-08-11,28.91,31.16,28.75,30.73,9481800,28.82
2011-08-10,29.42,29.78,28.64,28.70,10030000,26.91
2011-08-09,29.03,29.93,27.75,29.40,18354200,27.57
2011-08-08,29.92,30.23,28.08,28.17,13453000,26.42
2011-08-05,30.63,30.79,29.67,30.37,9695800,28.48
2011-08-04,30.70,30.99,30.07,30.07,9952100,28.20
2011-08-03,30.97,31.25,30.08,30.86,8576000,28.94
2011-08-02,31.43,31.70,30.64,30.66,7122500,28.75
2011-08-01,31.80,31.80,31.20,31.48,8932500,29.52
2011-07-29,32.14,32.56,31.49,31.49,12686100,29.53
2011-07-28,34.50,35.03,32.23,32.68,13315100,30.65
2011-07-27,35.61,35.74,35.34,35.51,4781500,33.30
2011-07-26,35.88,36.02,35.56,35.80,2756100,33.57
2011-07-25,35.70,36.15,35.56,35.95,3964300,33.71
2011-07-22,36.53,36.60,35.91,35.97,3251000,33.73
2011-07-21,36.29,36.85,36.24,36.57,3057700,34.29
2011-07-20,36.23,36.51,36.04,36.14,3036100,33.89
2011-07-19,35.78,36.22,35.75,36.06,2923200,33.81
2011-07-18,36.00,36.07,35.63,35.73,3709700,33.51
2011-07-15,36.16,36.30,35.82,36.16,3062500,33.91
2011-07-14,36.62,36.71,36.00,36.05,3402400,33.81
2011-07-13,36.87,36.92,36.49,36.54,3399800,34.26
2011-07-12,36.87,36.87,36.38,36.63,4717200,34.35
2011-07-11,37.34,37.42,37.01,37.15,2466300,34.84
2011-07-08,37.63,37.78,37.43,37.74,2672900,35.39
2011-07-07,37.96,38.06,37.84,38.00,3286300,35.63
2011-07-06,37.60,37.85,37.44,37.73,2588400,35.38
2011-07-05,37.50,37.78,37.39,37.62,2232900,35.28
2011-07-01,37.16,37.68,37.16,37.54,2445600,35.20
2011-06-30,37.09,37.36,36.95,37.27,2798100,34.95
2011-06-29,37.12,37.29,36.96,37.05,3152500,34.74
2011-06-28,36.90,36.94,36.66,36.90,3171200,34.60
2011-06-27,36.82,36.93,36.60,36.82,2088600,34.53
2011-06-24,37.06,37.23,36.67,36.80,2565200,34.51
2011-06-23,36.96,37.10,36.50,37.10,3154700,34.79
2011-06-22,37.31,37.60,37.28,37.29,2209100,34.97
2011-06-21,37.47,37.54,37.26,37.47,2384600,35.14
2011-06-20,36.75,37.55,36.62,37.32,7321800,35.00
2011-06-17,36.70,36.95,36.40,36.74,3545200,34.45
2011-06-16,36.49,36.58,36.25,36.44,3207800,34.17
2011-06-15,36.62,36.70,36.22,36.37,2700200,34.11
2011-06-14,36.84,36.93,36.73,36.84,2382700,34.55
2011-06-13,36.49,36.70,36.36,36.49,2352800,34.22
2011-06-10,36.76,36.78,36.53,36.54,2641900,34.26
2011-06-09,36.80,37.00,36.71,36.91,3362400,34.61
2011-06-08,37.19,37.32,36.71,36.75,5984200,34.46
2011-06-07,37.73,37.76,37.18,37.18,3398600,34.87
2011-06-06,37.92,37.93,37.55,37.55,2260300,35.21
2011-06-03,37.84,38.20,37.79,37.92,2687700,35.56
2011-06-02,38.35,38.48,38.02,38.24,2932800,35.86
2011-06-01,38.88,38.90,38.27,38.39,3296300,36.00
2011-05-31,38.80,38.89,38.65,38.88,2605200,36.46
2011-05-27,38.51,38.94,38.49,38.87,2886800,36.13
2011-05-26,38.09,38.49,38.07,38.40,2237900,35.69
2011-05-25,38.25,38.42,38.06,38.25,2443900,35.55
2011-05-24,38.50,38.55,38.24,38.37,2469700,35.67
2011-05-23,38.56,38.57,38.24,38.43,2208000,35.72
2011-05-20,39.15,39.19,38.74,38.87,1943600,36.13
2011-05-19,39.19,39.43,39.07,39.22,1959800,36.46
2011-05-18,38.65,39.11,38.55,39.06,2220700,36.31
2011-05-17,38.63,38.73,38.41,38.56,2476600,35.84
2011-05-16,38.67,38.86,38.55,38.71,2208800,35.98
2011-05-13,39.07,39.15,38.62,38.75,2303200,36.02
2011-05-12,38.76,39.12,38.66,39.05,2571700,36.30
2011-05-11,39.03,39.10,38.63,38.85,3314000,36.11
2011-05-10,38.90,39.03,38.85,38.99,2064200,36.24
2011-05-09,38.77,38.95,38.55,38.80,2466100,36.07
2011-05-06,38.90,39.31,38.61,38.71,2506700,35.98
2011-05-05,38.86,38.88,38.40,38.57,2674500,35.85
2011-05-04,39.27,39.46,38.94,39.06,5257200,36.31
2011-05-03,39.32,39.47,39.07,39.35,2177700,36.58
2011-05-02,39.55,39.69,39.37,39.47,2434300,36.69
2011-04-29,39.29,39.60,39.09,39.46,2554400,36.68
2011-04-28,39.43,39.69,39.02,39.61,2874400,36.82
2011-04-27,39.20,39.54,39.11,39.46,2464700,36.68
2011-04-26,38.55,39.31,38.55,39.13,3200000,36.37
2011-04-25,38.32,38.63,38.29,38.50,3687100,35.79
2011-04-21,38.30,38.40,38.17,38.38,1783500,35.68
2011-04-20,37.77,38.22,37.67,38.17,2190900,35.48
2011-04-19,37.31,37.47,37.22,37.38,1669000,34.75
2011-04-18,37.50,37.57,37.19,37.33,1846500,34.70
2011-04-15,38.00,38.01,37.68,37.85,2410700,35.18
2011-04-14,37.53,37.89,37.29,37.82,2290500,35.16
2011-04-13,37.67,37.83,37.43,37.59,4780700,34.94
2011-04-12,37.81,37.87,37.59,37.67,3453700,35.02
2011-04-11,37.92,38.02,37.65,37.76,2131000,35.10
2011-04-08,38.19,38.30,37.70,37.92,2427800,35.25
2011-04-07,38.11,38.22,37.91,38.09,2231600,35.41
2011-04-06,37.84,38.31,37.81,38.24,3099600,35.55
2011-04-05,37.75,37.87,37.60,37.74,2207700,35.08
2011-04-04,37.65,37.80,37.54,37.75,1494300,35.09
2011-04-01,37.42,37.71,37.36,37.65,1984300,35.00
2011-03-31,37.10,37.44,37.01,37.34,2422600,34.71
2011-03-30,37.33,37.45,37.14,37.18,2257400,34.56
2011-03-29,37.06,37.23,36.89,37.17,2178400,34.55
2011-03-28,37.25,37.56,37.11,37.12,1961100,34.50
2011-03-25,37.30,37.49,37.05,37.08,2060300,34.47
2011-03-24,37.03,37.17,36.79,37.17,2033100,34.55
2011-03-23,36.64,37.01,36.53,36.96,2280700,34.36
2011-03-22,36.84,37.05,36.73,36.81,2258300,34.22
2011-03-21,36.88,36.92,36.60,36.76,2248700,34.17
2011-03-18,36.63,37.00,36.28,36.52,2764100,33.95
2011-03-17,36.21,36.72,36.09,36.23,2545900,33.68
2011-03-16,36.61,36.64,35.86,36.10,3932400,33.56
2011-03-15,36.34,36.94,36.30,36.73,3218600,34.14
2011-03-14,36.72,37.03,36.67,36.98,2507300,34.37
2011-03-11,36.72,37.14,36.72,36.87,1923700,34.27
2011-03-10,37.04,37.15,36.79,36.82,2425700,34.23
2011-03-09,37.24,37.35,37.02,37.35,2085400,34.72
2011-03-08,37.28,37.65,37.16,37.50,2293800,34.54
2011-03-07,37.33,37.62,37.14,37.24,2856000,34.30
2011-03-04,37.32,38.00,36.96,37.21,2742700,34.27
2011-03-03,37.12,37.32,36.95,37.26,2816700,34.32
2011-03-02,36.77,37.00,36.61,36.84,2408700,33.93
2011-03-01,37.15,37.27,36.70,36.77,3635000,33.87
2011-02-28,37.02,37.13,36.89,37.06,3221600,34.14
2011-02-25,36.97,37.04,36.66,36.88,2468600,33.97
2011-02-24,37.17,37.30,36.57,36.79,4122200,33.89
2011-02-23,37.69,37.72,37.24,37.26,3663900,34.32
2011-02-22,37.76,37.95,37.53,37.70,2781500,34.73
2011-02-18,38.05,38.17,37.89,38.04,2369800,35.04
2011-02-17,38.18,38.32,37.68,37.98,3522700,34.98
2011-02-16,38.07,38.20,37.94,37.99,2260700,34.99
2011-02-15,37.98,38.12,37.77,37.98,2793900,34.98
2011-02-14,38.09,38.22,37.92,38.18,2912300,35.17
2011-02-11,38.01,38.33,37.78,38.04,2065200,35.04
2011-02-10,38.12,38.26,37.99,38.14,2284000,35.13
2011-02-09,38.00,38.27,37.99,38.18,1925600,35.17
2011-02-08,38.09,38.14,37.92,38.07,1737100,35.07
2011-02-07,37.76,38.08,37.75,38.04,1856500,35.04
2011-02-04,37.79,38.06,37.57,37.72,2039900,34.74
2011-02-03,37.77,37.84,37.49,37.70,1922600,34.73
2011-02-02,37.96,38.24,37.70,37.84,2320500,34.85
2011-02-01,38.00,38.22,37.91,38.10,2280500,35.09
2011-01-31,37.95,38.16,37.76,37.87,2592900,34.88
2011-01-28,38.37,38.58,37.78,37.87,2758000,34.88
2011-01-27,38.17,38.39,38.07,38.34,1745200,35.32
2011-01-26,37.94,38.40,37.89,38.23,2693800,35.21
2011-01-25,37.58,37.90,37.51,37.87,1847600,34.88
2011-01-24,37.50,37.92,37.33,37.70,5226700,34.73
2011-01-21,37.36,37.47,37.11,37.43,2233400,34.48
