Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,60.65,60.85,60.32,60.34,549000,60.34
2011-12-29,60.25,60.65,59.93,60.61,717800,60.61
2011-12-28,61.19,61.36,60.18,60.26,886600,60.26
2011-12-27,62.00,62.02,61.31,61.37,488800,61.37
2011-12-23,62.18,62.34,61.70,62.08,414500,62.08
2011-12-22,61.49,62.08,61.27,62.06,885300,62.06
2011-12-21,61.00,61.73,60.80,61.68,903900,61.68
2011-12-20,60.12,61.32,59.99,61.19,1620100,61.19
2011-12-19,60.28,60.57,59.50,59.65,1414400,59.65
2011-12-16,61.24,61.58,59.73,60.12,1938100,60.12
2011-12-15,60.45,61.16,60.19,60.91,868200,60.91
2011-12-14,60.30,60.57,59.88,59.97,1302700,59.97
2011-12-13,61.46,61.84,60.27,60.57,1172200,60.57
2011-12-12,61.62,62.54,60.78,61.18,932400,61.18
2011-12-09,61.68,62.61,61.41,61.52,938900,61.52
2011-12-08,61.70,62.00,60.93,61.06,1144700,61.06
2011-12-07,62.16,62.33,61.22,61.98,1381400,61.98
2011-12-06,63.31,63.57,62.28,62.39,1070600,62.39
2011-12-05,63.34,63.81,62.70,63.26,1975900,63.26
2011-12-02,63.15,63.79,62.18,62.86,1559800,62.86
2011-12-01,64.40,64.88,61.88,62.83,3807500,62.83
2011-11-30,69.43,69.82,63.79,64.62,6195400,64.62
2011-11-29,66.41,68.34,65.77,67.29,1500900,67.29
2011-11-28,64.99,65.86,64.82,65.83,1064300,65.83
2011-11-25,64.59,64.66,62.98,63.42,813200,63.42
2011-11-23,65.13,65.45,64.52,64.55,961800,64.55
2011-11-22,64.77,65.77,64.67,65.52,786500,65.52
2011-11-21,64.93,65.57,64.64,64.93,923200,64.93
2011-11-18,65.17,66.60,65.17,65.79,1403500,65.79
2011-11-17,64.41,65.29,63.79,64.91,2153500,64.91
2011-11-16,65.24,65.56,64.44,64.52,936300,64.52
2011-11-15,65.51,65.94,65.02,65.83,571200,65.83
2011-11-14,65.47,65.90,65.23,65.57,860200,65.57
2011-11-11,65.40,65.94,65.30,65.73,1184000,65.73
2011-11-10,65.30,65.76,64.08,65.40,895800,65.40
2011-11-09,65.50,65.96,64.48,64.82,1259300,64.82
2011-11-08,65.49,66.59,65.49,66.46,1229500,66.46
2011-11-07,64.90,65.50,63.87,65.45,1747500,65.45
2011-11-04,65.60,65.91,64.34,64.72,1493200,64.72
2011-11-03,67.10,67.54,65.61,65.91,1531300,65.91
2011-11-02,66.72,67.09,65.95,66.45,987500,66.45
2011-11-01,66.00,68.32,65.64,66.10,1583800,66.10
2011-10-31,68.49,68.49,66.30,67.16,1993000,67.16
2011-10-28,69.61,69.86,68.22,69.35,1570400,69.35
2011-10-27,71.59,72.06,69.32,69.56,1691000,69.56
2011-10-26,69.37,70.77,68.51,70.52,1195400,70.52
2011-10-25,69.82,70.24,68.59,68.69,1162100,68.69
2011-10-24,69.16,70.35,69.16,70.16,1214700,70.16
2011-10-21,68.83,69.97,68.47,69.15,1010900,69.15
2011-10-20,66.63,67.92,66.27,67.80,1364300,67.80
2011-10-19,67.92,67.92,66.45,66.63,916300,66.63
2011-10-18,67.53,68.26,66.64,67.79,846500,67.79
2011-10-17,67.90,68.73,67.76,67.92,869700,67.92
2011-10-14,68.81,69.47,67.95,68.24,546800,68.24
2011-10-13,67.03,68.15,67.03,68.08,869900,68.08
2011-10-12,67.66,67.88,66.80,67.07,1195100,67.07
2011-10-11,66.79,67.65,66.00,67.45,1257600,67.45
2011-10-10,67.00,67.19,66.52,67.16,962600,67.16
2011-10-07,67.04,67.18,65.82,66.04,1064400,66.04
2011-10-06,65.92,66.95,65.63,66.74,1079200,66.74
2011-10-05,65.50,66.03,64.28,65.84,1544000,65.84
2011-10-04,64.16,66.28,63.85,65.48,1500000,65.48
2011-10-03,68.49,68.49,64.28,64.99,2380800,64.99
2011-09-30,70.10,70.52,68.22,68.25,1865700,68.25
2011-09-29,71.62,72.29,69.88,70.91,1348900,70.91
2011-09-28,72.39,72.97,70.43,70.61,1180000,70.61
2011-09-27,72.51,72.83,71.75,72.10,1357100,72.10
2011-09-26,71.26,71.60,70.33,71.36,1000100,71.36
2011-09-23,69.06,71.18,69.02,70.70,1294000,70.70
2011-09-22,69.24,69.98,67.17,69.14,1655600,69.14
2011-09-21,71.99,73.18,69.99,70.04,1630600,70.04
2011-09-20,69.98,73.35,69.98,71.98,2923300,71.98
2011-09-19,66.22,70.10,66.15,69.36,3142700,69.36
2011-09-16,67.01,67.57,66.84,67.28,1266300,67.28
2011-09-15,66.91,67.18,65.64,66.66,1202700,66.66
2011-09-14,66.52,67.05,65.31,66.29,1713200,66.29
2011-09-13,65.98,66.41,65.43,66.18,1500800,66.18
2011-09-12,65.08,65.70,64.30,65.67,942400,65.67
2011-09-09,66.88,67.23,65.53,65.88,986900,65.88
2011-09-08,67.32,68.64,67.32,67.55,1140700,67.55
2011-09-07,67.18,68.00,66.69,67.58,1088900,67.58
2011-09-06,64.59,66.67,64.35,66.29,1137400,66.29
2011-09-02,65.86,67.19,65.69,66.33,962600,66.33
2011-09-01,67.04,68.24,66.62,66.95,1087300,66.95
2011-08-31,67.86,68.51,66.48,67.12,1336000,67.12
2011-08-30,66.19,67.87,65.97,67.51,870900,67.51
2011-08-29,65.99,66.75,65.79,66.51,987900,66.51
2011-08-26,63.71,65.76,62.48,65.55,1278300,65.55
2011-08-25,65.74,65.74,63.60,64.10,1109200,64.10
2011-08-24,64.30,65.63,64.06,65.46,1877700,65.46
2011-08-23,61.99,64.57,61.99,64.53,1338400,64.53
2011-08-22,62.62,63.01,61.70,61.85,1206200,61.85
2011-08-19,61.43,62.45,61.21,61.59,1335800,61.59
2011-08-18,62.92,63.04,61.39,62.02,1413200,62.02
2011-08-17,65.22,65.66,63.60,64.17,978900,64.17
2011-08-16,64.64,65.40,64.12,65.06,854000,65.06
2011-08-15,64.78,65.30,64.12,65.10,1073400,65.10
2011-08-12,64.05,64.82,63.14,64.29,1579700,64.29
2011-08-11,60.56,64.61,60.06,63.80,2609100,63.80
2011-08-10,61.17,62.26,60.06,60.43,2228000,60.43
2011-08-09,60.83,62.20,58.84,62.16,2329900,62.16
2011-08-08,62.72,63.46,60.04,60.04,2446500,60.04
2011-08-05,64.00,64.98,62.37,63.70,2259000,63.70
2011-08-04,65.18,65.32,63.36,63.39,2088800,63.39
2011-08-03,65.03,66.39,64.61,65.93,2189300,65.93
2011-08-02,66.22,67.23,64.78,64.81,1914300,64.81
2011-08-01,67.67,67.98,66.39,66.62,1900300,66.62
2011-07-29,67.00,67.87,66.24,67.13,1107200,67.13
2011-07-28,68.42,69.07,67.71,67.87,1183600,67.87
2011-07-27,68.34,69.69,68.03,68.41,2155300,68.41
2011-07-26,70.00,71.50,67.93,68.62,2422400,68.62
2011-07-25,69.96,70.78,69.06,69.36,2006200,69.36
2011-07-22,69.88,70.63,69.61,70.48,834200,70.48
2011-07-21,69.54,70.10,69.26,69.75,885700,69.75
2011-07-20,69.92,69.92,68.90,69.17,595600,69.17
2011-07-19,68.82,69.97,68.53,69.88,676400,69.88
2011-07-18,68.89,69.31,67.86,68.28,755300,68.28
2011-07-15,69.42,69.48,68.47,69.00,697400,69.00
2011-07-14,69.49,70.30,69.10,69.17,865500,69.17
