Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,18.20,18.20,17.70,18.17,2956400,18.17
2011-12-29,18.37,18.45,17.79,18.00,900600,18.00
2011-12-28,18.39,18.51,17.86,18.40,703700,18.40
2011-12-27,18.41,18.54,17.85,18.49,349500,18.49
2011-12-23,17.72,18.49,17.72,18.26,619400,18.26
2011-12-22,17.45,17.84,17.45,17.62,252200,17.62
2011-12-21,17.80,17.84,17.31,17.50,204900,17.50
2011-12-20,17.35,17.79,17.25,17.50,253100,17.50
2011-12-19,17.31,18.04,17.01,17.25,244300,17.25
2011-12-16,18.05,18.05,17.41,17.58,505500,17.58
2011-12-15,18.01,18.26,17.80,18.01,1695700,18.01
2011-12-14,18.30,18.33,17.57,18.07,616900,18.07
2011-12-13,19.20,19.20,18.05,18.50,758700,18.50
2011-12-12,22.50,23.42,17.92,19.25,988500,19.25
