Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,110.15,112.25,109.70,110.49,1442700,101.67
2011-12-29,109.66,110.88,108.53,110.34,1490100,101.53
2011-12-28,113.55,113.75,109.09,109.22,1994800,100.50
2011-12-27,110.56,114.45,109.36,113.53,2488900,104.47
2011-12-23,107.97,110.06,107.91,110.00,1386500,101.22
2011-12-22,108.08,108.65,106.57,108.04,1409300,99.41
2011-12-21,106.94,108.39,105.00,107.94,2054000,99.32
2011-12-20,104.84,107.72,104.22,107.58,1976800,98.99
2011-12-19,106.50,108.65,101.90,102.20,1892200,94.04
2011-12-16,105.52,107.26,104.92,105.65,2322400,97.21
2011-12-15,103.41,105.29,101.02,104.58,2632600,96.23
2011-12-14,104.01,104.48,101.67,102.29,2749300,94.12
2011-12-13,109.33,110.49,103.77,104.41,2761200,96.07
2011-12-12,109.52,109.97,108.00,109.04,1819700,100.33
2011-12-09,110.22,111.88,108.63,110.86,4211500,102.01
2011-12-08,113.45,114.83,110.00,110.18,1908100,101.38
2011-12-07,112.50,114.55,110.00,114.05,2580100,104.94
2011-12-06,117.11,117.88,113.00,113.67,3073000,104.59
2011-12-05,120.58,120.92,116.03,117.63,2442500,108.24
2011-12-02,121.25,121.50,118.27,118.41,1573700,108.96
2011-12-01,119.85,121.66,117.58,118.96,1803300,109.46
2011-11-30,116.00,120.62,115.65,120.56,4301600,110.93
2011-11-29,114.32,115.00,110.00,110.14,2143700,101.35
2011-11-28,112.39,115.95,112.36,114.60,2501800,105.45
2011-11-25,107.18,109.77,106.77,107.02,1040100,98.48
2011-11-23,111.33,112.50,107.71,107.99,2834500,99.37
2011-11-22,110.48,114.17,110.07,112.90,2557200,103.89
2011-11-21,115.15,116.02,110.09,112.07,3713700,103.12
2011-11-18,121.78,123.13,119.82,121.76,2385700,107.44
2011-11-17,124.49,124.85,119.17,120.78,10289300,106.57
2011-11-16,126.19,127.05,122.94,123.25,2847900,108.75
2011-11-15,124.71,129.00,123.72,127.86,2045800,112.82
2011-11-14,125.07,128.98,124.34,125.02,3339600,110.31
2011-11-11,120.98,125.75,119.26,125.46,3099000,110.70
2011-11-10,125.18,125.50,117.40,119.57,4996400,105.51
2011-11-09,126.00,127.71,123.21,123.91,2471700,109.33
2011-11-08,130.22,130.72,126.75,129.04,2165900,113.86
2011-11-07,131.36,132.31,127.20,128.72,3834400,113.58
2011-11-04,132.21,134.46,131.05,131.65,1936200,116.16
2011-11-03,134.14,134.94,129.10,133.69,2612200,117.96
2011-11-02,133.39,136.70,131.29,132.54,3746800,116.95
2011-11-01,129.01,130.96,127.02,128.61,2806000,113.48
2011-10-31,135.52,137.92,132.68,132.80,2173800,117.18
2011-10-28,137.89,142.20,136.11,138.03,3989900,121.35
2011-10-27,134.03,138.36,131.57,136.89,5454500,120.35
2011-10-26,126.44,128.64,121.75,128.01,3268000,112.54
2011-10-25,126.75,128.00,123.00,123.18,2756000,108.30
2011-10-24,122.90,127.95,122.66,127.65,6639400,112.23
2011-10-21,124.60,125.55,117.37,120.40,5659100,105.85
2011-10-20,124.09,125.40,119.60,123.37,6757200,108.46
2011-10-19,136.77,139.30,129.50,130.27,6143100,114.53
2011-10-18,132.65,138.60,129.41,137.65,4552400,121.02
