Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,38.03,38.35,37.83,37.83,1068900,37.12
2011-12-29,37.70,38.15,37.56,38.09,836600,37.37
2011-12-28,37.97,37.97,37.40,37.49,1333100,36.78
2011-12-27,37.43,38.17,37.25,38.01,1729700,37.29
2011-12-23,36.57,37.59,36.53,37.46,1551800,36.75
2011-12-22,36.51,36.73,36.30,36.45,1263400,35.76
2011-12-21,36.00,36.56,35.67,36.44,1535000,35.75
2011-12-20,35.59,36.20,35.44,35.97,1955100,35.29
2011-12-19,35.12,35.47,34.72,34.82,1754900,34.16
2011-12-16,34.60,35.16,34.52,34.84,3262900,34.18
2011-12-15,34.70,34.80,34.06,34.32,1842500,33.67
2011-12-14,34.82,34.92,34.09,34.23,2465100,33.58
2011-12-13,35.82,35.93,34.68,34.83,1659300,34.17
2011-12-12,35.59,35.67,35.05,35.57,1569700,34.90
2011-12-09,35.03,36.24,34.91,36.07,1849800,35.39
2011-12-08,35.33,35.75,34.89,34.93,1617000,34.27
2011-12-07,35.51,35.90,35.12,35.70,1430100,35.03
2011-12-06,35.98,36.36,35.61,35.84,1584500,35.16
2011-12-05,36.41,36.60,35.65,36.00,2497700,35.32
2011-12-02,35.93,36.60,35.75,35.85,2662600,35.17
2011-12-01,35.41,35.90,35.21,35.41,1992500,34.74
2011-11-30,35.23,35.65,35.09,35.45,3032700,34.78
2011-11-29,34.46,34.52,34.06,34.19,1695100,33.54
2011-11-28,34.20,34.36,33.87,34.25,2410700,33.60
2011-11-25,32.51,33.41,32.51,32.90,804500,32.28
2011-11-23,33.11,33.36,32.44,32.70,2449200,32.08
2011-11-22,33.23,33.76,33.03,33.26,1839800,32.63
2011-11-21,33.04,33.61,32.88,33.45,2240000,32.82
2011-11-18,34.02,34.25,33.66,33.92,1669600,33.13
2011-11-17,33.96,34.37,33.26,33.72,2481400,32.94
2011-11-16,34.19,34.81,33.99,34.10,2146200,33.31
2011-11-15,34.07,34.86,33.94,34.53,1911800,33.73
2011-11-14,34.38,34.99,34.13,34.26,2019200,33.46
2011-11-11,33.60,34.71,33.56,34.53,1943400,33.73
2011-11-10,33.36,33.37,32.34,33.08,2695600,32.31
2011-11-09,33.16,33.77,32.49,32.73,4446700,31.97
2011-11-08,34.16,34.45,33.68,34.38,3654300,33.58
2011-11-07,34.00,34.28,33.34,33.96,1729100,33.17
2011-11-04,33.58,34.13,33.08,34.05,2142500,33.26
2011-11-03,33.76,34.13,32.73,33.98,2349700,33.19
2011-11-02,33.44,33.79,32.77,33.21,2991800,32.44
2011-11-01,32.24,33.24,32.16,32.74,3870000,31.98
2011-10-31,34.03,34.87,33.65,33.67,2909900,32.89
2011-10-28,35.04,35.45,34.50,34.63,2348200,33.83
2011-10-27,33.75,35.41,33.70,35.07,3262800,34.26
2011-10-26,32.08,33.26,31.82,32.78,5178400,32.02
2011-10-25,32.34,32.56,31.39,31.49,2650700,30.76
2011-10-24,31.11,32.49,30.95,32.40,2282100,31.65
2011-10-21,30.74,31.02,30.38,30.96,3648100,30.24
2011-10-20,30.61,30.78,30.08,30.25,3112400,29.55
2011-10-19,31.30,31.41,30.56,30.63,1975500,29.92
2011-10-18,30.21,31.72,29.80,31.30,2144400,30.57
2011-10-17,30.99,31.26,30.23,30.32,1862500,29.62
2011-10-14,31.39,31.41,30.65,31.18,1933600,30.46
2011-10-13,30.78,31.15,30.34,30.98,1389400,30.26
2011-10-12,31.03,31.53,30.86,31.08,2221300,30.36
2011-10-11,30.45,30.78,30.29,30.64,1565300,29.93
2011-10-10,29.65,30.91,29.56,30.79,3054000,30.07
2011-10-07,29.46,29.55,28.64,28.96,1375700,28.29
2011-10-06,28.40,29.22,28.14,29.16,2195100,28.48
2011-10-05,28.35,28.68,27.64,28.53,2616100,27.87
2011-10-04,26.47,28.21,26.18,28.17,4300000,27.52
2011-10-03,28.15,28.89,26.88,26.92,3861400,26.29
2011-09-30,29.20,29.70,28.47,28.51,3056000,27.85
2011-09-29,30.56,30.75,29.04,29.85,2912800,29.16
2011-09-28,31.14,31.14,29.70,29.80,3022600,29.11
2011-09-27,31.55,31.89,30.74,30.91,5560400,30.19
2011-09-26,30.49,30.74,29.30,30.61,4093200,29.90
2011-09-23,29.65,30.51,29.52,30.06,2619200,29.36
2011-09-22,29.70,30.47,29.03,29.76,4120600,29.07
2011-09-21,32.23,32.49,30.90,30.90,2937300,30.18
2011-09-20,32.47,33.00,31.97,31.99,2423900,31.25
2011-09-19,31.34,32.46,31.16,32.20,2009500,31.45
2011-09-16,31.69,32.24,31.31,32.15,2696500,31.40
2011-09-15,31.54,31.91,31.04,31.62,2836300,30.89
2011-09-14,30.75,31.69,30.17,31.08,3709600,30.36
2011-09-13,29.84,30.69,29.48,30.55,2490100,29.84
2011-09-12,28.69,29.85,28.69,29.79,3786400,29.10
2011-09-09,29.98,30.19,28.96,29.21,3764800,28.53
2011-09-08,30.84,31.22,30.25,30.44,2467700,29.73
2011-09-07,30.55,31.12,29.99,31.09,2345100,30.37
2011-09-06,29.29,29.97,29.15,29.89,3778700,29.20
2011-09-02,30.95,31.24,30.48,30.66,2595800,29.95
2011-09-01,32.39,32.91,31.71,31.89,2437300,31.15
2011-08-31,32.12,32.77,31.97,32.48,3125100,31.73
2011-08-30,31.33,32.07,30.84,31.83,2542800,31.09
2011-08-29,30.30,31.47,30.30,31.47,2220600,30.74
2011-08-26,28.49,30.12,28.00,29.78,2271300,29.09
2011-08-25,30.37,30.53,28.71,28.79,3183500,28.12
2011-08-24,28.75,30.19,28.65,30.14,3217300,29.44
2011-08-23,27.59,28.94,27.33,28.94,2532800,28.27
2011-08-22,28.43,28.60,27.40,27.51,2741800,26.72
2011-08-19,27.51,28.57,27.44,27.57,3673100,26.78
2011-08-18,28.75,28.94,27.61,27.99,4601300,27.19
2011-08-17,30.52,30.74,29.64,30.14,2482200,29.28
2011-08-16,30.49,30.80,29.83,30.19,2614500,29.33
2011-08-15,30.51,30.96,30.14,30.92,2511200,30.04
2011-08-12,29.75,30.73,29.51,30.22,5082000,29.36
2011-08-11,27.13,29.82,27.07,29.27,5703300,28.43
2011-08-10,26.45,28.20,26.30,26.97,5589900,26.20
2011-08-09,25.90,27.54,25.19,27.45,7841800,26.67
2011-08-08,27.72,27.84,24.76,25.38,8504900,24.66
2011-08-05,30.39,30.84,28.17,28.86,8004100,28.04
2011-08-04,32.53,32.58,29.78,29.81,7253400,28.96
2011-08-03,32.40,33.25,31.55,33.12,3512800,32.17
2011-08-02,34.40,34.68,32.30,32.34,3892400,31.42
2011-08-01,34.94,35.10,34.18,34.83,2437800,33.84
2011-07-29,34.38,35.05,33.60,34.59,2172100,33.60
2011-07-28,35.06,35.83,34.80,34.89,2340800,33.89
2011-07-27,35.77,36.00,34.51,34.73,4313900,33.74
2011-07-26,34.16,34.37,33.86,34.17,1473500,33.19
2011-07-25,33.87,34.35,33.65,34.19,2151600,33.21
2011-07-22,34.22,34.63,34.13,34.27,1439700,33.29
2011-07-21,33.81,34.45,33.73,34.21,1424800,33.23
2011-07-20,33.68,33.74,33.32,33.60,925300,32.64
2011-07-19,33.35,33.73,33.24,33.58,1487200,32.62
2011-07-18,33.12,33.27,32.61,33.05,1539100,32.11
2011-07-15,33.43,33.43,32.88,33.30,1425400,32.35
2011-07-14,33.76,33.81,32.65,33.23,2963400,32.28
2011-07-13,33.95,34.51,33.95,34.02,1807800,33.05
2011-07-12,33.97,34.20,33.62,33.67,2225400,32.71
2011-07-11,34.21,34.55,33.84,34.14,1378800,33.16
2011-07-08,34.82,34.99,34.49,34.76,2178800,33.77
2011-07-07,35.33,35.71,35.26,35.40,1687900,34.39
2011-07-06,34.88,35.01,34.64,34.94,1928600,33.94
2011-07-05,35.11,35.17,34.64,34.91,1875200,33.91
2011-07-01,33.68,35.29,33.65,35.20,2819400,34.19
2011-06-30,33.44,34.00,33.44,33.65,1684800,32.69
2011-06-29,33.42,33.77,33.18,33.34,1285200,32.39
2011-06-28,32.38,33.48,32.34,33.30,1690300,32.35
2011-06-27,32.19,32.40,31.90,32.16,1353800,31.24
2011-06-24,32.35,32.52,31.91,32.04,2049100,31.12
2011-06-23,31.75,32.47,31.61,32.28,2556300,31.36
2011-06-22,32.45,32.96,32.22,32.24,1325200,31.32
2011-06-21,32.10,32.88,32.01,32.69,1361000,31.76
2011-06-20,31.39,32.32,31.32,31.93,1653400,31.02
2011-06-17,31.09,31.84,31.09,31.57,2443400,30.67
2011-06-16,31.45,31.50,30.39,30.78,2285100,29.90
2011-06-15,31.80,32.04,31.17,31.46,2092100,30.56
2011-06-14,31.89,32.32,31.78,32.12,1402500,31.20
2011-06-13,31.60,31.81,31.13,31.44,1823200,30.54
2011-06-10,32.05,32.13,31.47,31.50,2741000,30.60
2011-06-09,32.18,32.29,31.62,32.24,3454700,31.32
2011-06-08,33.00,33.13,31.94,32.10,3182600,31.18
2011-06-07,33.35,33.83,33.07,33.09,1497700,32.14
2011-06-06,33.47,33.80,33.10,33.14,1091400,32.19
2011-06-03,33.51,33.94,33.35,33.50,1075400,32.54
2011-06-02,33.89,34.25,33.65,34.09,1586500,33.12
2011-06-01,34.65,34.74,33.88,33.92,1602500,32.95
2011-05-31,35.16,35.24,34.48,34.81,2031200,33.82
2011-05-27,34.73,35.00,34.52,34.74,1190200,33.75
2011-05-26,33.33,34.75,33.33,34.56,1829200,33.57
2011-05-25,33.44,33.70,33.17,33.44,1339200,32.48
2011-05-24,33.71,33.76,33.32,33.53,1420300,32.57
2011-05-23,33.66,34.00,33.50,33.80,1543200,32.69
2011-05-20,34.13,34.56,34.04,34.36,1493100,33.23
2011-05-19,34.19,34.46,34.00,34.30,1131200,33.17
2011-05-18,33.61,34.15,33.51,34.00,1051100,32.88
