Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,19.95,19.99,19.77,19.77,1399900,19.38
2011-12-29,19.78,20.09,19.75,19.93,1728300,19.54
2011-12-28,20.16,20.19,19.71,19.72,1724600,19.34
2011-12-27,20.24,20.45,20.15,20.17,1345700,19.78
2011-12-23,20.17,20.35,20.09,20.27,1546600,19.88
2011-12-22,19.73,20.15,19.64,20.11,3378400,19.72
2011-12-21,19.68,19.73,19.34,19.58,3839900,19.20
2011-12-20,19.59,19.68,19.42,19.63,3732300,19.25
2011-12-19,19.71,19.77,19.16,19.21,2883200,18.84
2011-12-16,19.97,20.09,19.64,19.66,3303700,19.28
2011-12-15,19.86,20.02,19.69,19.79,2562700,19.40
2011-12-14,19.36,19.80,19.36,19.50,2745400,19.12
2011-12-13,19.94,20.12,19.35,19.52,3011600,19.14
2011-12-12,20.22,20.29,19.76,19.94,3406000,19.44
2011-12-09,20.64,20.77,20.37,20.56,3528300,20.05
2011-12-08,20.99,21.00,20.38,20.44,3521800,19.93
2011-12-07,21.15,21.35,20.74,21.23,3015600,20.70
2011-12-06,20.93,21.31,20.81,21.20,2915700,20.67
2011-12-05,21.11,21.17,20.76,20.96,3630600,20.44
2011-12-02,20.75,21.15,20.67,20.75,4937100,20.23
2011-12-01,20.52,20.75,20.36,20.53,3414900,20.02
2011-11-30,20.23,20.65,19.94,20.62,5329500,20.11
2011-11-29,19.53,19.63,19.28,19.46,2012400,18.98
2011-11-28,19.50,19.70,19.24,19.42,4188800,18.94
2011-11-25,18.69,19.37,18.65,18.92,1686200,18.45
2011-11-23,19.29,19.40,18.78,18.78,2738500,18.31
2011-11-22,19.47,19.79,19.38,19.49,2804100,19.01
2011-11-21,19.45,19.65,19.07,19.52,4891200,19.03
2011-11-18,19.84,19.89,19.54,19.86,3815700,19.37
2011-11-17,20.05,20.19,19.50,19.64,4178100,19.15
2011-11-16,20.58,20.68,20.11,20.12,3276800,19.62
2011-11-15,20.87,21.21,20.70,20.80,4173200,20.28
2011-11-14,21.11,21.16,20.80,20.88,3279500,20.36
2011-11-11,21.00,21.33,20.84,21.20,2702100,20.67
2011-11-10,20.81,20.95,20.25,20.70,4603400,20.18
2011-11-09,21.23,21.23,20.35,20.43,4800100,19.92
2011-11-08,21.63,21.91,21.49,21.87,3108500,21.33
2011-11-07,21.33,21.54,21.05,21.53,1902400,20.99
2011-11-04,21.22,21.48,21.00,21.31,3895800,20.78
2011-11-03,21.39,21.63,20.88,21.54,5223600,21.00
2011-11-02,21.36,21.72,20.81,21.17,9258800,20.64
2011-11-01,21.12,21.52,20.91,20.93,4957200,20.41
2011-10-31,22.14,22.29,21.74,21.74,4806300,21.20
2011-10-28,22.66,22.78,22.35,22.56,3890100,22.00
2011-10-27,22.84,23.00,22.44,22.78,5484000,22.21
2011-10-26,22.08,22.32,21.60,21.94,7690200,21.39
2011-10-25,22.60,22.60,21.74,21.82,6182200,21.28
2011-10-24,21.91,22.77,21.75,22.75,6903300,22.18
2011-10-21,20.85,21.55,20.84,21.54,6046000,21.00
2011-10-20,19.84,20.67,19.84,20.56,4647900,20.05
2011-10-19,19.73,20.22,19.55,19.91,3822600,19.41
2011-10-18,19.02,19.94,18.83,19.73,6675400,19.24
2011-10-17,19.56,19.63,18.92,18.96,3945100,18.49
2011-10-14,19.77,19.85,19.34,19.75,2693900,19.26
2011-10-13,19.54,19.62,19.18,19.46,3282300,18.98
2011-10-12,19.75,20.13,19.65,19.80,3709900,19.31
2011-10-11,19.48,19.71,19.31,19.49,2695000,19.01
2011-10-10,19.15,19.59,19.15,19.59,2249500,19.10
2011-10-07,19.54,19.54,18.73,18.76,3401800,18.29
2011-10-06,18.76,19.39,18.61,19.37,3758100,18.89
2011-10-05,18.66,18.96,18.25,18.78,3708900,18.31
2011-10-04,17.92,18.69,17.69,18.64,6290300,18.18
2011-10-03,18.65,18.86,17.87,18.17,6039100,17.72
2011-09-30,19.04,19.29,18.78,18.80,5763500,18.33
2011-09-29,19.28,19.67,18.86,19.32,3709600,18.84
2011-09-28,19.49,19.68,18.82,18.84,3799800,18.37
2011-09-27,19.42,20.06,19.28,19.51,5734400,19.02
2011-09-26,18.62,19.02,18.26,18.99,3142900,18.52
2011-09-23,18.19,18.60,18.10,18.36,4490800,17.90
2011-09-22,18.44,18.86,18.20,18.44,6507400,17.98
2011-09-21,19.82,20.02,19.02,19.03,3252200,18.56
2011-09-20,19.97,20.39,19.83,19.84,2873300,19.35
2011-09-19,19.54,20.04,19.46,19.88,3035600,19.39
2011-09-16,20.06,20.27,19.74,20.03,4154700,19.53
2011-09-15,19.65,19.88,19.42,19.87,2481500,19.38
2011-09-14,19.72,19.85,19.05,19.49,3799900,19.01
2011-09-13,19.43,19.62,19.23,19.50,3062000,19.01
2011-09-12,18.94,19.44,18.71,19.42,4352000,18.83
2011-09-09,19.62,19.85,19.09,19.25,4200600,18.66
2011-09-08,19.90,20.34,19.88,19.94,2211300,19.33
2011-09-07,19.72,20.25,19.59,20.24,3038400,19.62
2011-09-06,18.83,19.41,18.79,19.37,3769500,18.78
2011-09-02,19.89,20.03,19.56,19.56,3359200,18.97
2011-09-01,21.01,21.10,20.41,20.41,3240700,19.79
2011-08-31,20.66,21.01,20.56,20.81,5789000,20.18
2011-08-30,20.44,20.70,20.12,20.52,3998000,19.90
2011-08-29,19.66,20.68,19.66,20.60,3991800,19.97
2011-08-26,18.68,19.47,18.38,19.27,3813300,18.68
2011-08-25,19.77,19.97,18.81,18.85,5867300,18.28
2011-08-24,19.37,19.87,19.21,19.55,3676100,18.96
2011-08-23,18.80,19.45,18.72,19.43,4300100,18.84
2011-08-22,19.20,19.22,18.62,18.80,4464200,18.23
2011-08-19,18.54,19.17,18.45,18.76,7941600,18.19
2011-08-18,18.91,19.21,18.59,18.77,8491100,18.20
2011-08-17,19.65,19.86,19.42,19.63,5885800,19.03
2011-08-16,19.76,20.00,19.46,19.51,5149500,18.92
2011-08-15,19.49,20.10,19.44,20.06,4125900,19.45
2011-08-12,19.83,20.06,19.12,19.24,5236500,18.65
2011-08-11,18.87,19.96,18.67,19.55,10105700,18.96
2011-08-10,18.96,19.62,18.74,18.78,7504900,18.21
2011-08-09,18.74,19.78,18.23,19.75,9775700,19.15
2011-08-08,19.49,19.86,17.94,18.39,9510300,17.83
2011-08-05,20.66,20.80,19.59,19.96,6846900,19.35
2011-08-04,21.41,21.68,20.32,20.33,7384800,19.71
2011-08-03,21.48,21.88,21.02,21.77,12904600,21.11
2011-08-02,20.28,20.69,20.02,20.02,6054700,19.41
2011-08-01,20.77,20.92,20.18,20.45,3664200,19.83
