Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,59.50,59.59,59.01,59.01,1246200,57.93
2011-12-29,59.12,59.79,59.11,59.58,1734200,58.49
2011-12-28,59.33,59.40,58.70,58.98,1805700,57.90
2011-12-27,59.02,59.48,58.78,59.30,2164000,58.21
2011-12-23,58.55,59.03,58.50,59.03,1920600,57.95
2011-12-22,58.44,58.53,58.16,58.39,2490100,57.32
2011-12-21,58.49,58.70,58.00,58.44,4235500,57.37
2011-12-20,58.11,58.61,57.91,58.33,3983900,57.26
2011-12-19,57.72,58.15,57.45,57.60,2489900,56.54
2011-12-16,57.98,58.15,57.48,57.70,4359000,56.64
2011-12-15,57.83,58.06,57.16,57.50,3061300,56.44
2011-12-14,58.20,58.66,57.09,57.37,4690000,56.32
2011-12-13,59.00,59.17,58.15,58.28,4163200,57.21
2011-12-12,57.59,59.05,57.23,58.96,5189900,57.88
2011-12-09,58.11,58.56,57.74,57.96,4152200,56.89
2011-12-08,57.84,58.95,57.39,57.49,4624400,56.43
2011-12-07,57.47,58.11,57.04,58.01,4692000,56.94
2011-12-06,57.04,57.49,56.41,57.33,3058000,56.28
2011-12-05,56.85,57.24,56.60,57.09,3278300,56.04
2011-12-02,56.63,56.88,56.09,56.25,2951400,55.22
2011-12-01,56.10,56.53,55.88,56.29,3397300,55.26
2011-11-30,56.07,56.50,55.62,56.04,3832300,55.01
2011-11-29,54.59,55.02,54.55,54.89,2429800,53.88
2011-11-28,53.84,54.75,53.65,54.54,3199600,53.54
2011-11-25,53.22,53.34,52.54,52.72,2194300,51.75
2011-11-23,54.09,54.23,53.13,53.18,2704400,52.20
2011-11-22,53.63,55.32,53.36,54.51,4469300,53.51
2011-11-21,53.16,53.74,52.67,53.49,2420700,52.51
2011-11-18,53.94,54.07,53.42,53.84,3143100,52.85
2011-11-17,54.25,54.69,53.12,53.77,2728900,52.78
2011-11-16,55.00,55.42,54.41,54.49,2586600,53.49
2011-11-15,55.28,55.64,54.81,55.41,1847800,54.39
2011-11-14,55.55,55.80,55.21,55.29,1911300,54.27
2011-11-11,55.21,55.95,54.93,55.81,2439500,54.78
2011-11-10,55.26,55.26,54.29,54.74,3298300,53.73
2011-11-09,54.43,55.61,54.31,54.81,6320600,53.80
2011-11-08,54.85,55.78,54.42,55.63,4002600,54.61
2011-11-07,54.15,54.75,53.76,54.63,3518900,53.63
2011-11-04,54.03,54.57,53.35,53.98,3955600,52.99
2011-11-03,53.63,54.12,53.01,54.04,3105600,53.05
2011-11-02,53.09,53.35,52.56,53.15,3317700,52.17
2011-11-01,52.51,53.26,52.16,52.62,4129000,51.65
2011-10-31,53.76,54.51,53.57,53.57,2536000,52.59
2011-10-28,54.33,54.74,53.33,54.14,3277500,53.15
2011-10-27,54.32,54.89,53.73,54.39,3538600,53.39
2011-10-26,53.44,53.87,51.93,53.05,3463100,52.08
2011-10-25,53.16,53.92,52.65,52.84,2399400,51.87
2011-10-24,53.73,53.82,53.17,53.47,3119600,52.49
2011-10-21,53.06,53.91,52.85,53.74,4332600,52.75
2011-10-20,51.73,52.46,51.24,52.16,3815900,51.20
2011-10-19,52.30,52.50,51.31,51.62,3289600,50.67
2011-10-18,51.21,52.83,50.60,52.28,3585800,51.32
2011-10-17,51.78,51.99,51.00,51.13,3864200,50.19
2011-10-14,52.72,52.85,51.58,52.14,4820700,51.18
2011-10-13,50.77,52.98,50.70,52.61,6641500,51.64
2011-10-12,51.96,52.82,50.97,51.03,5624400,50.09
2011-10-11,50.77,51.95,50.73,51.88,3866600,50.65
2011-10-10,49.80,51.17,49.72,50.90,3883000,49.69
2011-10-07,49.31,49.82,49.01,49.24,5192500,48.07
2011-10-06,48.19,49.51,48.14,49.33,7187900,48.16
2011-10-05,49.75,50.20,47.81,48.12,14168000,46.98
2011-10-04,47.60,49.56,47.15,49.44,7400500,48.26
2011-10-03,49.27,50.05,48.41,48.45,6407800,47.30
2011-09-30,48.60,51.22,48.50,49.39,9134300,48.22
2011-09-29,53.43,53.50,48.38,49.54,11955400,48.36
2011-09-28,53.46,54.54,52.46,52.57,4058800,51.32
2011-09-27,53.62,54.73,53.08,53.36,4093800,52.09
2011-09-26,52.03,52.75,50.87,52.60,4292200,51.35
2011-09-23,50.98,52.10,50.33,51.66,4062900,50.43
2011-09-22,51.05,51.77,50.31,50.97,6403800,49.76
2011-09-21,54.77,54.89,52.49,52.55,5007200,51.30
2011-09-20,54.91,55.70,54.08,54.54,3426900,53.24
2011-09-19,53.15,54.99,52.82,54.77,4197300,53.47
2011-09-16,54.29,54.29,53.26,53.85,4532900,52.57
2011-09-15,53.83,54.03,53.34,53.65,2825500,52.37
2011-09-14,52.57,54.05,51.97,53.30,3108000,52.03
2011-09-13,52.12,52.52,51.80,52.23,3297700,50.99
2011-09-12,50.85,52.09,50.52,52.06,4120500,50.82
2011-09-09,52.71,52.71,51.00,51.53,4863000,50.31
2011-09-08,53.53,54.05,53.11,53.37,2640700,52.10
2011-09-07,53.11,53.78,52.56,53.78,3256300,52.50
2011-09-06,51.33,52.61,50.99,52.52,3615100,51.27
2011-09-02,52.90,53.40,52.18,52.65,3931200,51.40
2011-09-01,54.33,54.38,53.40,53.85,3606200,52.57
2011-08-31,54.43,54.79,53.89,54.37,3384600,53.08
2011-08-30,53.85,54.38,53.50,54.02,3383200,52.74
2011-08-29,53.55,54.00,53.41,54.00,3058100,52.72
2011-08-26,51.47,53.03,50.90,52.77,4239200,51.52
2011-08-25,53.07,53.52,51.33,51.71,4920400,50.48
2011-08-24,51.58,53.08,51.38,53.05,5596500,51.79
2011-08-23,50.17,51.63,49.88,51.63,4919100,50.40
2011-08-22,50.18,51.13,49.84,49.95,5300400,48.76
2011-08-19,48.48,50.47,48.30,49.41,6470700,48.24
2011-08-18,50.17,50.39,48.43,48.93,5035600,47.77
2011-08-17,51.18,51.65,50.71,51.34,3099600,50.12
2011-08-16,51.33,51.57,50.71,51.03,4555600,49.82
2011-08-15,51.85,51.96,51.08,51.60,4191500,50.37
2011-08-12,52.23,52.31,50.92,51.34,6065600,50.12
2011-08-11,48.61,52.15,48.61,51.45,7656400,50.23
2011-08-10,49.92,49.93,48.12,48.27,10710800,47.12
2011-08-09,48.48,50.42,47.54,50.34,10879800,49.14
2011-08-08,49.77,50.39,47.77,47.82,8471900,46.68
2011-08-05,50.52,51.16,49.11,50.71,7107800,49.50
2011-08-04,50.53,51.02,50.13,50.39,6340800,49.19
2011-08-03,50.77,51.09,49.93,51.05,5942100,49.84
2011-08-02,52.37,52.56,50.95,50.98,4105300,49.77
2011-08-01,53.39,53.39,52.03,52.66,3150100,51.41
2011-07-29,51.95,53.23,51.89,52.82,4175700,51.56
2011-07-28,52.33,53.46,52.30,52.68,5522900,51.43
2011-07-27,53.41,53.56,52.20,52.40,4623000,51.15
2011-07-26,53.81,54.19,53.40,53.73,2764900,52.45
2011-07-25,54.34,54.45,53.79,53.84,2756100,52.56
2011-07-22,54.93,55.00,54.53,54.57,2935600,53.27
2011-07-21,54.60,54.85,54.09,54.50,4725300,53.20
2011-07-20,55.08,55.14,54.20,54.34,2817600,53.05
2011-07-19,55.16,55.20,54.66,55.16,3136000,53.85
2011-07-18,55.36,55.65,54.67,54.85,3100000,53.55
2011-07-15,56.66,56.73,55.29,55.51,4634100,54.19
2011-07-14,56.91,57.75,55.58,56.37,9930500,55.03
2011-07-13,55.41,56.55,55.40,55.58,6434900,54.26
2011-07-12,55.36,55.75,55.18,55.23,3519700,53.67
2011-07-11,55.19,56.07,55.08,55.51,3573100,53.95
2011-07-08,55.15,55.63,54.88,55.61,3342000,54.04
2011-07-07,54.88,56.00,54.75,55.59,6196300,54.02
2011-07-06,56.24,56.65,56.02,56.15,2853600,54.57
2011-07-05,56.97,56.97,56.38,56.60,2874700,55.00
2011-07-01,55.29,57.04,55.29,56.75,3358700,55.15
2011-06-30,55.41,55.54,54.97,55.24,2608500,53.68
2011-06-29,55.50,55.95,55.03,55.23,3151800,53.67
2011-06-28,54.50,55.40,54.44,55.37,2880500,53.81
2011-06-27,53.78,54.64,53.53,54.40,3036300,52.87
2011-06-24,54.41,54.68,53.78,53.84,3918800,52.32
2011-06-23,54.21,54.78,53.82,54.40,6055500,52.87
2011-06-22,55.26,55.63,54.72,54.74,3231900,53.20
2011-06-21,54.90,55.75,54.77,55.49,3909800,53.93
2011-06-20,54.82,55.05,54.33,54.57,3985400,53.03
2011-06-17,54.99,55.30,54.56,54.83,3140800,53.28
2011-06-16,53.97,54.75,53.88,54.43,3670400,52.90
2011-06-15,53.62,54.42,53.39,54.03,3915400,52.51
2011-06-14,53.99,54.20,53.60,53.98,2185000,52.46
2011-06-13,53.03,53.27,52.50,53.03,2489300,51.54
2011-06-10,53.46,53.68,52.73,52.80,2342400,51.31
2011-06-09,53.70,54.03,53.24,53.70,2287100,52.19
2011-06-08,53.96,54.49,53.48,53.56,3236500,52.05
2011-06-07,53.98,54.79,53.98,54.15,3502800,52.62
2011-06-06,54.28,54.98,53.88,53.88,3382400,52.36
2011-06-03,53.91,54.73,53.84,54.42,4306000,52.89
2011-06-02,54.42,54.63,53.93,54.49,3069800,52.95
2011-06-01,55.30,55.39,54.46,54.46,3228800,52.92
2011-05-31,55.85,55.98,55.04,55.32,4951600,53.76
2011-05-27,56.32,56.41,55.30,55.45,3518800,53.89
2011-05-26,55.78,56.20,55.56,56.07,2146400,54.49
2011-05-25,55.86,56.05,55.47,55.86,2429500,54.29
2011-05-24,55.81,56.08,55.52,55.67,3341400,54.10
2011-05-23,55.78,56.16,55.70,55.81,3812600,54.24
2011-05-20,56.83,56.98,55.87,56.26,5709800,54.67
2011-05-19,55.98,56.78,55.78,56.69,3632300,55.09
2011-05-18,54.75,55.65,54.59,55.62,4862700,54.05
2011-05-17,53.79,54.68,53.48,54.66,3579400,53.12
2011-05-16,54.77,54.86,54.03,54.08,2490200,52.56
2011-05-13,54.88,55.17,54.53,54.86,2379500,53.31
2011-05-12,54.49,54.93,54.09,54.73,3163700,53.19
2011-05-11,54.79,54.95,54.16,54.59,3470000,53.05
2011-05-10,54.49,55.39,54.47,54.88,3610700,53.33
2011-05-09,53.70,54.39,53.66,54.34,2520600,52.81
2011-05-06,53.81,54.27,53.49,53.64,2677200,52.13
2011-05-05,53.22,53.94,53.02,53.25,2889800,51.75
2011-05-04,53.90,54.02,53.14,53.43,2775300,51.92
2011-05-03,53.58,54.03,53.28,53.97,3627100,52.45
2011-05-02,53.79,53.97,53.40,53.50,2796400,51.99
2011-04-29,52.89,53.86,52.81,53.64,4185200,52.13
2011-04-28,52.49,53.25,52.35,52.83,3174600,51.34
2011-04-27,52.18,52.35,51.67,52.30,2858500,50.83
2011-04-26,53.20,53.31,52.03,52.18,4500000,50.71
2011-04-25,53.56,53.60,52.52,53.20,3985900,51.70
2011-04-21,54.65,54.98,53.57,53.65,7423600,52.14
2011-04-20,51.35,51.85,51.12,51.55,3425200,50.10
2011-04-19,50.39,50.94,50.11,50.89,3412500,49.46
2011-04-18,50.58,50.59,49.90,50.38,4151600,48.96
2011-04-15,50.83,51.19,50.57,51.12,2792800,49.68
2011-04-14,49.75,50.83,49.59,50.68,4260300,49.25
2011-04-13,49.89,50.12,49.71,49.98,2891000,48.57
2011-04-12,49.84,50.60,49.81,49.86,3886900,48.21
2011-04-11,49.58,50.06,49.57,49.97,3828300,48.32
2011-04-08,49.76,50.02,49.24,49.58,4127500,47.94
2011-04-07,49.96,50.35,49.30,49.42,4472100,47.79
2011-04-06,50.17,50.27,49.92,50.10,3896100,48.44
2011-04-05,50.70,50.77,49.90,49.96,5155100,48.31
2011-04-04,51.49,51.76,50.77,50.87,3090900,49.19
