Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,16.43,16.43,16.26,16.28,1108400,16.25
2011-12-29,16.13,16.53,16.13,16.48,1573200,16.45
2011-12-28,16.40,16.44,16.02,16.09,2236900,16.06
2011-12-27,16.36,16.53,16.20,16.40,1903500,16.37
2011-12-23,16.26,16.44,16.00,16.33,1599900,16.30
2011-12-22,15.70,16.28,15.60,16.15,2455500,16.12
2011-12-21,15.34,15.63,15.15,15.61,2308800,15.58
2011-12-20,14.98,15.51,14.92,15.35,3668500,15.32
2011-12-19,15.10,15.25,14.52,14.63,3115800,14.60
2011-12-16,15.02,15.42,14.94,15.07,6098100,15.04
2011-12-15,14.97,15.10,14.64,14.91,5388000,14.88
2011-12-14,14.94,15.25,14.81,14.88,4256800,14.85
2011-12-13,15.40,15.51,14.92,15.04,4214100,15.01
2011-12-12,15.27,15.33,14.97,15.25,3274400,15.22
2011-12-09,15.40,15.82,15.33,15.50,4018700,15.47
2011-12-08,15.88,15.90,15.21,15.25,4591000,15.22
2011-12-07,16.20,16.26,15.80,15.98,6447000,15.95
2011-12-06,16.78,16.78,16.29,16.32,4611500,16.29
2011-12-05,16.61,16.99,16.49,16.84,3461700,16.81
2011-12-02,16.00,16.52,15.98,16.21,2705300,16.18
2011-12-01,16.04,16.09,15.56,15.90,2254700,15.87
2011-11-30,15.70,16.13,15.43,16.09,4256400,16.06
2011-11-29,14.91,15.21,14.65,15.00,2982200,14.97
2011-11-28,15.30,15.39,14.84,15.08,2248800,15.05
2011-11-25,14.67,15.04,14.63,14.74,745600,14.71
2011-11-23,15.13,15.17,14.70,14.70,3019600,14.67
2011-11-22,15.60,15.72,15.13,15.34,4164100,15.31
2011-11-21,15.79,15.96,15.46,15.74,3837100,15.71
2011-11-18,16.38,16.43,15.99,16.26,3200800,16.23
2011-11-17,16.72,16.84,16.09,16.19,3823500,16.16
2011-11-16,16.48,17.40,16.30,16.65,5042700,16.61
2011-11-15,16.36,16.78,16.17,16.72,2575500,16.68
2011-11-14,16.71,16.90,16.26,16.41,2792500,16.37
2011-11-11,16.61,17.12,16.59,16.83,2484700,16.79
2011-11-10,16.68,16.87,16.15,16.27,3648400,16.23
2011-11-09,16.94,17.09,16.37,16.42,3150200,16.38
2011-11-08,17.27,17.61,17.01,17.55,2279800,17.50
2011-11-07,17.01,17.25,16.73,17.18,2067400,17.13
2011-11-04,17.13,17.26,16.79,17.06,3043700,17.01
